table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
Table_S2,0.25,2,85,0.02,1.96,0.04,2.5E-02,8.6E-06,0.0,0.1,5.9,0.0E+00,0.000
Table_S2,0.25,2,80,0.29,1.42,0.58,1.3E-02,1.8E-03,43.9,9.7,2.0,7.1E-05,0.271
Table_S2,0.25,2,85,0.16,1.68,0.32,1.9E-02,5.5E-04,46.4,10.0,3.1,8.0E-05,0.285
Table_S2,0.25,2,101,0.08,1.84,0.16,2.2E-02,1.4E-04,45.8,9.9,5.6,9.3E-05,0.268
Table_S2,0.25,2,116,0.24,1.52,0.48,1.5E-02,1.2E-03,47.5,11.2,2.3,1.1E-04,0.269
Table_S2,0.25,2,131,0.04,1.92,0.08,2.4E-02,3.4E-05,6.0,0.8,6.3,1.6E-05,0.032
Table_S2,0.25,2,147,0.20,1.60,0.40,1.7E-02,8.6E-04,54.1,12.9,1.6,1.6E-04,0.299
Table_S2,0.25,2,162,0.12,1.76,0.24,2.0E-02,3.1E-04,49.9,12.2,6.0,1.6E-04,0.267
Table_S2,0.25,2,177,0.28,1.44,0.56,1.4E-02,1.7E-03,55.0,13.6,1.5,2.0E-04,0.274
Table_S2,0.25,2,193,0.02,1.96,0.04,2.5E-02,8.6E-06,0.0,0.0,2.5,1.4E-20,0.000
Table_S2,0.25,2,208,0.18,1.64,0.36,1.8E-02,6.9E-04,43.4,9.6,9.5,1.8E-04,0.202
Table_S2,0.25,2,223,0.10,1.80,0.20,2.1E-02,2.1E-04,23.4,4.3,4.9,1.1E-04,0.107
Table_S2,0.25,2,239,0.26,1.48,0.52,1.4E-02,1.4E-03,66.3,15.0,1.7,3.2E-04,0.290
Table_S2,0.25,2,254,0.06,1.88,0.12,2.3E-02,7.7E-05,0.0,0.0,3.6,0.0E+00,0.000
Table_S2,0.25,2,269,0.22,1.56,0.44,1.6E-02,1.0E-03,51.7,10.2,3.6,2.8E-04,0.220
Table_S2,0.25,2,285,0.14,1.72,0.28,2.0E-02,4.2E-04,31.5,5.7,7.1,1.8E-04,0.127
Table_S2,0.25,2,290,0.02,1.96,0.04,2.5E-02,8.6E-06,0.0,0.0,2.9,0.0E+00,0.000
Table_S2,0.25,2,290,0.29,1.42,0.58,1.3E-02,1.8E-03,68.8,13.0,2.3,4.0E-04,0.283
Table_S3,0.25,6,85,0.02,5.88,0.12,2.3E-01,7.7E-05,0.6,1.2,9.1,1.1E-06,0.004
Table_S3,0.25,6,80,0.29,4.26,1.74,1.2E-01,1.6E-02,41.8,6.7,22.6,6.7E-05,0.274
Table_S3,0.25,6,85,0.16,5.04,0.96,1.7E-01,4.9E-03,70.3,14.0,3.7,1.2E-04,0.453
