j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
85,0.02,9.8,0.2,1.6E-01,5.4E-05,0.1,0.1,1.0,2.2E-07,0.001
80,0.29,7.1,2.9,8.3E-02,1.1E-02,52.7,11.7,10.9,8.5E-05,0.291
85,0.16,8.4,1.6,1.2E-01,3.4E-03,71.6,15.1,8.9,1.2E-04,0.395
101,0.08,9.2,0.8,1.4E-01,8.6E-04,79.9,17.6,8.5,1.6E-04,0.444
116,0.24,7.6,2.4,9.6E-02,7.7E-03,60.9,14.5,7.4,1.4E-04,0.314
131,0.04,9.6,0.4,1.5E-01,2.1E-04,73.9,17.5,6.9,2.0E-04,0.391
147,0.20,8.0,2.0,1.1E-01,5.4E-03,60.2,13.5,8.4,1.8E-04,0.292
162,0.12,8.8,1.2,1.3E-01,1.9E-03,76.7,14.8,8.0,2.5E-04,0.368
177,0.28,7.2,2.8,8.6E-02,1.1E-02,60.1,10.7,11.8,2.2E-04,0.274
193,0.02,9.8,0.2,1.6E-01,5.4E-05,50.6,6.5,27.2,2.0E-04,0.236
208,0.18,8.2,1.8,1.1E-01,4.3E-03,64.9,11.2,11.5,2.7E-04,0.288
223,0.10,9.0,1.0,1.3E-01,1.3E-03,70.6,11.9,12.8,3.2E-04,0.312
239,0.26,7.4,2.6,9.1E-02,9.1E-03,58.5,9.8,14.0,2.8E-04,0.223
254,0.06,9.4,0.6,1.5E-01,4.8E-04,69.3,12.1,15.6,3.6E-04,0.289
269,0.22,7.8,2.2,1.0E-01,6.5E-03,61.9,9.7,12.4,3.4E-04,0.231
285,0.14,8.6,1.4,1.2E-01,2.6E-03,67.6,10.5,11.4,3.9E-04,0.270
290,0.02,9.8,0.2,1.6E-01,5.4E-05,42.6,5.5,25.1,2.5E-04,0.171
290,0.29,7.1,2.9,8.3E-02,1.1E-02,61.8,9.6,10.9,3.6E-04,0.236
