x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,9.39396316e-11,1.06451310e+02,1.28770337e-04,8.63589569e+01,4.13686014e+02,1.31061672e+03,1.21824940e-02,1.21824940e-02,-7.30673905e-07
1.92594436e-07,9.39397694e-11,1.06451155e+02,1.28770641e-04,8.63590354e+01,4.13685850e+02,1.31061679e+03,1.21824940e-02,1.21824940e-02,-7.29333951e-07
3.24523411e-07,9.39399115e-11,1.06450995e+02,1.28770962e-04,8.63591208e+01,4.13685643e+02,1.31061686e+03,1.21824940e-02,1.21824940e-02,-7.27358722e-07
4.59556808e-07,9.39400565e-11,1.06450831e+02,1.28771292e-04,8.63592096e+01,4.13685433e+02,1.31061693e+03,1.21824940e-02,1.21824940e-02,-7.25404945e-07
5.97767680e-07,9.39402052e-11,1.06450663e+02,1.28771630e-04,8.63593001e+01,4.13685215e+02,1.31061701e+03,1.21824940e-02,1.21824940e-02,-7.23336213e-07
7.39230794e-07,9.39403571e-11,1.06450492e+02,1.28771976e-04,8.63593933e+01,4.13684996e+02,1.31061708e+03,1.21824940e-02,1.21824940e-02,-7.21305986e-07
8.84022681e-07,9.39405127e-11,1.06450316e+02,1.28772330e-04,8.63594882e+01,4.13684768e+02,1.31061716e+03,1.21824940e-02,1.21824940e-02,-7.19144399e-07
1.03222167e-06,9.39406720e-11,1.06450137e+02,1.28772692e-04,8.63595853e+01,4.13684535e+02,1.31061724e+03,1.21824940e-02,1.21824940e-02,-7.16945671e-07
1.18390793e-06,9.39408348e-11,1.06449953e+02,1.28773063e-04,8.63596851e+01,4.13684299e+02,1.31061732e+03,1.21824940e-02,1.21824940e-02,-7.14741183e-07
1.33916352e-06,9.39410016e-11,1.06449765e+02,1.28773443e-04,8.63597869e+01,4.13684055e+02,1.31061740e+03,1.21824940e-02,1.21824940e-02,-7.12435579e-07
1.49807244e-06,9.39411723e-11,1.06449572e+02,1.28773831e-04,8.63598911e+01,4.13683804e+02,1.31061748e+03,1.21824940e-02,1.21824940e-02,-7.10069817e-07
1.66072064e-06,9.39413469e-11,1.06449375e+02,1.28774229e-04,8.63599978e+01,4.13683550e+02,1.31061757e+03,1.21824940e-02,1.21824940e-02,-7.07676076e-07
1.82719613e-06,9.39415255e-11,1.06449173e+02,1.28774636e-04,8.63601073e+01,4.13683290e+02,1.31061766e+03,1.21824940e-02,1.21824940e-02,-7.05248242e-07
1.99758895e-06,9.39417085e-11,1.06448966e+02,1.28775053e-04,8.63602189e+01,4.13683022e+02,1.31061775e+03,1.21824940e-02,1.21824940e-02,-7.02707587e-07
2.17199129e-06,9.39418956e-11,1.06448755e+02,1.28775479e-04,8.63603334e+01,4.13682748e+02,1.31061784e+03,1.21824940e-02,1.21824940e-02,-7.00133844e-07
2.35049750e-06,9.39420873e-11,1.06448538e+02,1.28775915e-04,8.63604502e+01,4.13682466e+02,1.31061793e+03,1.21824940e-02,1.21824940e-02,-6.97448979e-07
2.53320413e-06,9.39422833e-11,1.06448317e+02,1.28776362e-04,8.63605702e+01,4.13682180e+02,1.31061803e+03,1.21824940e-02,1.21824940e-02,-6.94760241e-07
2.72021005e-06,9.39424840e-11,1.06448090e+02,1.28776819e-04,8.63606928e+01,4.13681886e+02,1.31061813e+03,1.21824940e-02,1.21824940e-02,-6.91990346e-07
2.91161640e-06,9.39426892e-11,1.06447858e+02,1.28777288e-04,8.63608186e+01,4.13681587e+02,1.31061823e+03,1.21824940e-02,1.21824940e-02,-6.89193822e-07
3.10752674e-06,9.39428994e-11,1.06447620e+02,1.28777767e-04,8.63609470e+01,4.13681279e+02,1.31061834e+03,1.21824940e-02,1.21824940e-02,-6.86278903e-07
3.30804705e-06,9.39431144e-11,1.06447377e+02,1.28778257e-04,8.63610787e+01,4.13680965e+02,1.31061844e+03,1.21824940e-02,1.21824940e-02,-6.83326465e-07
3.51328580e-06,9.39433345e-11,1.06447128e+02,1.28778759e-04,8.63612132e+01,4.13680642e+02,1.31061855e+03,1.21824940e-02,1.21824940e-02,-6.80273371e-07
3.72335404e-06,9.39435598e-11,1.06446874e+02,1.28779272e-04,8.63613509e+01,4.13680312e+02,1.31061866e+03,1.21824940e-02,1.21824940e-02,-6.77155550e-07
3.93836540e-06,9.39437905e-11,1.06446613e+02,1.28779798e-04,8.63614918e+01,4.13679973e+02,1.31061878e+03,1.21824940e-02,1.21824940e-02,-6.73938364e-07
4.15843619e-06,9.39440263e-11,1.06446346e+02,1.28780336e-04,8.63616363e+01,4.13679629e+02,1.31061889e+03,1.21824940e-02,1.21824940e-02,-6.70710153e-07
4.38368547e-06,9.39442678e-11,1.06446073e+02,1.28780887e-04,8.63617841e+01,4.13679275e+02,1.31061901e+03,1.21824940e-02,1.21824940e-02,-6.67386168e-07
4.61423510e-06,9.39445149e-11,1.06445794e+02,1.28781451e-04,8.63619353e+01,4.13678913e+02,1.31061913e+03,1.21824940e-02,1.21824940e-02,-6.63963105e-07
4.85020980e-06,9.39447680e-11,1.06445507e+02,1.28782027e-04,8.63620899e+01,4.13678541e+02,1.31061926e+03,1.21824940e-02,1.21824940e-02,-6.60439849e-07
5.09173722e-06,9.39450268e-11,1.06445214e+02,1.28782618e-04,8.63622483e+01,4.13678162e+02,1.31061939e+03,1.21824940e-02,1.21824940e-02,-6.56864389e-07
5.33894803e-06,9.39452918e-11,1.06444915e+02,1.28783222e-04,8.63624105e+01,4.13677773e+02,1.31061952e+03,1.21824940e-02,1.21824940e-02,-6.53199427e-07
5.59197596e-06,9.39455629e-11,1.06444608e+02,1.28783841e-04,8.63625766e+01,4.13677378e+02,1.31061965e+03,1.21824940e-02,1.21824940e-02,-6.49482844e-07
5.85095790e-06,9.39458404e-11,1.06444294e+02,1.28784475e-04,8.63627465e+01,4.13676971e+02,1.31061979e+03,1.21824940e-02,1.21824940e-02,-6.45649155e-07
6.11603395e-06,9.39461244e-11,1.06443973e+02,1.28785123e-04,8.63629204e+01,4.13676555e+02,1.31061993e+03,1.21824940e-02,1.21824940e-02,-6.41730348e-07
6.38734751e-06,9.39464151e-11,1.06443644e+02,1.28785786e-04,8.63630984e+01,4.13676129e+02,1.31062007e+03,1.21824940e-02,1.21824940e-02,-6.37706264e-07
6.66504536e-06,9.39467127e-11,1.06443307e+02,1.28786465e-04,8.63632805e+01,4.13675692e+02,1.31062022e+03,1.21824940e-02,1.21824940e-02,-6.33585563e-07
6.94927771e-06,9.39470173e-11,1.06442962e+02,1.28787160e-04,8.63634668e+01,4.13675245e+02,1.31062037e+03,1.21824940e-02,1.21824940e-02,-6.29361765e-07
7.24019835e-06,9.39473289e-11,1.06442609e+02,1.28787871e-04,8.63636577e+01,4.13674789e+02,1.31062053e+03,1.21824940e-02,1.21824940e-02,-6.25067488e-07
7.53796465e-06,9.39476480e-11,1.06442248e+02,1.28788599e-04,8.63638529e+01,4.13674320e+02,1.31062068e+03,1.21824940e-02,1.21824940e-02,-6.20634289e-07
7.84273769e-06,9.39479744e-11,1.06441879e+02,1.28789345e-04,8.63640529e+01,4.13673842e+02,1.31062084e+03,1.21824940e-02,1.21824940e-02,-6.16132487e-07
8.15468235e-06,9.39483087e-11,1.06441500e+02,1.28790107e-04,8.63642573e+01,4.13673351e+02,1.31062101e+03,1.21824940e-02,1.21824940e-02,-6.11481546e-07
8.47396739e-06,9.39486505e-11,1.06441113e+02,1.28790888e-04,8.63644670e+01,4.13672851e+02,1.31062118e+03,1.21824940e-02,1.21824940e-02,-6.06793312e-07
8.80076553e-06,9.39490007e-11,1.06440717e+02,1.28791687e-04,8.63646811e+01,4.13672337e+02,1.31062135e+03,1.21824940e-02,1.21824940e-02,-6.01917776e-07
9.13525357e-06,9.39493589e-11,1.06440312e+02,1.28792505e-04,8.63649006e+01,4.13671812e+02,1.31062153e+03,1.21824940e-02,1.21824940e-02,-5.96970064e-07
9.47761245e-06,9.39497257e-11,1.06439896e+02,1.28793342e-04,8.63651250e+01,4.13671273e+02,1.31062171e+03,1.21824940e-02,1.21824940e-02,-5.91884097e-07
9.82802739e-06,9.39501009e-11,1.06439472e+02,1.28794199e-04,8.63653550e+01,4.13670724e+02,1.31062190e+03,1.21824940e-02,1.21824940e-02,-5.86714104e-07
