V,eps_org,delta_um,j1,j2,j3,j_total,FE_ADPN,FE_PN,FE_HER,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.0900,50.0000,5.00546018e-06,3.81908787e-06,1.41071040e-04,1.49895588e-04,3.339298,2.547832,94.112870,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.05000000e+00,0.0900,50.0000,1.32443748e-05,1.01052509e-05,3.07261276e-04,3.30610902e-04,4.006031,3.056539,92.937430,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.12000000e+00,0.0900,50.0000,5.17194496e-05,3.94611316e-05,9.13704524e-04,1.00488511e-03,5.146802,3.926930,90.926268,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.21800000e+00,0.0900,50.0000,3.48277405e-04,2.65730215e-04,4.20167928e-03,4.81568690e-03,7.232144,5.518013,87.249843,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.35520000e+00,0.0900,50.0000,5.02927365e-03,3.83725717e-03,3.55702464e-02,4.44367772e-02,11.317818,8.635318,80.046863,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.54728000e+00,0.0900,50.0000,2.11296685e-01,1.61219551e-01,7.07639101e-01,1.08015534e+00,19.561694,14.925589,65.512716,13.026907,6.82464778e-07,2.27373675e-13,1.39731291e-04,8.19788306e-11,3.10760415e+00,3.72574349e-09,0.999978,1.31061452e+03,1.31064284e+03,-6.82464778e-07
-1.74728000e+00,0.0900,50.0000,1.03054663e+01,7.87952841e+00,1.59148987e+01,3.40998934e+01,30.221403,23.107194,46.671403,13.026907,4.32456857e-05,2.27373675e-13,8.82204228e-03,1.10896200e-08,1.88376046e+02,3.72574349e-09,0.997891,1.30787856e+03,1.31064284e+03,-4.32456857e-05
-1.94728000e+00,0.0900,50.0000,4.12845265e+02,3.44881463e+02,3.51155564e+02,1.10888229e+03,37.230756,31.101720,31.667524,13.026907,1.31283068e-03,2.27373675e-13,2.70101823e-01,1.72939579e-08,2.21949774e+03,3.72574349e-09,0.913341,1.19706423e+03,1.31064284e+03,-1.31283068e-03
-2.00728000e+00,0.0900,50.0000,9.62815489e+02,9.31695850e+02,8.74705462e+02,2.76921680e+03,34.768512,33.644742,31.586745,13.026907,2.69149041e-03,4.54747351e-13,6.10126661e-01,5.98283610e-11,2.19676623e+03,3.72574349e-09,0.788469,1.03340107e+03,1.31064284e+03,-2.69149041e-03
-2.07328000e+00,0.0900,50.0000,1.74451695e+03,2.34207375e+03,2.37617480e+03,6.46276550e+03,26.993351,36.239498,36.767152,13.026907,4.50114567e-03,4.54747351e-13,1.22466633e+00,7.13246795e-10,1.65476208e+03,3.72574349e-09,0.568317,7.44859958e+02,1.31064284e+03,-4.50114567e-03
-2.14588000e+00,0.0900,50.0000,2.09119777e+03,5.09693488e+03,7.13240648e+03,1.43205391e+04,14.602787,35.591781,49.805433,13.026907,6.50071457e-03,9.09494702e-13,2.28629357e+00,5.40850500e-09,1.09952280e+03,3.72574349e-09,0.313041,4.10285362e+02,1.31064284e+03,-6.50071457e-03
-2.22574000e+00,0.0900,50.0000,1.43763383e+03,8.98318998e+03,2.38357018e+04,3.42565257e+04,4.196671,26.223296,69.580033,13.026907,8.86316696e-03,1.81898940e-12,4.52992813e+00,3.43325368e-12,6.50679100e+02,3.72574349e-09,0.122105,1.60036004e+02,1.31064284e+03,-8.86316696e-03
-2.31358600e+00,0.0900,50.0000,4.99522789e+02,1.20827040e+04,8.92228333e+04,1.01805060e+05,0.490666,11.868471,87.640863,13.026907,1.19267060e-02,3.63797881e-12,1.10515548e+01,7.96473998e-13,3.22837885e+02,3.72574349e-09,0.031543,4.13419702e+01,1.31064284e+03,-1.19267060e-02
-2.41021660e+00,0.0900,50.0000,9.85409744e+01,1.32340082e+04,3.78155475e+05,3.91488025e+05,0.025171,3.380438,96.594392,13.026907,1.57962721e-02,1.81898940e-12,3.61722214e+01,4.59277061e-12,1.32554532e+02,3.72574349e-09,0.005681,7.44604151e+00,1.31064284e+03,-1.57962721e-02
-2.50000000e+00,0.0900,50.0000,1.91175570e+01,1.34556919e+04,1.44198710e+06,1.45546190e+06,0.001314,0.924496,99.074190,13.026907,1.96076770e-02,1.81898940e-12,1.23771478e+02,1.61257674e-11,5.52257274e+01,3.72574349e-09,0.001084,1.42077845e+00,1.31064284e+03,-1.96076770e-02
