x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,9.07568749e-11,1.10183969e+02,1.21583767e-04,8.43984169e+01,4.18466599e+02,1.31005355e+03,4.58802987e-01,1.66314048e-01,-4.63679974e-05
1.92594436e-07,9.07650571e-11,1.10174049e+02,1.21601366e-04,8.44030821e+01,4.18455902e+02,1.31005509e+03,4.57663376e-01,1.65869477e-01,-4.62719357e-05
3.24523411e-07,9.07734510e-11,1.10163874e+02,1.21620050e-04,8.44082563e+01,4.18443283e+02,1.31005667e+03,4.56497369e-01,1.65414465e-01,-4.61519782e-05
4.59556808e-07,9.07820541e-11,1.10153447e+02,1.21639227e-04,8.44135751e+01,4.18430077e+02,1.31005828e+03,4.55304341e-01,1.64948768e-01,-4.60245058e-05
5.97767680e-07,9.07908601e-11,1.10142775e+02,1.21658866e-04,8.44190250e+01,4.18416555e+02,1.31005994e+03,4.54083654e-01,1.64472140e-01,-4.58940432e-05
7.39230794e-07,9.07998773e-11,1.10131849e+02,1.21678969e-04,8.44245988e+01,4.18402673e+02,1.31006163e+03,4.52834652e-01,1.63984327e-01,-4.57596758e-05
8.84022681e-07,9.08090998e-11,1.10120676e+02,1.21699561e-04,8.44303198e+01,4.18388574e+02,1.31006336e+03,4.51556661e-01,1.63485072e-01,-4.56244385e-05
1.03222167e-06,9.08185473e-11,1.10109232e+02,1.21720634e-04,8.44361637e+01,4.18374051e+02,1.31006513e+03,4.50248990e-01,1.62974109e-01,-4.54841204e-05
1.18390793e-06,9.08282120e-11,1.10097527e+02,1.21742218e-04,8.44421583e+01,4.18359276e+02,1.31006694e+03,4.48910928e-01,1.62451168e-01,-4.53423609e-05
1.33916352e-06,9.08381108e-11,1.10085541e+02,1.21764307e-04,8.44482851e+01,4.18344080e+02,1.31006880e+03,4.47541746e-01,1.61915974e-01,-4.51957733e-05
1.49807244e-06,9.08482442e-11,1.10073272e+02,1.21786923e-04,8.44545567e+01,4.18328523e+02,1.31007070e+03,4.46140694e-01,1.61368244e-01,-4.50456986e-05
1.66072064e-06,9.08586195e-11,1.10060713e+02,1.21810075e-04,8.44609739e+01,4.18312576e+02,1.31007264e+03,4.44707003e-01,1.60807690e-01,-4.48916076e-05
1.82719613e-06,9.08692353e-11,1.10047866e+02,1.21833785e-04,8.44675533e+01,4.18296328e+02,1.31007463e+03,4.43239880e-01,1.60234019e-01,-4.47354458e-05
1.99758895e-06,9.08801060e-11,1.10034712e+02,1.21858057e-04,8.44742826e+01,4.18279652e+02,1.31007667e+03,4.41738511e-01,1.59646929e-01,-4.45746868e-05
2.17199129e-06,9.08912336e-11,1.10021251e+02,1.21882908e-04,8.44811732e+01,4.18262595e+02,1.31007875e+03,4.40202058e-01,1.59046113e-01,-4.44104029e-05
2.35049750e-06,9.09026299e-11,1.10007467e+02,1.21908345e-04,8.44882186e+01,4.18245071e+02,1.31008089e+03,4.38629660e-01,1.58431258e-01,-4.42409469e-05
2.53320413e-06,9.09142892e-11,1.09993369e+02,1.21934399e-04,8.44954447e+01,4.18227237e+02,1.31008307e+03,4.37020430e-01,1.57802043e-01,-4.40695910e-05
2.72021005e-06,9.09262267e-11,1.09978937e+02,1.21961072e-04,8.45028398e+01,4.18208962e+02,1.31008531e+03,4.35373454e-01,1.57158141e-01,-4.38938178e-05
2.91161640e-06,9.09384532e-11,1.09964160e+02,1.21988375e-04,8.45103999e+01,4.18190179e+02,1.31008759e+03,4.33687793e-01,1.56499219e-01,-4.37123236e-05
3.10752674e-06,9.09509670e-11,1.09949038e+02,1.22016334e-04,8.45181452e+01,4.18170995e+02,1.31008994e+03,4.31962477e-01,1.55824935e-01,-4.35274436e-05
3.30804705e-06,9.09637740e-11,1.09933567e+02,1.22044965e-04,8.45260822e+01,4.18151417e+02,1.31009233e+03,4.30196509e-01,1.55134942e-01,-4.33393930e-05
3.51328580e-06,9.09768927e-11,1.09917723e+02,1.22074271e-04,8.45341938e+01,4.18131275e+02,1.31009479e+03,4.28388859e-01,1.54428883e-01,-4.31448395e-05
3.72335404e-06,9.09903205e-11,1.09901510e+02,1.22104281e-04,8.45425034e+01,4.18110696e+02,1.31009730e+03,4.26538466e-01,1.53706397e-01,-4.29465021e-05
3.93836540e-06,9.10040662e-11,1.09884918e+02,1.22135010e-04,8.45510128e+01,4.18089650e+02,1.31009987e+03,4.24644236e-01,1.52967113e-01,-4.27438831e-05
4.15843619e-06,9.10181349e-11,1.09867941e+02,1.22166480e-04,8.45597319e+01,4.18068163e+02,1.31010250e+03,4.22705040e-01,1.52210654e-01,-4.25376588e-05
4.38368547e-06,9.10325437e-11,1.09850558e+02,1.22198695e-04,8.45686483e+01,4.18046095e+02,1.31010519e+03,4.20719710e-01,1.51436634e-01,-4.23250538e-05
4.61423510e-06,9.10472944e-11,1.09832769e+02,1.22231683e-04,8.45777785e+01,4.18023521e+02,1.31010795e+03,4.18687044e-01,1.50644660e-01,-4.21077580e-05
