V,eps_org,delta_um,j1,j2,j3,j_total,FE_ADPN,FE_PN,FE_HER,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.2500,50.0000,5.00546018e-06,3.81908787e-06,1.41071040e-04,1.49895588e-04,3.339298,2.547832,94.112870,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.05000000e+00,0.2500,50.0000,1.32443748e-05,1.01052509e-05,3.07261276e-04,3.30610902e-04,4.006031,3.056539,92.937430,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.12000000e+00,0.2500,50.0000,5.17194496e-05,3.94611316e-05,9.13704524e-04,1.00488511e-03,5.146802,3.926930,90.926268,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.21800000e+00,0.2500,50.0000,3.48277405e-04,2.65730215e-04,4.20167928e-03,4.81568690e-03,7.232144,5.518013,87.249843,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.35520000e+00,0.2500,50.0000,5.02927365e-03,3.83725717e-03,3.55702464e-02,4.44367772e-02,11.317818,8.635318,80.046863,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.54728000e+00,0.2500,50.0000,2.11303959e-01,1.61222097e-01,7.07637493e-01,1.08016355e+00,19.562219,14.925712,65.512069,13.026907,8.28371334e-07,2.27373675e-13,1.69584549e-04,9.94703571e-11,3.16243255e+00,3.72574349e-09,0.999997,1.31063894e+03,1.31064284e+03,-8.28371334e-07
-1.74728000e+00,0.2500,50.0000,1.03411627e+01,7.89244586e+00,1.59125843e+01,3.41461928e+01,30.284965,23.113692,46.601343,13.026907,5.25873722e-05,2.27373675e-13,1.07133779e-02,7.96975333e-15,1.89841895e+02,3.72574349e-09,0.999709,1.31026084e+03,1.31064284e+03,-5.25873722e-05
-1.94728000e+00,0.2500,50.0000,4.78442401e+02,3.70052698e+02,3.49313707e+02,1.19780881e+03,39.943136,30.894137,29.162727,13.026907,1.65061970e-03,2.27373675e-13,3.46118759e-01,2.71926907e-08,1.91246567e+03,3.72574349e-09,0.986465,1.29290342e+03,1.31064284e+03,-1.65061970e-03
-2.00728000e+00,0.2500,50.0000,1.40535786e+03,1.11701744e+03,8.64020447e+02,3.38639575e+03,41.500107,32.985437,25.514456,13.026907,3.48094511e-03,4.54747351e-13,8.49142210e-01,1.73984501e-06,1.63594169e+03,3.72574349e-09,0.959937,1.25813422e+03,1.31064284e+03,-3.48094511e-03
-2.09128000e+00,0.2500,50.0000,5.23805029e+03,4.73024029e+03,3.03623253e+03,1.30045231e+04,40.278680,36.373808,23.347512,13.026907,6.75638046e-03,9.09494702e-13,2.46541935e+00,1.25090931e-08,8.58700207e+02,3.72574349e-09,0.844894,1.10735395e+03,1.31064284e+03,-6.75638046e-03
-2.18368000e+00,0.2500,50.0000,1.28923328e+04,1.76666426e+04,1.21629484e+04,4.27219238e+04,30.177323,41.352638,28.470039,13.026907,1.00174589e-02,1.81898940e-12,6.31733052e+00,2.05823758e-09,4.12488086e+02,3.72574349e-09,0.556792,7.29755685e+02,1.31064284e+03,-1.00174589e-02
-2.28532000e+00,0.2500,50.0000,1.40348230e+04,4.81779568e+04,5.65782473e+04,1.18791027e+05,11.814716,40.556899,47.628385,13.026907,1.29189282e-02,3.63797881e-12,1.48768339e+01,8.60200799e-13,2.11805478e+02,3.72574349e-09,0.222267,2.91312125e+02,1.31064284e+03,-1.29189282e-02
-2.39712400e+00,0.2500,50.0000,5.09178154e+03,8.32813424e+04,3.05659693e+05,3.94032817e+05,1.292223,21.135636,77.572141,13.026907,1.63742478e-02,1.81898940e-12,4.34437989e+01,1.00017772e-11,9.56628178e+01,3.72574349e-09,0.046649,6.11395229e+01,1.31064284e+03,-1.63742478e-02
-2.50000000e+00,0.2500,50.0000,9.72449483e+02,9.53302866e+04,1.42670254e+06,1.52300528e+06,0.063851,6.259354,93.676796,13.026907,2.03074097e-02,0.00000000e+00,1.55585192e+02,1.51292312e-11,3.88167803e+01,3.72574349e-09,0.007783,1.02008451e+01,1.31064284e+03,-2.02921418e-02
