x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,4.73968435e-14,2.10984514e+05,4.13108041e-10,5.49104212e-01,5.21336094e+03,1.75706314e+00,3.51992052e+00,1.30430415e+03,-2.01501449e-02
1.92594436e-07,4.75176815e-14,2.10447978e+05,4.14935201e-10,5.50130327e-01,5.20982168e+03,5.17912579e+00,3.51072010e+00,1.30089397e+03,-2.01443313e-02
3.24523411e-07,4.76505742e-14,2.09861060e+05,4.16743955e-10,5.50987467e-01,5.20338661e+03,8.68181064e+00,3.50130319e+00,1.29740355e+03,-2.01337488e-02
4.59556808e-07,4.77787774e-14,2.09297947e+05,4.18683688e-10,5.52066708e-01,5.19958927e+03,1.22669173e+01,3.49166468e+00,1.29383100e+03,-2.01274991e-02
5.97767680e-07,4.79067436e-14,2.08738880e+05,4.20718597e-10,5.53268071e-01,5.19698508e+03,1.59363852e+01,3.48179937e+00,1.29017438e+03,-2.01232112e-02
7.39230794e-07,4.80546287e-14,2.08096499e+05,4.22675372e-10,5.54130771e-01,5.18907030e+03,1.96921994e+01,3.47170192e+00,1.28643171e+03,-2.01101611e-02
8.84022681e-07,4.82001910e-14,2.07468057e+05,4.24753177e-10,5.55173114e-01,5.18313093e+03,2.35363917e+01,3.46136687e+00,1.28260098e+03,-2.01003557e-02
1.03222167e-06,4.83369903e-14,2.06880899e+05,4.27012291e-10,5.56546325e-01,5.18124618e+03,2.74710418e+01,3.45078862e+00,1.27868011e+03,-2.00972437e-02
1.18390793e-06,4.84982978e-14,2.06192804e+05,4.29163138e-10,5.57489210e-01,5.17276184e+03,3.14982783e+01,3.43996145e+00,1.27466697e+03,-2.00832112e-02
1.33916352e-06,4.86677807e-14,2.05474749e+05,4.31354541e-10,5.58384535e-01,5.16302648e+03,3.56202798e+01,3.42887951e+00,1.27055940e+03,-2.00670808e-02
1.49807244e-06,4.88118291e-14,2.04868373e+05,4.33888213e-10,5.60006825e-01,5.16274591e+03,3.98392761e+01,3.41753680e+00,1.26635518e+03,-2.00666185e-02
1.66072064e-06,4.89832759e-14,2.04151311e+05,4.36299640e-10,5.61148204e-01,5.15516137e+03,4.41575498e+01,3.40592719e+00,1.26205202e+03,-2.00540308e-02
1.82719613e-06,4.91430938e-14,2.03487392e+05,4.38940880e-10,5.62709290e-01,5.15269107e+03,4.85774368e+01,3.39404439e+00,1.25764761e+03,-2.00499292e-02
