V,eps_org,delta_um,j1,j2,j3,j_total,FE_ADPN,FE_PN,FE_HER,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.0200,50.0000,2.68949582e-07,8.85264568e-07,1.41071040e-04,1.42225254e-04,0.189101,0.622438,99.188460,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.05000000e+00,0.0200,50.0000,7.11636681e-07,2.34239717e-06,3.07261276e-04,3.10315310e-04,0.229327,0.754844,99.015829,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.12000000e+00,0.0200,50.0000,2.77895016e-06,9.14709029e-06,9.13704524e-04,9.25630565e-04,0.300222,0.988201,98.711577,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.21800000e+00,0.0200,50.0000,1.87133768e-05,6.15962639e-05,4.20167928e-03,4.28198892e-03,0.437025,1.438497,98.124478,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.35520000e+00,0.0200,50.0000,2.70229110e-04,8.89476213e-04,3.55702464e-02,3.67299517e-02,0.735719,2.421665,96.842617,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.54728000e+00,0.0200,50.0000,1.13538744e-02,3.73719959e-02,7.07646619e-01,7.56372490e-01,1.501096,4.940951,93.557953,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.74728000e+00,0.0200,50.0000,5.55113392e-01,1.82915655e+00,1.59203890e+01,1.83046589e+01,3.032634,9.992847,86.974519,13.026907,2.10912075e-05,2.27373675e-13,4.31047228e-03,5.34718405e-09,1.02344354e+02,3.72574349e-09,0.998925,3.03480526e+02,3.03807011e+02,-2.10912075e-05
-1.94728000e+00,0.0200,50.0000,2.44283400e+01,8.45297828e+01,3.55433269e+02,4.64391392e+02,5.260291,18.202272,76.537437,13.026907,5.35103791e-04,2.27373675e-13,1.07506578e-01,1.04846687e-14,1.65382932e+03,3.72574349e-09,0.951232,2.88990924e+02,3.03807011e+02,-5.35103791e-04
-2.00728000e+00,0.0200,50.0000,6.38805556e+01,2.43266864e+02,8.93913343e+02,1.20106076e+03,5.318678,20.254334,74.426987,13.026907,1.29627905e-03,2.27373675e-13,2.66484179e-01,8.64169847e-14,2.41772743e+03,3.72574349e-09,0.864347,2.62594562e+02,3.03807011e+02,-1.29627905e-03
-2.07328000e+00,0.0200,50.0000,1.32156889e+02,6.55372437e+02,2.43987100e+03,3.22740032e+03,4.094840,20.306512,75.598648,13.026907,2.80201823e-03,4.54747351e-13,6.41353416e-01,3.75658664e-10,2.37576813e+03,3.72574349e-09,0.663749,2.01651583e+02,3.03807011e+02,-2.80201823e-03
-2.14588000e+00,0.0200,50.0000,1.57701574e+02,1.41974193e+03,7.29665590e+03,8.87409940e+03,1.777099,15.998716,82.224185,13.026907,5.03832789e-03,4.54747351e-13,1.46087988e+00,1.27293069e-09,1.63559679e+03,3.72574349e-09,0.365619,1.11077634e+02,3.03807011e+02,-5.03832789e-03
-2.22574000e+00,0.0200,50.0000,8.57728919e+01,2.21494080e+03,2.41967475e+04,2.64974612e+04,0.323702,8.359068,91.317230,13.026907,7.89753140e-03,9.09494702e-13,3.43316322e+00,1.61370917e-13,8.87950119e+02,3.72574349e-09,0.127465,3.87246881e+01,3.03807011e+02,-7.89753140e-03
-2.31358600e+00,0.0200,50.0000,2.30568297e+01,2.60951270e+03,8.99731709e+04,9.26057405e+04,0.024898,2.817874,97.157229,13.026907,1.13887971e-02,1.81898940e-12,9.42699546e+00,1.06537001e-12,4.01320732e+02,3.72574349e-09,0.029083,8.83568402e+00,3.03807011e+02,-1.13887971e-02
-2.41021660e+00,0.0200,50.0000,4.11576547e+00,2.71358770e+03,3.80160789e+05,3.82878492e+05,0.001075,0.708733,99.290192,13.026907,1.54565603e-02,1.81898940e-12,3.25273963e+01,3.81783494e-12,1.57396505e+02,3.72574349e-09,0.004992,1.51672469e+00,3.03807011e+02,-1.54565603e-02
-2.50000000e+00,0.0200,50.0000,7.83209345e-01,2.73111389e+03,1.44843512e+06,1.45116701e+06,0.000054,0.188201,99.811745,13.026907,1.93210985e-02,1.81898940e-12,1.12763371e+02,1.34718903e-11,6.47694850e+01,3.72574349e-09,0.000944,2.86772861e-01,3.03807011e+02,-1.93210985e-02
