x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,phi_l
6.36985151e-08,1.95819990e-11,5.10673315e+02,9.44221045e-06,3.03777781e+01,6.98046914e+02,1.23202981e+03,5.98186572e+01,2.27093844e+01,-3.18083704e-03
1.92594436e-07,1.96237024e-11,5.09588042e+02,9.47540368e-06,3.04198781e+01,6.97570803e+02,1.23223535e+03,5.96622604e+01,2.26500120e+01,-3.17574546e-03
3.24523411e-07,1.96667043e-11,5.08473804e+02,9.51006620e-06,3.04644024e+01,6.97065583e+02,1.23244573e+03,5.95021835e+01,2.25892425e+01,-3.17033714e-03
4.59556808e-07,1.97109453e-11,5.07332533e+02,9.54575286e-06,3.05100865e+01,6.96544021e+02,1.23266105e+03,5.93383398e+01,2.25270430e+01,-3.16474639e-03
5.97767680e-07,1.97564383e-11,5.06164298e+02,9.58249640e-06,3.05570000e+01,6.96008654e+02,1.23288144e+03,5.91706407e+01,2.24633799e+01,-3.15900399e-03
7.39230794e-07,1.98032183e-11,5.04968608e+02,9.62033628e-06,3.06051966e+01,6.95459702e+02,1.23310702e+03,5.89989954e+01,2.23982187e+01,-3.15311298e-03
8.84022681e-07,1.98513573e-11,5.03744067e+02,9.65929699e-06,3.06546247e+01,6.94893682e+02,1.23333791e+03,5.88233112e+01,2.23315242e+01,-3.14703079e-03
1.03222167e-06,1.99007647e-11,5.02493421e+02,9.69948448e-06,3.07057403e+01,6.94324305e+02,1.23357423e+03,5.86434929e+01,2.22632603e+01,-3.14092685e-03
1.18390793e-06,1.99517281e-11,5.01209881e+02,9.74082340e-06,3.07578401e+01,6.93725842e+02,1.23381611e+03,5.84594433e+01,2.21933901e+01,-3.13448423e-03
1.33916352e-06,2.00041387e-11,4.99896711e+02,9.78343428e-06,3.08114511e+01,6.93114276e+02,1.23406368e+03,5.82710629e+01,2.21218758e+01,-3.12790038e-03
1.49807244e-06,2.00579081e-11,4.98556628e+02,9.82743087e-06,3.08670434e+01,6.92503447e+02,1.23431708e+03,5.80782497e+01,2.20486787e+01,-3.12134691e-03
1.66072064e-06,2.01133836e-11,4.97181535e+02,9.87271679e-06,3.09237540e+01,6.91862215e+02,1.23457644e+03,5.78808993e+01,2.19737592e+01,-3.11443931e-03
1.82719613e-06,2.01704245e-11,4.95775528e+02,9.91943817e-06,3.09822320e+01,6.91210296e+02,1.23484190e+03,5.76789051e+01,2.18970767e+01,-3.10742179e-03
1.99758895e-06,2.02291682e-11,4.94335835e+02,9.96760802e-06,3.10422781e+01,6.90538804e+02,1.23511361e+03,5.74721578e+01,2.18185899e+01,-3.10018482e-03
2.17199129e-06,2.02896872e-11,4.92861352e+02,1.00172751e-05,3.11039043e+01,6.89845888e+02,1.23539171e+03,5.72605456e+01,2.17382561e+01,-3.09270571e-03
2.35049750e-06,2.03519165e-11,4.91354344e+02,1.00685598e-05,3.11675520e+01,6.89143874e+02,1.23567636e+03,5.70439538e+01,2.16560320e+01,-3.08513797e-03
2.53320413e-06,2.04159804e-11,4.89812504e+02,1.01214930e-05,3.12330926e+01,6.88425999e+02,1.23596771e+03,5.68222655e+01,2.15718731e+01,-3.07739825e-03
2.72021005e-06,2.04820999e-11,4.88231306e+02,1.01760624e-05,3.13001145e+01,6.87676140e+02,1.23626591e+03,5.65953605e+01,2.14857339e+01,-3.06928635e-03
2.91161640e-06,2.05501822e-11,4.86613803e+02,1.02324159e-05,3.13691785e+01,6.86910215e+02,1.23657112e+03,5.63631163e+01,2.13975677e+01,-3.06100066e-03
3.10752674e-06,2.06201634e-11,4.84962318e+02,1.02906917e-05,3.14407647e+01,6.86141202e+02,1.23688352e+03,5.61254071e+01,2.13073269e+01,-3.05270381e-03
3.30804705e-06,2.06924474e-11,4.83268216e+02,1.03508004e-05,3.15139403e+01,6.85335682e+02,1.23720328e+03,5.58821044e+01,2.12149626e+01,-3.04397941e-03
3.51328580e-06,2.07668156e-11,4.81537577e+02,1.04129692e-05,3.15896858e+01,6.84522758e+02,1.23753055e+03,5.56330766e+01,2.11204249e+01,-3.03519139e-03
3.72335404e-06,2.08436392e-11,4.79762766e+02,1.04771356e-05,3.16671985e+01,6.83673247e+02,1.23786553e+03,5.53781888e+01,2.10236626e+01,-3.02597536e-03
3.93836540e-06,2.09228173e-11,4.77947197e+02,1.05434805e-05,3.17471289e+01,6.82805129e+02,1.23820838e+03,5.51173033e+01,2.09246234e+01,-3.01655668e-03
4.15843619e-06,2.10043662e-11,4.76091578e+02,1.06121324e-05,3.18297845e+01,6.81924974e+02,1.23855931e+03,5.48502789e+01,2.08232537e+01,-3.00701859e-03
4.38368547e-06,2.10886033e-11,4.74189856e+02,1.06830753e-05,3.19145766e+01,6.81010399e+02,1.23891850e+03,5.45769711e+01,2.07194987e+01,-2.99708073e-03
4.61423510e-06,2.11754247e-11,4.72245625e+02,1.07565135e-05,3.20022129e+01,6.80080542e+02,1.23928613e+03,5.42972321e+01,2.06133022e+01,-2.98698416e-03
4.85020980e-06,2.12651044e-11,4.70254057e+02,1.08324682e-05,3.20922756e+01,6.79118338e+02,1.23966242e+03,5.40109106e+01,2.05046068e+01,-2.97651473e-03
5.09173722e-06,2.13575626e-11,4.68218296e+02,1.09111488e-05,3.21854360e+01,6.78141261e+02,1.24004756e+03,5.37178516e+01,2.03933537e+01,-2.96589337e-03
5.33894803e-06,2.14531349e-11,4.66132411e+02,1.09925622e-05,3.22811333e+01,6.77127521e+02,1.24044176e+03,5.34178967e+01,2.02794827e+01,-2.95484570e-03
