V,eps_org,delta_um,j1,j2,j3,j_total,FE_ADPN,FE_PN,FE_HER,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.3000,50.0000,5.00546018e-06,3.81908787e-06,1.41071040e-04,1.49895588e-04,3.339298,2.547832,94.112870,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.05000000e+00,0.3000,50.0000,1.32443748e-05,1.01052509e-05,3.07261276e-04,3.30610902e-04,4.006031,3.056539,92.937430,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.12000000e+00,0.3000,50.0000,5.17194496e-05,3.94611316e-05,9.13704524e-04,1.00488511e-03,5.146802,3.926930,90.926268,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.21800000e+00,0.3000,50.0000,3.48277405e-04,2.65730215e-04,4.20167928e-03,4.81568690e-03,7.232144,5.518013,87.249843,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.35520000e+00,0.3000,50.0000,5.02927365e-03,3.83725717e-03,3.55702464e-02,4.44367772e-02,11.317818,8.635318,80.046863,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.54728000e+00,0.3000,50.0000,2.11303904e-01,1.61221984e-01,7.07636843e-01,1.08016273e+00,19.562229,14.925713,65.512059,13.026907,8.87408404e-07,2.27373675e-13,1.81687253e-04,1.06575652e-10,3.18032539e+00,3.72574349e-09,0.999997,1.31063952e+03,1.31064284e+03,-8.87408404e-07
-1.74728000e+00,0.3000,50.0000,1.03413058e+01,7.89221081e+00,1.59116499e+01,3.41451665e+01,30.286295,23.113698,46.600007,13.026907,5.63589857e-05,2.27373675e-13,1.14780625e-02,5.49549555e-15,1.90189595e+02,3.72574349e-09,0.999752,1.31031799e+03,1.31064284e+03,-5.63589857e-05
-1.94728000e+00,0.3000,50.0000,4.79492503e+02,3.70112196e+02,3.48791275e+02,1.19839597e+03,40.011191,30.883965,29.104844,13.026907,1.74675588e-03,4.54747351e-13,3.68522053e-01,2.96548111e-08,1.79622295e+03,3.72574349e-09,0.988471,1.29553284e+03,1.31064284e+03,-1.74675588e-03
-2.00728000e+00,0.3000,50.0000,1.41790051e+03,1.12027867e+03,8.61911619e+02,3.40009080e+03,41.701843,32.948493,25.349665,13.026907,3.63790741e-03,4.54747351e-13,9.01557372e-01,1.93181348e-06,1.49099319e+03,3.72574349e-09,0.965685,1.26566769e+03,1.31064284e+03,-3.63790741e-03
-2.09128000e+00,0.3000,50.0000,5.44861676e+03,4.81310443e+03,3.02488648e+03,1.32866077e+04,41.008336,36.225232,22.766432,13.026907,6.99685553e-03,9.09494702e-13,2.64528754e+00,1.57302757e-08,7.60689666e+02,3.72574349e-09,0.863727,1.13203793e+03,1.31064284e+03,-6.99685553e-03
-2.18368000e+00,0.3000,50.0000,1.43622553e+04,1.85845722e+04,1.20982799e+04,4.50451075e+04,31.884163,41.257693,26.858144,13.026907,1.03598784e-02,1.81898940e-12,6.97710458e+00,2.88746061e-08,3.55989623e+02,3.72574349e-09,0.589638,7.72805271e+02,1.31064284e+03,-1.03598784e-02
-2.28532000e+00,0.3000,50.0000,1.70339339e+04,5.28877609e+04,5.62566619e+04,1.26178357e+05,13.499886,41.915081,44.585033,13.026907,1.32850551e-02,1.81898940e-12,1.66385398e+01,1.25521815e-12,1.81514283e+02,3.72574349e-09,0.245740,3.22077048e+02,1.31064284e+03,-1.32850551e-02
-2.39712400e+00,0.3000,50.0000,6.74738673e+03,9.55817588e+04,3.04192976e+05,4.06522122e+05,1.659783,23.512068,74.828148,13.026907,1.66832062e-02,3.63797881e-12,4.76972787e+01,4.17887946e-12,8.35189847e+01,3.72574349e-09,0.053861,7.05928288e+01,1.31064284e+03,-1.66832062e-02
-2.50000000e+00,0.3000,50.0000,1.33810508e+03,1.11554664e+05,1.42116934e+06,1.53406210e+06,0.087226,7.271848,92.640926,13.026907,2.05417360e-02,0.00000000e+00,1.67649848e+02,1.71809234e-11,3.44247193e+01,3.72574349e-09,0.009152,1.19950618e+01,1.31064284e+03,-2.05417360e-02
