gap_mm,Q_total_mL_min,phi_AN,delta_um,V_warm_V,cache_file,converged,wall_s,note
0.25,2,0.2900,93.6,-1.000000,s_eo0.290_d94_V-1.000000.bin,true,0.04,
0.25,2,0.1600,93.6,-1.000000,s_eo0.160_d94_V-1.000000.bin,true,0.08,
0.25,2,0.0800,93.6,-1.000000,s_eo0.080_d94_V-1.000000.bin,true,0.01,
0.25,2,0.2400,93.6,-1.000000,s_eo0.240_d94_V-1.000000.bin,true,0.01,
0.25,2,0.0400,93.6,-1.000000,s_eo0.040_d94_V-1.000000.bin,true,0.01,
0.25,2,0.2000,93.6,-1.000000,s_eo0.200_d94_V-1.000000.bin,true,0.01,
0.25,2,0.1200,93.6,-1.000000,s_eo0.120_d94_V-1.000000.bin,true,0.01,
0.25,2,0.2800,93.6,-1.000000,s_eo0.280_d94_V-1.000000.bin,true,0.01,
0.25,2,0.1800,93.6,-1.000000,s_eo0.180_d94_V-1.000000.bin,true,0.01,
0.25,2,0.1000,93.6,-1.000000,s_eo0.100_d94_V-1.000000.bin,true,0.02,
0.25,2,0.2600,93.6,-1.000000,s_eo0.260_d94_V-1.000000.bin,true,0.01,
0.25,2,0.0600,93.6,-1.000000,s_eo0.060_d94_V-1.000000.bin,true,0.01,
0.25,2,0.2200,93.6,-1.000000,s_eo0.220_d94_V-1.000000.bin,true,0.01,
0.25,2,0.1400,93.6,-1.000000,s_eo0.140_d94_V-1.000000.bin,true,0.02,
0.25,6,0.2900,64.9,-1.000000,s_eo0.290_d65_V-1.000000.bin,true,0.01,
0.25,6,0.1600,64.9,-1.000000,s_eo0.160_d65_V-1.000000.bin,true,0.02,
0.25,6,0.0800,64.9,-1.000000,s_eo0.080_d65_V-1.000000.bin,true,0.01,
0.25,6,0.2400,64.9,-1.000000,s_eo0.240_d65_V-1.000000.bin,true,0.02,
0.25,6,0.0400,64.9,-1.000000,s_eo0.040_d65_V-1.000000.bin,true,0.02,
0.25,6,0.2000,64.9,-1.000000,s_eo0.200_d65_V-1.000000.bin,true,0.01,
0.25,6,0.1200,64.9,-1.000000,s_eo0.120_d65_V-1.000000.bin,true,0.01,
0.25,6,0.2800,64.9,-1.000000,s_eo0.280_d65_V-1.000000.bin,true,0.01,
0.25,6,0.1800,64.9,-1.000000,s_eo0.180_d65_V-1.000000.bin,true,0.01,
0.25,6,0.1000,64.9,-1.000000,s_eo0.100_d65_V-1.000000.bin,true,0.02,
0.25,6,0.2600,64.9,-1.000000,s_eo0.260_d65_V-1.000000.bin,true,0.01,
0.25,6,0.0600,64.9,-1.000000,s_eo0.060_d65_V-1.000000.bin,true,0.01,
0.25,6,0.2200,64.9,-1.000000,s_eo0.220_d65_V-1.000000.bin,true,0.01,
0.25,6,0.1400,64.9,-1.000000,s_eo0.140_d65_V-1.000000.bin,true,0.01,
0.25,10,0.2900,54.7,-1.000000,s_eo0.290_d55_V-1.000000.bin,true,0.01,
0.25,10,0.1600,54.7,-1.000000,s_eo0.160_d55_V-1.000000.bin,true,0.01,
0.25,10,0.0800,54.7,-1.000000,s_eo0.080_d55_V-1.000000.bin,true,0.02,
0.25,10,0.2400,54.7,-1.000000,s_eo0.240_d55_V-1.000000.bin,true,0.02,
0.25,10,0.0400,54.7,-1.000000,s_eo0.040_d55_V-1.000000.bin,true,0.01,
0.25,10,0.2000,54.7,-1.000000,s_eo0.200_d55_V-1.000000.bin,true,0.01,
0.25,10,0.1200,54.7,-1.000000,s_eo0.120_d55_V-1.000000.bin,true,0.01,
0.25,10,0.2800,54.7,-1.000000,s_eo0.280_d55_V-1.000000.bin,true,0.01,
0.25,10,0.1800,54.7,-1.000000,s_eo0.180_d55_V-1.000000.bin,true,0.02,
0.25,10,0.1000,54.7,-1.000000,s_eo0.100_d55_V-1.000000.bin,true,0.01,
0.25,10,0.2600,54.7,-1.000000,s_eo0.260_d55_V-1.000000.bin,true,0.01,
0.25,10,0.0600,54.7,-1.000000,s_eo0.060_d55_V-1.000000.bin,true,0.02,
0.25,10,0.2200,54.7,-1.000000,s_eo0.220_d55_V-1.000000.bin,true,0.01,
0.25,10,0.1400,54.7,-1.000000,s_eo0.140_d55_V-1.000000.bin,true,0.01,
0.50,2,0.2900,145.8,-1.000000,s_eo0.290_d146_V-1.000000.bin,true,0.01,
0.50,2,0.1600,145.8,-1.000000,s_eo0.160_d146_V-1.000000.bin,true,0.02,
0.50,2,0.0800,145.8,-1.000000,s_eo0.080_d146_V-1.000000.bin,true,0.02,
0.50,2,0.2400,145.8,-1.000000,s_eo0.240_d146_V-1.000000.bin,true,0.02,
0.50,2,0.0400,145.8,-1.000000,s_eo0.040_d146_V-1.000000.bin,true,0.01,
0.50,2,0.2000,145.8,-1.000000,s_eo0.200_d146_V-1.000000.bin,true,0.01,
0.50,2,0.1200,145.8,-1.000000,s_eo0.120_d146_V-1.000000.bin,true,0.02,
0.50,2,0.2800,145.8,-1.000000,s_eo0.280_d146_V-1.000000.bin,true,0.02,
0.50,2,0.1800,145.8,-1.000000,s_eo0.180_d146_V-1.000000.bin,true,0.02,
0.50,2,0.1000,145.8,-1.000000,s_eo0.100_d146_V-1.000000.bin,true,0.01,
0.50,2,0.2600,145.8,-1.000000,s_eo0.260_d146_V-1.000000.bin,true,0.01,
0.50,2,0.0600,145.8,-1.000000,s_eo0.060_d146_V-1.000000.bin,true,0.01,
0.50,2,0.2200,145.8,-1.000000,s_eo0.220_d146_V-1.000000.bin,true,0.01,
0.50,2,0.1400,145.8,-1.000000,s_eo0.140_d146_V-1.000000.bin,true,0.01,
0.50,6,0.2900,101.1,-1.000000,s_eo0.290_d101_V-1.000000.bin,true,0.01,
0.50,6,0.1600,101.1,-1.000000,s_eo0.160_d101_V-1.000000.bin,true,0.01,
0.50,6,0.0800,101.1,-1.000000,s_eo0.080_d101_V-1.000000.bin,true,0.01,
0.50,6,0.2400,101.1,-1.000000,s_eo0.240_d101_V-1.000000.bin,true,0.01,
0.50,6,0.0400,101.1,-1.000000,s_eo0.040_d101_V-1.000000.bin,true,0.01,
0.50,6,0.2000,101.1,-1.000000,s_eo0.200_d101_V-1.000000.bin,true,0.01,
0.50,6,0.1200,101.1,-1.000000,s_eo0.120_d101_V-1.000000.bin,true,0.01,
0.50,6,0.2800,101.1,-1.000000,s_eo0.280_d101_V-1.000000.bin,true,0.01,
0.50,6,0.1800,101.1,-1.000000,s_eo0.180_d101_V-1.000000.bin,true,0.01,
0.50,6,0.1000,101.1,-1.000000,s_eo0.100_d101_V-1.000000.bin,true,0.01,
0.50,6,0.2600,101.1,-1.000000,s_eo0.260_d101_V-1.000000.bin,true,0.01,
0.50,6,0.0600,101.1,-1.000000,s_eo0.060_d101_V-1.000000.bin,true,0.02,
0.50,6,0.2200,101.1,-1.000000,s_eo0.220_d101_V-1.000000.bin,true,0.01,
0.50,6,0.1400,101.1,-1.000000,s_eo0.140_d101_V-1.000000.bin,true,0.01,
0.50,10,0.2900,85.3,-1.000000,s_eo0.290_d85_V-1.000000.bin,true,0.01,
0.50,10,0.1600,85.3,-1.000000,s_eo0.160_d85_V-1.000000.bin,true,0.01,
0.50,10,0.0800,85.3,-1.000000,s_eo0.080_d85_V-1.000000.bin,true,0.01,
0.50,10,0.2400,85.3,-1.000000,s_eo0.240_d85_V-1.000000.bin,true,0.01,
0.50,10,0.0400,85.3,-1.000000,s_eo0.040_d85_V-1.000000.bin,true,0.01,
0.50,10,0.2000,85.3,-1.000000,s_eo0.200_d85_V-1.000000.bin,true,0.01,
0.50,10,0.1200,85.3,-1.000000,s_eo0.120_d85_V-1.000000.bin,true,0.01,
0.50,10,0.2800,85.3,-1.000000,s_eo0.280_d85_V-1.000000.bin,true,0.01,
0.50,10,0.1800,85.3,-1.000000,s_eo0.180_d85_V-1.000000.bin,true,0.01,
0.50,10,0.1000,85.3,-1.000000,s_eo0.100_d85_V-1.000000.bin,true,0.01,
0.50,10,0.2600,85.3,-1.000000,s_eo0.260_d85_V-1.000000.bin,true,0.01,
0.50,10,0.0600,85.3,-1.000000,s_eo0.060_d85_V-1.000000.bin,true,0.01,
0.50,10,0.2200,85.3,-1.000000,s_eo0.220_d85_V-1.000000.bin,true,0.08,
0.50,10,0.1400,85.3,-1.000000,s_eo0.140_d85_V-1.000000.bin,true,0.02,
1.00,2,0.2900,223.5,-1.000000,s_eo0.290_d223_V-1.000000.bin,true,0.02,
1.00,2,0.1600,223.5,-1.000000,s_eo0.160_d223_V-1.000000.bin,true,0.01,
1.00,2,0.0800,223.5,-1.000000,s_eo0.080_d223_V-1.000000.bin,true,0.02,
1.00,2,0.2400,223.5,-1.000000,s_eo0.240_d223_V-1.000000.bin,true,0.01,
1.00,2,0.0400,223.5,-1.000000,s_eo0.040_d223_V-1.000000.bin,true,0.01,
1.00,2,0.2000,223.5,-1.000000,s_eo0.200_d223_V-1.000000.bin,true,0.02,
1.00,2,0.1200,223.5,-1.000000,s_eo0.120_d223_V-1.000000.bin,true,0.02,
1.00,2,0.2800,223.5,-1.000000,s_eo0.280_d223_V-1.000000.bin,true,0.01,
1.00,2,0.1800,223.5,-1.000000,s_eo0.180_d223_V-1.000000.bin,true,0.02,
1.00,2,0.1000,223.5,-1.000000,s_eo0.100_d223_V-1.000000.bin,true,0.01,
1.00,2,0.2600,223.5,-1.000000,s_eo0.260_d223_V-1.000000.bin,true,0.01,
1.00,2,0.0600,223.5,-1.000000,s_eo0.060_d223_V-1.000000.bin,true,0.01,
1.00,2,0.2200,223.5,-1.000000,s_eo0.220_d223_V-1.000000.bin,true,0.01,
1.00,2,0.1400,223.5,-1.000000,s_eo0.140_d223_V-1.000000.bin,true,0.01,
1.00,6,0.2900,154.9,-1.000000,s_eo0.290_d155_V-1.000000.bin,true,0.01,
1.00,6,0.1600,154.9,-1.000000,s_eo0.160_d155_V-1.000000.bin,true,0.01,
1.00,6,0.0800,154.9,-1.000000,s_eo0.080_d155_V-1.000000.bin,true,0.01,
1.00,6,0.2400,154.9,-1.000000,s_eo0.240_d155_V-1.000000.bin,true,0.01,
1.00,6,0.0400,154.9,-1.000000,s_eo0.040_d155_V-1.000000.bin,true,0.01,
1.00,6,0.2000,154.9,-1.000000,s_eo0.200_d155_V-1.000000.bin,true,0.01,
1.00,6,0.1200,154.9,-1.000000,s_eo0.120_d155_V-1.000000.bin,true,0.01,
1.00,6,0.2800,154.9,-1.000000,s_eo0.280_d155_V-1.000000.bin,true,0.01,
1.00,6,0.1800,154.9,-1.000000,s_eo0.180_d155_V-1.000000.bin,true,0.02,
1.00,6,0.1000,154.9,-1.000000,s_eo0.100_d155_V-1.000000.bin,true,0.01,
