table,subset,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,V_cathode_SHE_V,V_cell_obs_V,V_cell_pred_V,V_cell_resid_V,delta_lev_um,kappa_eff_S_per_m,R_series_Ohm_m2,converged,note
Table_S2,Excluded,0.25,2,85,0.0200,0.00,28.06,28.06,5.90,6.37,0.47,-2.1303,NaN,3.9225,NaN,93.62,18.550,1.0843e-04,true,
Table_S2,Holdout,0.25,2,80,0.2900,43.90,68.09,24.19,2.00,10.95,8.95,-2.0305,3.2749,3.8214,0.5465,93.62,11.439,1.1367e-04,true,
Table_S2,Holdout,0.25,2,85,0.1600,46.40,68.43,22.03,3.10,10.62,7.52,-2.0354,3.3024,3.8294,0.5270,93.62,14.720,1.1062e-04,true,
Table_S2,Holdout,0.25,2,101,0.0800,45.80,67.96,22.16,5.60,9.57,3.97,-2.0557,3.4358,3.8660,0.4302,93.62,16.872,1.0927e-04,true,
Table_S2,Holdout,0.25,2,116,0.2400,47.50,71.91,24.41,2.30,9.21,6.91,-2.0533,3.5252,3.8837,0.3585,93.62,12.668,1.1234e-04,true,
Table_S2,Holdout,0.25,2,131,0.0400,6.00,50.07,44.07,6.30,6.85,0.55,-2.1320,3.8168,3.9744,0.1576,93.62,17.985,1.0870e-04,true,
Table_S2,Holdout,0.25,2,147,0.2000,54.10,73.66,19.56,1.60,8.18,6.58,-2.0701,3.6403,3.9339,0.2937,93.62,13.681,1.1143e-04,true,
Table_S2,Holdout,0.25,2,162,0.1200,49.90,73.71,23.81,6.00,7.74,1.74,-2.0801,3.6991,3.9581,0.2591,93.62,15.784,1.0991e-04,true,
Table_S2,Holdout,0.25,2,177,0.2800,55.00,75.33,20.33,1.50,7.49,5.99,-2.0817,4.1239,3.9824,-0.1415,93.62,11.681,1.1339e-04,true,
Table_S2,Excluded,0.25,2,193,0.0200,0.00,24.10,24.10,2.50,3.72,1.22,-2.2080,NaN,4.1173,NaN,93.62,18.550,1.0843e-04,true,
Table_S2,Holdout,0.25,2,208,0.1800,43.40,75.27,31.87,9.50,6.82,-2.68,-2.0986,4.2841,4.0296,-0.2545,93.62,14.198,1.1101e-04,true,
Table_S2,Holdout,0.25,2,223,0.1000,23.40,74.37,50.97,4.90,6.50,1.60,-2.1100,4.6100,4.0543,-0.5557,93.62,16.325,1.0958e-04,true,
Table_S2,Holdout,0.25,2,239,0.2600,66.30,76.37,10.07,1.70,6.38,4.68,-2.1076,4.6169,4.0773,-0.5396,93.62,12.171,1.1285e-04,true,
Table_S2,Holdout,0.25,2,254,0.0600,0.00,58.21,58.21,3.60,5.15,1.55,-2.1750,NaN,4.1518,NaN,93.62,17.426,1.0897e-04,true,
Table_S2,Holdout,0.25,2,269,0.2200,51.70,75.94,24.24,3.60,5.93,2.33,-2.1227,4.7313,4.1236,-0.6077,93.62,13.172,1.1187e-04,true,
Table_S2,Holdout,0.25,2,285,0.1400,31.50,74.39,42.89,7.10,5.66,-1.44,-2.1348,4.9731,4.1490,-0.8241,93.62,15.249,1.1026e-04,true,
Table_S2,Excluded,0.25,2,290,0.0200,0.00,18.94,18.94,2.90,2.61,-0.29,-2.2498,NaN,4.2643,NaN,93.62,18.550,1.0843e-04,true,
Table_S2,Holdout,0.25,2,290,0.2900,68.80,76.74,7.94,2.30,5.73,3.43,-2.1270,4.8739,4.1566,-0.7173,93.62,11.439,1.1367e-04,true,
Table_S3,Excluded,0.25,6,85,0.0200,0.60,31.40,30.80,9.10,6.76,-2.34,-2.1250,3.2353,3.9185,0.6832,64.91,18.550,1.0998e-04,true,
Table_S3,Holdout,0.25,6,80,0.2900,41.80,68.72,26.92,22.60,11.02,-11.58,-2.0272,3.0566,3.8201,0.7635,64.91,11.439,1.1618e-04,true,
Table_S3,Holdout,0.25,6,85,0.1600,70.30,69.24,-1.06,3.70,10.70,7.00,-2.0314,3.1165,3.8270,0.7106,64.91,14.720,1.1257e-04,true,
Table_S3,Holdout,0.25,6,101,0.0800,64.30,69.40,5.10,16.70,9.71,-6.99,-2.0490,3.1781,3.8611,0.6830,64.91,16.872,1.1097e-04,true,
Table_S3,Holdout,0.25,6,116,0.2400,58.20,72.89,14.69,2.80,9.30,6.50,-2.0479,3.4093,3.8808,0.4715,64.91,12.668,1.1461e-04,true,
Table_S3,Holdout,0.25,6,131,0.0400,22.60,55.07,32.47,19.30,7.23,-12.07,-2.1203,3.4437,3.9648,0.5211,64.91,17.985,1.1029e-04,true,
Table_S3,Holdout,0.25,6,147,0.2000,58.50,75.03,16.53,6.10,8.30,2.20,-2.0624,3.4215,3.9293,0.5078,64.91,13.681,1.1353e-04,true,
Table_S3,Holdout,0.25,6,162,0.1200,52.60,75.49,22.89,22.40,7.88,-14.52,-2.0703,3.5452,3.9513,0.4061,64.91,15.784,1.1173e-04,true,
Table_S3,Holdout,0.25,6,177,0.2800,55.50,76.83,21.33,7.10,7.60,0.50,-2.0728,3.7665,3.9778,0.2113,64.91,11.681,1.1584e-04,true,
Table_S3,Excluded,0.25,6,193,0.0200,0.30,30.71,30.41,3.00,4.22,1.22,-2.1986,3.1088,4.1109,1.0021,64.91,18.550,1.0998e-04,true,
Table_S3,Holdout,0.25,6,208,0.1800,60.20,77.49,17.29,6.70,6.98,0.28,-2.0860,3.9279,4.0211,0.0932,64.91,14.198,1.1304e-04,true,
Table_S3,Holdout,0.25,6,223,0.1000,40.60,77.32,36.72,32.50,6.70,-25.80,-2.0942,4.0158,4.0424,0.0266,64.91,16.325,1.1134e-04,true,
Table_S3,Holdout,0.25,6,239,0.2600,61.10,78.70,17.60,4.50,6.53,2.03,-2.0939,4.1986,4.0692,-0.1294,64.91,12.171,1.1521e-04,true,
Table_S3,Holdout,0.25,6,254,0.0600,0.10,66.95,66.85,6.30,5.62,-0.68,-2.1500,NaN,4.1310,NaN,64.91,17.426,1.1062e-04,true,
Table_S3,Holdout,0.25,6,269,0.2200,59.40,79.00,19.60,7.30,6.12,-1.18,-2.1045,4.4223,4.1113,-0.3110,64.91,13.172,1.1405e-04,true,
Table_S3,Holdout,0.25,6,285,0.1400,47.60,78.49,30.89,20.70,5.89,-14.81,-2.1133,4.4899,4.1329,-0.3570,64.91,15.249,1.1214e-04,true,
Table_S3,Excluded,0.25,6,290,0.0200,0.00,25.60,25.60,3.90,3.06,-0.84,-2.2410,NaN,4.2600,NaN,64.91,18.550,1.0998e-04,true,
Table_S3,Holdout,0.25,6,290,0.2900,62.00,79.74,17.74,5.70,5.91,0.21,-2.1081,4.0568,4.1450,0.0882,64.91,11.439,1.1618e-04,true,
Table_S4,Excluded,0.25,10,85,0.0200,0.00,32.69,32.69,13.00,6.90,-6.10,-2.1229,NaN,3.9168,NaN,54.75,18.550,1.1053e-04,true,
Table_S4,Holdout,0.25,10,80,0.2900,45.80,68.94,23.14,20.80,11.05,-9.75,-2.0260,3.0629,3.8196,0.7567,54.75,11.439,1.1707e-04,true,
Table_S4,Holdout,0.25,10,85,0.1600,33.40,69.51,36.11,40.50,10.73,-29.77,-2.0299,3.1445,3.8262,0.6817,54.75,14.720,1.1326e-04,true,
Table_S4,Holdout,0.25,10,101,0.0800,50.20,69.89,19.69,29.10,9.75,-19.35,-2.0468,3.0844,3.8595,0.7751,54.75,16.872,1.1157e-04,true,
Table_S4,Holdout,0.25,10,116,0.2400,40.40,73.21,32.81,22.80,9.33,-13.47,-2.0459,3.3156,3.8798,0.5641,54.75,12.668,1.1541e-04,true,
Table_S4,Holdout,0.25,10,131,0.0400,20.90,56.79,35.89,13.50,7.37,-6.13,-2.1158,3.3588,3.9611,0.6023,54.75,17.985,1.1086e-04,true,
Table_S4,Holdout,0.25,10,147,0.2000,25.80,75.47,49.67,29.90,8.33,-21.57,-2.0598,3.4698,3.9278,0.4579,54.75,13.681,1.1427e-04,true,
Table_S4,Holdout,0.25,10,162,0.1200,36.50,76.04,39.54,24.60,7.93,-16.67,-2.0669,3.5958,3.9489,0.3531,54.75,15.784,1.1237e-04,true,
Table_S4,Holdout,0.25,10,177,0.2800,38.00,77.30,39.30,19.80,7.64,-12.16,-2.0696,3.8396,3.9762,0.1366,54.75,11.681,1.1671e-04,true,
Table_S4,Excluded,0.25,10,193,0.0200,0.30,33.77,33.47,2.20,4.44,2.24,-2.1942,5.1813,4.1075,-1.0739,54.75,18.550,1.1053e-04,true,
Table_S4,Holdout,0.25,10,208,0.1800,23.20,78.16,54.96,28.70,7.03,-21.67,-2.0817,3.5873,4.0183,0.4310,54.75,14.198,1.1375e-04,true,
Table_S4,Holdout,0.25,10,223,0.1000,28.80,78.19,49.39,18.40,6.76,-11.64,-2.0889,3.6209,4.0386,0.4177,54.75,16.325,1.1196e-04,true,
Table_S4,Holdout,0.25,10,239,0.2600,34.90,79.41,44.51,23.40,6.57,-16.83,-2.0893,3.7437,4.0666,0.3229,54.75,12.171,1.1604e-04,true,
Table_S4,Holdout,0.25,10,254,0.0600,20.20,69.66,49.46,19.70,5.77,-13.93,-2.1406,3.3650,4.1231,0.7581,54.75,17.426,1.1120e-04,true,
Table_S4,Holdout,0.25,10,269,0.2200,21.90,79.88,57.98,25.90,6.18,-19.72,-2.0987,3.7805,4.1076,0.3271,54.75,13.172,1.1482e-04,true,
Table_S4,Holdout,0.25,10,285,0.1400,19.70,79.62,59.92,23.40,5.96,-17.44,-2.1063,3.6412,4.1278,0.4866,54.75,15.249,1.1280e-04,true,
Table_S4,Excluded,0.25,10,290,0.0200,0.20,29.09,28.89,2.40,3.27,0.87,-2.2363,4.8276,4.2569,-0.5707,54.75,18.550,1.1053e-04,true,
Table_S4,Holdout,0.25,10,290,0.2900,45.40,80.60,35.20,14.20,5.96,-8.24,-2.1023,3.9618,4.1418,0.1799,54.75,11.439,1.1707e-04,true,
Table_S5,Excluded,0.50,2,85,0.0200,33.10,23.17,-9.93,41.70,5.76,-35.94,-2.1377,3.1933,3.9389,0.7457,145.81,18.550,1.1909e-04,true,
Table_S5,Core,0.50,2,80,0.2900,51.00,66.88,15.88,1.50,10.81,9.31,-2.0365,3.0597,3.8413,0.7816,145.81,11.439,1.3096e-04,true,
Table_S5,Core,0.50,2,85,0.1600,60.70,66.86,6.16,2.00,10.44,8.44,-2.0429,2.9709,3.8483,0.8775,145.81,14.720,1.2406e-04,true,
Table_S5,Core,0.50,2,101,0.0800,71.50,64.93,-6.57,3.00,9.27,6.27,-2.0680,3.3225,3.8902,0.5677,145.81,16.872,1.2099e-04,true,
Table_S5,Core,0.50,2,116,0.2400,60.90,69.88,8.98,2.20,9.02,6.82,-2.0635,3.3807,3.9119,0.5313,145.81,12.668,1.2796e-04,true,
Table_S5,Core,0.50,2,131,0.0400,70.60,41.41,-29.19,10.50,6.16,-4.34,-2.1492,3.5636,4.0060,0.4424,145.81,17.985,1.1969e-04,true,
Table_S5,Core,0.50,2,147,0.2000,65.30,70.67,5.37,2.80,7.94,5.14,-2.0848,3.5315,3.9698,0.4384,145.81,13.681,1.2589e-04,true,
Table_S5,Core,0.50,2,162,0.1200,69.70,69.61,-0.09,3.70,7.43,3.73,-2.0988,3.7362,3.9972,0.2610,145.81,15.784,1.2244e-04,true,
Table_S5,Core,0.50,2,177,0.2800,67.70,71.93,4.23,2.40,7.23,4.83,-2.0988,3.8195,4.0295,0.2100,145.81,11.681,1.3032e-04,true,
Table_S5,Excluded,0.50,2,193,0.0200,0.00,17.02,17.02,9.40,3.11,-6.29,-2.2174,NaN,4.1472,NaN,145.81,18.550,1.1909e-04,true,
Table_S5,Extended-only,0.50,2,208,0.1800,70.40,69.80,-0.60,4.30,6.47,2.17,-2.1238,4.0628,4.0837,0.0209,145.81,14.198,1.2495e-04,true,
Table_S5,Extended-only,0.50,2,223,0.1000,75.50,66.86,-8.64,8.30,6.04,-2.26,-2.1402,4.0550,4.1116,0.0567,145.81,16.325,1.2170e-04,true,
Table_S5,Extended-only,0.50,2,239,0.2600,74.30,70.46,-3.84,4.40,6.02,1.62,-2.1358,4.1958,4.1443,-0.0514,145.81,12.171,1.2910e-04,true,
Table_S5,Extended-only,0.50,2,254,0.0600,70.60,43.67,-26.93,13.10,4.38,-8.72,-2.2051,4.1809,4.2107,0.0298,145.81,17.426,1.2033e-04,true,
Table_S5,Extended-only,0.50,2,269,0.2200,75.00,67.87,-7.13,6.20,5.49,-0.71,-2.1559,4.3055,4.1972,-0.1083,145.81,13.172,1.2689e-04,true,
Table_S5,Extended-only,0.50,2,285,0.1400,73.00,63.65,-9.35,9.20,5.10,-4.10,-2.1735,4.3217,4.2246,-0.0970,145.81,15.249,1.2323e-04,true,
