table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,66.88,15.88,1.50,10.81,9.31
Table_S5,0.50,2,85,0.1600,60.70,66.85,6.15,2.00,10.44,8.44
Table_S5,0.50,2,101,0.0800,71.50,64.92,-6.58,3.00,9.28,6.28
Table_S5,0.50,2,116,0.2400,60.90,69.88,8.98,2.20,9.02,6.82
Table_S5,0.50,2,131,0.0400,70.60,41.41,-29.19,10.50,6.16,-4.34
Table_S5,0.50,2,147,0.2000,65.30,70.67,5.37,2.80,7.94,5.14
Table_S5,0.50,2,162,0.1200,69.70,69.61,-0.09,3.70,7.43,3.73
Table_S5,0.50,2,177,0.2800,67.70,71.92,4.22,2.40,7.24,4.84
Table_S5,0.50,2,208,0.1800,70.40,69.80,-0.60,4.30,6.47,2.17
Table_S5,0.50,2,223,0.1000,75.50,66.86,-8.64,8.30,6.04,-2.26
Table_S5,0.50,2,239,0.2600,74.30,70.46,-3.84,4.40,6.02,1.62
Table_S5,0.50,2,254,0.0600,70.60,43.67,-26.93,13.10,4.38,-8.72
Table_S5,0.50,2,269,0.2200,75.00,67.87,-7.13,6.20,5.49,-0.71
Table_S5,0.50,2,285,0.1400,73.00,63.65,-9.35,9.20,5.10,-4.10
Table_S5,0.50,2,290,0.2900,73.10,68.70,-4.40,4.50,5.30,0.80
Table_S6,0.50,6,80,0.2900,60.40,67.93,7.53,5.50,10.93,5.43
Table_S6,0.50,6,85,0.1600,61.00,68.24,7.24,9.50,10.58,1.08
Table_S6,0.50,6,101,0.0800,65.10,67.56,2.46,10.50,9.53,-0.97
Table_S6,0.50,6,116,0.2400,58.80,71.65,12.85,7.60,9.18,1.58
Table_S6,0.50,6,131,0.0400,65.80,48.77,-17.03,8.60,6.75,-1.85
Table_S6,0.50,6,147,0.2000,58.40,73.29,14.89,8.50,8.15,-0.35
Table_S6,0.50,6,162,0.1200,63.10,73.19,10.09,9.90,7.71,-2.19
Table_S6,0.50,6,177,0.2800,62.00,74.90,12.90,4.60,7.45,2.85
Table_S6,0.50,6,208,0.1800,60.90,74.60,13.70,10.50,6.78,-3.72
Table_S6,0.50,6,223,0.1000,65.00,73.46,8.46,10.20,6.44,-3.76
Table_S6,0.50,6,239,0.2600,66.30,75.66,9.36,5.20,6.33,1.13
Table_S6,0.50,6,254,0.0600,62.10,55.90,-6.20,10.10,5.03,-5.07
Table_S6,0.50,6,269,0.2200,65.30,74.98,9.68,5.90,5.88,-0.02
Table_S6,0.50,6,285,0.1400,69.20,73.08,3.88,5.90,5.58,-0.32
Table_S6,0.50,6,290,0.2900,63.40,75.80,12.40,7.70,5.68,-2.02
Table_S7,0.50,10,80,0.2900,68.10,68.30,0.20,3.40,10.97,7.57
Table_S7,0.50,10,85,0.1600,65.50,68.67,3.17,11.70,10.64,-1.06
Table_S7,0.50,10,101,0.0800,74.70,68.40,-6.30,10.70,9.61,-1.09
Table_S7,0.50,10,116,0.2400,58.60,72.21,13.61,14.10,9.23,-4.87
Table_S7,0.50,10,131,0.0400,53.60,51.53,-2.07,18.20,6.96,-11.24
Table_S7,0.50,10,147,0.2000,47.30,74.08,26.78,18.90,8.22,-10.68
Table_S7,0.50,10,162,0.1200,56.60,74.26,17.66,15.60,7.79,-7.81
Table_S7,0.50,10,177,0.2800,61.60,75.79,14.19,1.90,7.52,5.62
Table_S7,0.50,10,208,0.1800,48.90,75.97,27.07,17.70,6.87,-10.83
Table_S7,0.50,10,223,0.1000,50.40,75.31,24.91,17.70,6.56,-11.14
Table_S7,0.50,10,239,0.2600,65.80,77.11,11.31,3.50,6.42,2.92
Table_S7,0.50,10,254,0.0600,47.10,60.84,13.74,18.90,5.29,-13.61
Table_S7,0.50,10,269,0.2200,49.90,76.92,27.02,15.90,5.99,-9.91
Table_S7,0.50,10,285,0.1400,49.40,75.73,26.33,18.80,5.73,-13.07
Table_S7,0.50,10,290,0.2900,63.80,77.71,13.91,6.20,5.79,-0.41
Table_S8,1.00,2,80,0.2900,61.50,64.84,3.34,2.20,10.59,8.39
Table_S8,1.00,2,85,0.1600,70.50,64.13,-6.37,2.60,10.15,7.55
Table_S8,1.00,2,101,0.0800,74.60,59.48,-15.12,3.30,8.78,5.48
Table_S8,1.00,2,116,0.2400,66.50,66.20,-0.30,2.90,8.69,5.79
Table_S8,1.00,2,131,0.0400,67.40,31.57,-35.83,13.20,5.32,-7.88
Table_S8,1.00,2,147,0.2000,70.70,64.85,-5.85,3.50,7.49,3.99
Table_S8,1.00,2,162,0.1200,69.40,61.52,-7.88,7.40,6.86,-0.54
Table_S8,1.00,2,177,0.2800,69.80,65.05,-4.75,5.10,6.76,1.66
Table_S8,1.00,2,208,0.1800,71.40,58.89,-12.51,6.90,5.80,-1.10
Table_S8,1.00,2,223,0.1000,74.40,53.30,-21.10,8.00,5.26,-2.74
Table_S8,1.00,2,239,0.2600,74.20,58.56,-15.64,6.50,5.35,-1.15
