table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,65.37,14.37,1.50,10.81,9.31
Table_S5,0.50,2,85,0.1600,60.70,65.22,4.52,2.00,10.37,8.37
Table_S5,0.50,2,101,0.0800,71.50,63.69,-7.81,3.00,8.44,5.44
Table_S5,0.50,2,116,0.2400,60.90,65.95,5.05,2.20,9.96,7.76
Table_S5,0.50,2,131,0.0400,70.60,45.23,-25.37,10.50,2.43,-8.07
Table_S5,0.50,2,147,0.2000,65.30,65.84,0.54,2.80,9.03,6.23
Table_S5,0.50,2,162,0.1200,69.70,65.04,-4.66,3.70,8.12,4.42
Table_S5,0.50,2,177,0.2800,67.70,66.12,-1.58,2.40,8.68,6.28
Table_S6,0.50,6,80,0.2900,60.40,65.82,5.42,5.50,11.42,5.92
Table_S6,0.50,6,85,0.1600,61.00,65.83,4.83,9.50,11.13,1.63
Table_S6,0.50,6,101,0.0800,65.10,65.10,0.00,10.50,9.60,-0.90
Table_S6,0.50,6,116,0.2400,58.80,66.75,7.95,7.60,10.93,3.33
Table_S6,0.50,6,131,0.0400,65.80,51.32,-14.48,8.60,3.47,-5.13
Table_S6,0.50,6,147,0.2000,58.40,67.12,8.72,8.50,10.35,1.85
Table_S6,0.50,6,162,0.1200,63.10,66.93,3.83,9.90,9.73,-0.17
Table_S6,0.50,6,177,0.2800,62.00,67.61,5.61,4.60,10.16,5.56
Table_S7,0.50,10,80,0.2900,68.10,65.96,-2.14,3.40,11.63,8.23
Table_S7,0.50,10,85,0.1600,65.50,66.01,0.51,11.70,11.40,-0.30
Table_S7,0.50,10,101,0.0800,74.70,65.51,-9.19,10.70,10.02,-0.68
Table_S7,0.50,10,116,0.2400,58.60,66.99,8.39,14.10,11.27,-2.83
Table_S7,0.50,10,131,0.0400,53.60,53.42,-0.18,18.20,3.93,-14.27
Table_S7,0.50,10,147,0.2000,47.30,67.48,20.18,18.90,10.81,-8.09
Table_S7,0.50,10,162,0.1200,56.60,67.43,10.83,15.60,10.31,-5.29
Table_S7,0.50,10,177,0.2800,61.60,68.01,6.41,1.90,10.68,8.78
Table_S8,1.00,2,80,0.2900,61.50,64.39,2.89,2.20,9.75,7.55
Table_S8,1.00,2,85,0.1600,70.50,63.84,-6.66,2.60,9.06,6.46
Table_S8,1.00,2,101,0.0800,74.60,60.33,-14.27,3.30,6.53,3.23
Table_S8,1.00,2,116,0.2400,66.50,64.01,-2.49,2.90,8.29,5.39
Table_S8,1.00,2,131,0.0400,67.40,35.86,-31.54,13.20,1.38,-11.82
Table_S8,1.00,2,147,0.2000,70.70,62.49,-8.21,3.50,6.83,3.33
Table_S8,1.00,2,162,0.1200,69.40,60.00,-9.40,7.40,5.59,-1.81
Table_S8,1.00,2,177,0.2800,69.80,62.08,-7.72,5.10,6.28,1.18
Table_S9,1.00,6,80,0.2900,59.00,65.27,6.27,8.90,10.68,1.78
Table_S9,1.00,6,85,0.1600,64.60,65.08,0.48,12.00,10.22,-1.78
Table_S9,1.00,6,101,0.0800,77.40,63.36,-14.04,8.00,8.21,0.21
Table_S9,1.00,6,116,0.2400,64.30,65.76,1.46,5.80,9.76,3.96
Table_S9,1.00,6,131,0.0400,73.30,43.99,-29.31,8.30,2.26,-6.04
Table_S9,1.00,6,147,0.2000,64.40,65.52,1.12,9.50,8.76,-0.74
Table_S9,1.00,6,162,0.1200,69.80,64.57,-5.23,9.80,7.80,-2.00
Table_S9,1.00,6,177,0.2800,63.20,65.74,2.54,8.70,8.39,-0.31
Table_S10,1.00,10,80,0.2900,52.70,65.53,12.83,10.90,11.02,0.12
Table_S10,1.00,10,85,0.1600,71.60,65.44,-6.16,8.90,10.63,1.73
Table_S10,1.00,10,101,0.0800,79.90,64.21,-15.69,8.50,8.83,0.33
Table_S10,1.00,10,116,0.2400,60.90,66.25,5.35,7.40,10.29,2.89
Table_S10,1.00,10,131,0.0400,73.90,47.27,-26.63,6.90,2.74,-4.16
Table_S10,1.00,10,147,0.2000,60.20,66.32,6.12,8.40,9.47,1.07
Table_S10,1.00,10,162,0.1200,76.70,65.76,-10.94,8.00,8.66,0.66
Table_S10,1.00,10,177,0.2800,60.10,66.68,6.58,11.80,9.18,-2.62
