iter,loss,lambda,nfail
0,9.482934e+04,1.000000e-02,0
1,9.657299e+03,5.000000e-03,0
2,9.657299e+03,2.000000e-02,0
3,9.530829e+03,1.000000e-02,0
4,8.838040e+03,5.000000e-03,0
5,8.838040e+03,2.000000e-02,0
6,8.559001e+03,1.000000e-02,0
7,8.559001e+03,4.000000e-02,0
8,8.559001e+03,1.600000e-01,0
9,8.559001e+03,6.400000e-01,0
10,7.857428e+03,3.200000e-01,0
11,7.857428e+03,1.280000e+00,0
12,7.665731e+03,6.400000e-01,0
13,7.555254e+03,3.200000e-01,0
14,7.555254e+03,1.280000e+00,0
15,7.511282e+03,6.400000e-01,0
