table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,65.37,14.37,1.50,10.81,9.31
Table_S5,0.50,2,85,0.1600,60.70,65.22,4.52,2.00,10.37,8.37
Table_S5,0.50,2,101,0.0800,71.50,63.69,-7.81,3.00,8.44,5.44
Table_S5,0.50,2,116,0.2400,60.90,65.95,5.05,2.20,9.96,7.76
Table_S5,0.50,2,131,0.0400,70.60,45.23,-25.37,10.50,2.43,-8.07
Table_S5,0.50,2,147,0.2000,65.30,65.84,0.54,2.80,9.02,6.22
Table_S5,0.50,2,162,0.1200,69.70,65.04,-4.66,3.70,8.12,4.42
Table_S5,0.50,2,177,0.2800,67.70,66.12,-1.58,2.40,8.68,6.28
Table_S5,0.50,2,208,0.1800,70.40,64.58,-5.82,4.30,7.22,2.92
Table_S5,0.50,2,223,0.1000,75.50,62.65,-12.85,8.30,6.13,-2.17
Table_S5,0.50,2,239,0.2600,74.30,64.69,-9.61,4.40,6.98,2.58
Table_S5,0.50,2,254,0.0600,70.60,44.51,-26.09,13.10,1.99,-11.11
Table_S5,0.50,2,269,0.2200,75.00,62.88,-12.12,6.20,5.90,-0.30
Table_S5,0.50,2,285,0.1400,73.00,60.03,-12.97,9.20,4.80,-4.40
Table_S5,0.50,2,290,0.2900,73.10,63.25,-9.85,4.50,5.92,1.42
Table_S6,0.50,6,80,0.2900,60.40,65.82,5.42,5.50,11.42,5.92
Table_S6,0.50,6,85,0.1600,61.00,65.83,4.83,9.50,11.13,1.63
Table_S6,0.50,6,101,0.0800,65.10,65.10,0.00,10.50,9.60,-0.90
Table_S6,0.50,6,116,0.2400,58.80,66.75,7.95,7.60,10.93,3.33
Table_S6,0.50,6,131,0.0400,65.80,51.32,-14.48,8.60,3.47,-5.13
Table_S6,0.50,6,147,0.2000,58.40,67.12,8.72,8.50,10.35,1.85
Table_S6,0.50,6,162,0.1200,63.10,66.93,3.83,9.90,9.73,-0.17
Table_S6,0.50,6,177,0.2800,62.00,67.61,5.61,4.60,10.16,5.56
Table_S6,0.50,6,208,0.1800,60.90,67.23,6.33,10.50,9.15,-1.35
Table_S6,0.50,6,223,0.1000,65.00,66.51,1.51,10.20,8.32,-1.88
Table_S6,0.50,6,239,0.2600,66.30,67.57,1.27,5.20,9.00,3.80
Table_S6,0.50,6,254,0.0600,62.10,54.29,-7.81,10.10,3.49,-6.61
Table_S6,0.50,6,269,0.2200,65.30,67.03,1.73,5.90,8.19,2.29
Table_S6,0.50,6,285,0.1400,69.20,65.89,-3.31,5.90,7.28,1.38
Table_S6,0.50,6,290,0.2900,63.40,67.37,3.97,7.70,8.24,0.54
Table_S7,0.50,10,80,0.2900,68.10,65.96,-2.14,3.40,11.63,8.23
Table_S7,0.50,10,85,0.1600,65.50,66.01,0.51,11.70,11.40,-0.30
Table_S7,0.50,10,101,0.0800,74.70,65.51,-9.19,10.70,10.02,-0.68
Table_S7,0.50,10,116,0.2400,58.60,66.99,8.39,14.10,11.27,-2.83
Table_S7,0.50,10,131,0.0400,53.60,53.42,-0.18,18.20,3.93,-14.27
Table_S7,0.50,10,147,0.2000,47.30,67.48,20.18,18.90,10.81,-8.09
Table_S7,0.50,10,162,0.1200,56.60,67.43,10.83,15.60,10.31,-5.29
Table_S7,0.50,10,177,0.2800,61.60,68.01,6.41,1.90,10.68,8.78
Table_S7,0.50,10,208,0.1800,48.90,67.90,19.00,17.70,9.85,-7.85
Table_S7,0.50,10,223,0.1000,50.40,67.49,17.09,17.70,9.16,-8.54
Table_S7,0.50,10,239,0.2600,65.80,68.29,2.49,3.50,9.74,6.24
Table_S7,0.50,10,254,0.0600,47.10,57.77,10.67,18.90,4.30,-14.60
Table_S7,0.50,10,269,0.2200,49.90,68.06,18.16,15.90,9.07,-6.83
Table_S7,0.50,10,285,0.1400,49.40,67.36,17.96,18.80,8.28,-10.52
Table_S7,0.50,10,290,0.2900,63.80,68.37,4.57,6.20,9.12,2.92
Table_S8,1.00,2,80,0.2900,61.50,64.39,2.89,2.20,9.75,7.55
Table_S8,1.00,2,85,0.1600,70.50,63.84,-6.66,2.60,9.05,6.45
Table_S8,1.00,2,101,0.0800,74.60,60.33,-14.27,3.30,6.53,3.23
Table_S8,1.00,2,116,0.2400,66.50,64.01,-2.49,2.90,8.29,5.39
Table_S8,1.00,2,131,0.0400,67.40,35.86,-31.54,13.20,1.38,-11.82
Table_S8,1.00,2,147,0.2000,70.70,62.48,-8.22,3.50,6.83,3.33
Table_S8,1.00,2,162,0.1200,69.40,60.01,-9.39,7.40,5.59,-1.81
Table_S8,1.00,2,177,0.2800,69.80,62.08,-7.72,5.10,6.29,1.19
Table_S8,1.00,2,208,0.1800,71.40,57.46,-13.94,6.90,4.45,-2.45
Table_S8,1.00,2,223,0.1000,74.40,53.08,-21.32,8.00,3.37,-4.63
Table_S8,1.00,2,239,0.2600,74.20,56.88,-17.32,6.50,4.14,-2.36
Table_S8,1.00,2,254,0.0600,62.40,32.25,-30.15,11.50,0.93,-10.57
Table_S8,1.00,2,269,0.2200,74.80,52.61,-22.19,7.70,3.12,-4.58
Table_S8,1.00,2,285,0.1400,73.80,47.68,-26.12,7.80,2.32,-5.48
Table_S8,1.00,2,290,0.2900,72.00,52.95,-19.05,6.10,3.13,-2.97
Table_S9,1.00,6,80,0.2900,59.00,65.27,6.27,8.90,10.68,1.78
Table_S9,1.00,6,85,0.1600,64.60,65.08,0.48,12.00,10.22,-1.78
Table_S9,1.00,6,101,0.0800,77.40,63.36,-14.04,8.00,8.21,0.21
Table_S9,1.00,6,116,0.2400,64.30,65.76,1.46,5.80,9.76,3.96
Table_S9,1.00,6,131,0.0400,73.30,43.99,-29.31,8.30,2.26,-6.04
Table_S9,1.00,6,147,0.2000,64.40,65.52,1.12,9.50,8.76,-0.74
Table_S9,1.00,6,162,0.1200,69.80,64.57,-5.23,9.80,7.80,-2.00
Table_S9,1.00,6,177,0.2800,63.20,65.74,2.54,8.70,8.38,-0.32
Table_S9,1.00,6,208,0.1800,69.70,63.90,-5.80,6.40,6.85,0.45
Table_S9,1.00,6,223,0.1000,73.50,61.64,-11.86,8.90,5.71,-3.19
Table_S9,1.00,6,239,0.2600,68.10,63.93,-4.17,8.50,6.59,-1.91
Table_S9,1.00,6,254,0.0600,56.00,42.75,-13.25,11.40,1.79,-9.61
Table_S9,1.00,6,269,0.2200,64.40,61.81,-2.59,11.00,5.48,-5.52
Table_S9,1.00,6,285,0.1400,68.20,58.62,-9.58,11.50,4.40,-7.10
Table_S9,1.00,6,290,0.2900,60.10,62.17,2.07,16.30,5.50,-10.80
Table_S10,1.00,10,80,0.2900,52.70,65.53,12.83,10.90,11.02,0.12
Table_S10,1.00,10,85,0.1600,71.60,65.43,-6.17,8.90,10.63,1.73
Table_S10,1.00,10,101,0.0800,79.90,64.21,-15.69,8.50,8.83,0.33
Table_S10,1.00,10,116,0.2400,60.90,66.25,5.35,7.40,10.29,2.89
Table_S10,1.00,10,131,0.0400,73.90,47.27,-26.63,6.90,2.74,-4.16
Table_S10,1.00,10,147,0.2000,60.20,66.32,6.12,8.40,9.47,1.07
Table_S10,1.00,10,162,0.1200,76.70,65.76,-10.94,8.00,8.66,0.66
Table_S10,1.00,10,177,0.2800,60.10,66.68,6.58,11.80,9.18,-2.62
Table_S10,1.00,10,208,0.1800,64.90,65.61,0.71,11.50,7.86,-3.64
Table_S10,1.00,10,223,0.1000,70.60,64.14,-6.46,12.80,6.83,-5.97
Table_S10,1.00,10,239,0.2600,58.50,65.80,7.30,14.00,7.64,-6.36
Table_S10,1.00,10,254,0.0600,69.30,47.70,-21.60,15.60,2.39,-13.21
Table_S10,1.00,10,269,0.2200,61.90,64.49,2.59,12.40,6.64,-5.76
Table_S10,1.00,10,285,0.1400,67.60,62.26,-5.34,11.40,5.56,-5.84
Table_S10,1.00,10,290,0.2900,61.80,64.85,3.05,10.90,6.66,-4.24
