row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_TCH_pred,V_cathode_pred,converged
2,holdout,0.25,2.0,80.0,0.29,0.013,0.0018,43.9,2.0,9.7,64.25868003266898,8.27389410614176,13.464200116599233,-1.833576875,1
3,holdout,0.25,2.0,85.0,0.16,0.019,0.00055,46.4,3.1,10.0,64.02657912774757,8.402944694240448,13.388675618160503,-1.8384753125,1
4,holdout,0.25,2.0,101.0,0.08,0.022,0.00014,45.8,5.6,9.9,62.39673234300341,9.055888947419195,12.955638463896737,-1.8560690625,1
5,holdout,0.25,2.0,116.0,0.24,0.015,0.0012,47.5,2.3,11.2,64.3823917011675,8.611803952393183,13.355707330706645,-1.8560065625000002,1
6,holdout,0.25,2.0,131.0,0.04,0.024,3.4e-5,6.0,6.3,0.8,47.37276748063018,12.67358945443085,9.619725196793253,-1.9168112499999996,1
7,holdout,0.25,2.0,147.0,0.2,0.017,0.00086,54.1,1.6,12.9,64.08045901717217,8.951388022671868,13.20113517929675,-1.87186203125,1
8,holdout,0.25,2.0,162.0,0.12,0.02,0.00031,49.9,6.0,12.2,63.40905799390379,9.265564065737998,13.0152500003304,-1.8807760937499998,1
9,holdout,0.25,2.0,177.0,0.28,0.014,0.0017,55.0,1.5,13.6,64.18247703302164,9.114829818541885,13.157133153157533,-1.882496796875,1
11,holdout,0.25,2.0,208.0,0.18,0.018,0.00069,43.4,9.5,9.6,63.014631611820484,9.66395551492081,12.839086777028578,-1.89738546875,1
12,holdout,0.25,2.0,223.0,0.1,0.021,0.00021,23.4,4.9,4.3,61.73112460742055,10.144631895170203,12.531072567885575,-1.90694796875,1
13,holdout,0.25,2.0,239.0,0.26,0.014,0.0014,66.3,1.7,15.0,63.05654212244345,9.807145951882148,12.799477711172758,-1.9053260937499998,1
14,holdout,0.25,2.0,254.0,0.06,0.023,7.7e-5,0.0,3.6,0.0,47.2648448143111,13.74671975299454,9.424045231465932,-1.9575925,1
15,holdout,0.25,2.0,269.0,0.22,0.016,0.001,51.7,3.6,10.2,61.88633063820284,10.317579704715644,12.500827215476047,-1.91723703125,1
16,holdout,0.25,2.0,285.0,0.14,0.02,0.00042,31.5,7.1,5.7,60.11568392965919,10.929791263333087,12.096397316201388,-1.9275534374999999,1
18,holdout,0.25,2.0,290.0,0.29,0.013,0.0018,68.8,2.3,13.0,62.13347835229476,10.327479774385445,12.52929523982841,-1.9203936718750003,1
20,holdout,0.25,6.0,80.0,0.29,0.12,0.016,41.8,22.6,6.7,64.74978612003756,8.12613631880443,13.577913583700226,-1.8316432812499999,1
21,holdout,0.25,6.0,85.0,0.16,0.17,0.0049,70.3,3.7,14.0,64.65909127503028,8.213387382874432,13.534314684062664,-1.8359518750000001,1
22,holdout,0.25,6.0,101.0,0.08,0.2,0.0012,64.3,16.7,10.7,63.56852205000552,8.715769201253343,13.220945262292124,-1.8515768750000001,1
23,holdout,0.25,6.0,116.0,0.24,0.14,0.011,58.2,2.8,12.6,65.18811011954666,8.357710914971367,13.540121924214274,-1.85278390625,1
24,holdout,0.25,6.0,131.0,0.04,0.22,0.00031,22.6,19.3,3.2,52.02687405737587,11.857837240576151,10.604947262739666,-1.9056784374999998,1
25,holdout,0.25,6.0,147.0,0.2,0.15,0.0077,58.5,6.1,11.4,65.23585597259593,8.5788650056634,13.46341389761471,-1.8672018749999997,1
26,holdout,0.25,6.0,162.0,0.12,0.18,0.0028,52.6,22.4,7.5,64.93841801581976,8.775252131881645,13.360150309625054,-1.87462375,1
27,holdout,0.25,6.0,177.0,0.28,0.12,0.015,55.5,7.1,10.2,65.48309128887585,8.682916773290478,13.451533916524761,-1.8772503125,1
29,holdout,0.25,6.0,208.0,0.18,0.16,0.0062,60.2,6.7,10.8,64.98150692954572,9.018135509057227,13.279147918002538,-1.8895651562499998,1
30,holdout,0.25,6.0,223.0,0.1,0.19,0.0019,40.6,32.5,5.7,64.3673692164604,9.298879639939264,13.116036501199389,-1.8966940625,1
31,holdout,0.25,6.0,239.0,0.26,0.13,0.013,61.1,4.5,11.9,65.15910890810257,9.10114042228963,13.269022169203632,-1.8969600781250002,1
32,holdout,0.25,6.0,254.0,0.06,0.21,0.00069,0.1,6.3,0.8,55.18429995674703,12.11046241068936,11.078383100127578,-1.9377096875,1
33,holdout,0.25,6.0,269.0,0.22,0.14,0.0093,59.4,7.3,10.8,64.67034944409092,9.396436146802955,13.116605477598114,-1.90646046875,1
34,holdout,0.25,6.0,285.0,0.14,0.18,0.0038,47.6,20.7,6.8,63.84001669100134,9.744026238787304,12.911345479541247,-1.91378390625,1
36,holdout,0.25,6.0,290.0,0.29,0.12,0.016,62.0,5.7,11.4,64.88690536239227,9.4005383177863,13.138255635330312,-1.9097513867187499,1
38,holdout,0.25,10.0,80.0,0.29,0.33,0.045,45.8,20.8,9.1,64.9168410916896,8.075558195051206,13.616596469164607,-1.83099875,1
39,holdout,0.25,10.0,85.0,0.16,0.47,0.014,33.4,40.5,0.2,64.87077822796792,8.1486136825857,13.583364790981628,-1.83507296875,1
40,holdout,0.25,10.0,101.0,0.08,0.56,0.0034,50.2,29.1,6.3,63.94833122506556,8.601460564337955,13.30776432415617,-1.8500143750000002,1
41,holdout,0.25,10.0,116.0,0.24,0.38,0.031,40.4,22.8,7.3,65.45397796037163,8.271852050325343,13.60140376297976,-1.85167453125,1
42,holdout,0.25,10.0,131.0,0.04,0.61,0.00086,20.9,13.5,0.1,53.484265665831586,11.56569404976488,10.915943674491333,-1.9019675,1
43,holdout,0.25,10.0,147.0,0.2,0.42,0.021,25.8,29.9,4.3,65.60659720554081,8.454207822736313,13.54881024034636,-1.8655417187499999,1
44,holdout,0.25,10.0,162.0,0.12,0.51,0.0077,36.5,24.6,5.5,65.41862532173626,8.61531389753183,13.46950048836407,-1.8725729687500001,1
45,holdout,0.25,10.0,177.0,0.28,0.34,0.042,38.0,19.8,8.5,65.89591384679986,8.540947295557128,13.545937298966342,-1.8754778515625001,1
47,holdout,0.25,10.0,208.0,0.18,0.44,0.017,23.2,28.7,3.8,65.58116400043328,8.81215161276916,13.414758746591582,-1.8870260937499999,1
48,holdout,0.25,10.0,223.0,0.1,0.54,0.0054,28.8,18.4,5.0,65.14201763365013,9.036001417173132,13.289929040716057,-1.8934714062499998,1
49,holdout,0.25,10.0,239.0,0.26,0.36,0.036,34.9,23.4,7.0,65.79205243669306,8.87821004695443,13.412044479221713,-1.8942659375000002,1
50,holdout,0.25,10.0,254.0,0.06,0.58,0.0019,20.2,19.7,3.8,57.53569116003441,11.508563765483276,11.579061911018671,-1.9306784375,1
51,holdout,0.25,10.0,269.0,0.22,0.4,0.026,21.9,25.9,4.3,65.4793877675662,9.111585626334517,13.298159978516349,-1.90304171875,1
52,holdout,0.25,10.0,285.0,0.14,0.49,0.011,19.7,23.4,4.0,64.88383110482239,9.383629744804757,13.143615664796538,-1.9094870312499999,1
54,holdout,0.25,10.0,290.0,0.29,0.33,0.045,45.4,14.2,9.3,65.68603852401338,9.114407493119439,13.31764409274728,-1.9063772656250002,1
56,core,0.5,2.0,80.0,0.29,0.0067,0.0009,51.0,1.5,10.9,63.279311064534284,8.558262172358418,13.239720535935621,-1.8371862499999998,1
57,core,0.5,2.0,85.0,0.16,0.0093,0.00027,60.7,2.0,13.5,NaN,NaN,NaN,NaN,0
58,core,0.5,2.0,101.0,0.08,0.011,6.9e-5,71.5,3.0,16.6,NaN,NaN,NaN,NaN,0
59,core,0.5,2.0,116.0,0.24,0.0076,0.00062,60.9,2.2,13.7,NaN,NaN,NaN,NaN,0
60,core,0.5,2.0,131.0,0.04,0.012,1.7e-5,70.6,10.5,8.6,NaN,NaN,NaN,NaN,0
61,core,0.5,2.0,147.0,0.2,0.0085,0.00043,65.3,2.8,14.7,NaN,NaN,NaN,NaN,0
62,core,0.5,2.0,162.0,0.12,0.01,0.00015,69.7,3.7,16.1,NaN,NaN,NaN,NaN,0
63,core,0.5,2.0,177.0,0.28,0.0069,0.00084,67.7,2.4,14.1,NaN,NaN,NaN,NaN,0
65,extended,0.5,2.0,208.0,0.18,0.0089,0.00035,70.4,4.3,14.3,NaN,NaN,NaN,NaN,0
66,extended,0.5,2.0,223.0,0.1,0.011,0.00011,75.5,8.3,16.0,NaN,NaN,NaN,NaN,0
67,extended,0.5,2.0,239.0,0.26,0.0072,0.00072,74.3,4.4,12.6,NaN,NaN,NaN,NaN,0
68,extended,0.5,2.0,254.0,0.06,0.012,3.9e-5,70.6,13.1,10.7,NaN,NaN,NaN,NaN,0
69,extended,0.5,2.0,269.0,0.22,0.008,0.00052,75.0,6.2,12.2,NaN,NaN,NaN,NaN,0
