V,eps_org,delta_um,j1,j2,j3,j4,j_total,FE_ADPN,FE_PN,FE_HER,FE_TCH,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.0200,50.0000,2.68949582e-07,8.85264568e-07,3.52015727e-04,8.17087687e-08,3.53251650e-04,0.076135,0.250605,99.650130,0.023130,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.05000000e+00,0.0200,50.0000,7.11636681e-07,2.34239717e-06,7.51934963e-04,2.16200213e-07,7.55205197e-04,0.094231,0.310167,99.566974,0.028628,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.12000000e+00,0.0200,50.0000,2.77895016e-06,9.14709029e-06,2.17593429e-03,8.44264542e-07,2.18870459e-03,0.126968,0.417923,99.416536,0.038574,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.21800000e+00,0.0200,50.0000,1.87133768e-05,6.15962639e-05,9.63157857e-03,5.68525508e-06,9.71757347e-03,0.192573,0.633865,99.115058,0.058505,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.35520000e+00,0.0200,50.0000,2.70229110e-04,8.89476213e-04,7.72982828e-02,8.20974980e-05,7.85400857e-02,0.344065,1.132512,98.418893,0.104529,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.41282400e+00,0.0200,50.0000,8.29384121e-04,2.72997031e-03,1.85373753e-01,2.51972711e-04,1.89185081e-01,0.438398,1.443016,97.985398,0.133188,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.49349760e+00,0.0200,50.0000,3.98647217e-03,1.31217254e-02,6.30780123e-01,1.21111820e-03,6.49099439e-01,0.614154,2.021528,97.177734,0.186584,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.50366247e+00,0.0200,50.0000,4.85847193e-03,1.59919678e-02,7.36018192e-01,1.47603783e-03,7.58344670e-01,0.640668,2.108799,97.055893,0.194639,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.51789330e+00,0.0200,50.0000,6.40877526e-03,2.10948893e-02,9.13488991e-01,1.94703086e-03,9.42939687e-01,0.679659,2.237141,96.876715,0.206485,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,3.03807011e+02,3.03807011e+02,0.00000000e+00
-1.51968638e+00,0.0200,50.0000,6.63635424e-03,2.18439825e-02,9.38693739e-01,2.01617071e-03,9.69190247e-01,0.684732,2.253838,96.853403,0.208026,13.026907,8.70726661e-09,2.27373675e-13,1.78236523e-06,1.51558985e-14,4.31511592e-02,3.72574349e-09,1.000000,3.03806975e+02,3.03807011e+02,-8.70726661e-09
