x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
6.36985151e-08,9.39922772e-11,1.06391719e+02,1.28890548e-04,8.63911881e+01,4.13608817e+02,7.59517483e+02,1.00981346e-03,1.00981346e-03,1.00002930e-03,-2.17034376e-09
1.92594436e-07,9.39922776e-11,1.06391719e+02,1.28890549e-04,8.63911883e+01,4.13608816e+02,7.59517483e+02,1.00981346e-03,1.00002930e-03,1.00981346e-03,-2.16657313e-09
3.24523411e-07,9.39922781e-11,1.06391719e+02,1.28890550e-04,8.63911886e+01,4.13608816e+02,7.59517483e+02,1.00002930e-03,1.00981346e-03,1.00981346e-03,-2.16107721e-09
4.59556808e-07,9.39922785e-11,1.06391718e+02,1.28890551e-04,8.63911889e+01,4.13608815e+02,7.59517483e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.15519016e-09
5.97767680e-07,9.39922789e-11,1.06391718e+02,1.28890552e-04,8.63911891e+01,4.13608815e+02,7.59517483e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.14898819e-09
7.39230794e-07,9.39922794e-11,1.06391717e+02,1.28890553e-04,8.63911894e+01,4.13608814e+02,7.59517483e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.14287466e-09
8.84022681e-07,9.39922799e-11,1.06391717e+02,1.28890554e-04,8.63911897e+01,4.13608813e+02,7.59517484e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.13655829e-09
1.03222167e-06,9.39922803e-11,1.06391716e+02,1.28890555e-04,8.63911900e+01,4.13608813e+02,7.59517484e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.12994312e-09
1.18390793e-06,9.39922808e-11,1.06391715e+02,1.28890556e-04,8.63911903e+01,4.13608812e+02,7.59517484e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.12341070e-09
1.33916352e-06,9.39922813e-11,1.06391715e+02,1.28890557e-04,8.63911906e+01,4.13608811e+02,7.59517484e+02,1.00981346e-03,1.00981346e-03,1.00002930e-03,-2.11662828e-09
1.49807244e-06,9.39922818e-11,1.06391714e+02,1.28890558e-04,8.63911909e+01,4.13608810e+02,7.59517484e+02,1.00981346e-03,1.00002930e-03,1.00981346e-03,-2.10958614e-09
1.66072064e-06,9.39922823e-11,1.06391714e+02,1.28890559e-04,8.63911912e+01,4.13608810e+02,7.59517484e+02,1.00002930e-03,1.00981346e-03,1.00981346e-03,-2.10238645e-09
1.82719613e-06,9.39922829e-11,1.06391713e+02,1.28890561e-04,8.63911915e+01,4.13608809e+02,7.59517484e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.09520691e-09
1.99758895e-06,9.39922834e-11,1.06391712e+02,1.28890562e-04,8.63911919e+01,4.13608808e+02,7.59517485e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.08757350e-09
2.17199129e-06,9.39922840e-11,1.06391712e+02,1.28890563e-04,8.63911922e+01,4.13608807e+02,7.59517485e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.07993864e-09
2.35049750e-06,9.39922845e-11,1.06391711e+02,1.28890564e-04,8.63911925e+01,4.13608806e+02,7.59517485e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.07210888e-09
2.53320413e-06,9.39922851e-11,1.06391711e+02,1.28890566e-04,8.63911929e+01,4.13608806e+02,7.59517485e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.06407367e-09
2.72021005e-06,9.39922857e-11,1.06391710e+02,1.28890567e-04,8.63911933e+01,4.13608805e+02,7.59517485e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.05583390e-09
2.91161640e-06,9.39922863e-11,1.06391709e+02,1.28890568e-04,8.63911936e+01,4.13608804e+02,7.59517485e+02,1.00981346e-03,1.00981346e-03,1.00002930e-03,-2.04744770e-09
3.10752674e-06,9.39922869e-11,1.06391709e+02,1.28890570e-04,8.63911940e+01,4.13608803e+02,7.59517486e+02,1.00981346e-03,1.00002930e-03,1.00981346e-03,-2.03892819e-09
3.30804705e-06,9.39922876e-11,1.06391708e+02,1.28890571e-04,8.63911944e+01,4.13608802e+02,7.59517486e+02,1.00002930e-03,1.00981346e-03,1.00981346e-03,-2.03003095e-09
3.51328580e-06,9.39922882e-11,1.06391707e+02,1.28890573e-04,8.63911948e+01,4.13608801e+02,7.59517486e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.02103506e-09
3.72335404e-06,9.39922889e-11,1.06391706e+02,1.28890574e-04,8.63911952e+01,4.13608800e+02,7.59517486e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.01180101e-09
3.93836540e-06,9.39922896e-11,1.06391706e+02,1.28890576e-04,8.63911956e+01,4.13608799e+02,7.59517486e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-2.00229812e-09
4.15843619e-06,9.39922903e-11,1.06391705e+02,1.28890578e-04,8.63911961e+01,4.13608798e+02,7.59517486e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.99259138e-09
4.38368547e-06,9.39922910e-11,1.06391704e+02,1.28890579e-04,8.63911965e+01,4.13608797e+02,7.59517487e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.98271034e-09
4.61423510e-06,9.39922917e-11,1.06391703e+02,1.28890581e-04,8.63911970e+01,4.13608796e+02,7.59517487e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.97255028e-09
4.85020980e-06,9.39922925e-11,1.06391702e+02,1.28890583e-04,8.63911974e+01,4.13608795e+02,7.59517487e+02,1.00981346e-03,1.00981346e-03,1.00002930e-03,-1.96218880e-09
5.09173722e-06,9.39922933e-11,1.06391701e+02,1.28890584e-04,8.63911979e+01,4.13608794e+02,7.59517487e+02,1.00981346e-03,1.00002930e-03,1.00981346e-03,-1.95157547e-09
5.33894803e-06,9.39922941e-11,1.06391700e+02,1.28890586e-04,8.63911984e+01,4.13608792e+02,7.59517488e+02,1.00002930e-03,1.00981346e-03,1.00981346e-03,-1.94063199e-09
5.59197596e-06,9.39922949e-11,1.06391700e+02,1.28890588e-04,8.63911989e+01,4.13608791e+02,7.59517488e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.92952933e-09
5.85095790e-06,9.39922957e-11,1.06391699e+02,1.28890590e-04,8.63911994e+01,4.13608790e+02,7.59517488e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.91820083e-09
6.11603395e-06,9.39922965e-11,1.06391698e+02,1.28890592e-04,8.63911999e+01,4.13608789e+02,7.59517488e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.90657296e-09
6.38734751e-06,9.39922974e-11,1.06391697e+02,1.28890594e-04,8.63912004e+01,4.13608788e+02,7.59517488e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.89437433e-09
6.66504536e-06,9.39922983e-11,1.06391696e+02,1.28890596e-04,8.63912009e+01,4.13608786e+02,7.59517489e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.88228547e-09
6.94927771e-06,9.39922992e-11,1.06391695e+02,1.28890598e-04,8.63912015e+01,4.13608785e+02,7.59517489e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.86977069e-09
7.24019835e-06,9.39923001e-11,1.06391694e+02,1.28890600e-04,8.63912021e+01,4.13608784e+02,7.59517489e+02,1.00981346e-03,1.00981346e-03,1.00002930e-03,-1.85698124e-09
7.53796465e-06,9.39923011e-11,1.06391693e+02,1.28890602e-04,8.63912027e+01,4.13608782e+02,7.59517490e+02,1.00981346e-03,1.00002930e-03,1.00981346e-03,-1.84374396e-09
7.84273769e-06,9.39923020e-11,1.06391691e+02,1.28890604e-04,8.63912032e+01,4.13608781e+02,7.59517490e+02,1.00002930e-03,1.00981346e-03,1.00981346e-03,-1.83040438e-09
8.15468235e-06,9.39923030e-11,1.06391690e+02,1.28890607e-04,8.63912039e+01,4.13608779e+02,7.59517490e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.81675506e-09
8.47396739e-06,9.39923040e-11,1.06391689e+02,1.28890609e-04,8.63912045e+01,4.13608778e+02,7.59517490e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.80259489e-09
8.80076553e-06,9.39923051e-11,1.06391688e+02,1.28890611e-04,8.63912051e+01,4.13608776e+02,7.59517491e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.78832022e-09
9.13525357e-06,9.39923061e-11,1.06391687e+02,1.28890614e-04,8.63912058e+01,4.13608775e+02,7.59517491e+02,1.00981346e-03,1.00981346e-03,1.00981346e-03,-1.77344409e-09
9.47761245e-06,9.39923072e-11,1.06391686e+02,1.28890616e-04,8.63912064e+01,4.13608773e+02,7.59517491e+02,1.00981346e-03,1.00978815e-03,1.00981346e-03,-1.75838261e-09
9.82802739e-06,9.39923084e-11,1.06391684e+02,1.28890619e-04,8.63912071e+01,4.13608772e+02,7.59517492e+02,1.00981346e-03,1.00970545e-03,1.00981346e-03,-1.74308650e-09
1.01866879e-05,9.39923095e-11,1.06391683e+02,1.28890621e-04,8.63912078e+01,4.13608770e+02,7.59517492e+02,1.00981346e-03,1.00962065e-03,1.00002930e-03,-1.72712079e-09
1.05537882e-05,9.39923107e-11,1.06391682e+02,1.28890624e-04,8.63912085e+01,4.13608768e+02,7.59517492e+02,1.00981346e-03,1.00002930e-03,1.00981346e-03,-1.71097055e-09
1.09295266e-05,9.39923119e-11,1.06391680e+02,1.28890627e-04,8.63912093e+01,4.13608766e+02,7.59517493e+02,1.00002930e-03,1.00944458e-03,1.00981346e-03,-1.69441625e-09
1.13141066e-05,9.39923131e-11,1.06391679e+02,1.28890630e-04,8.63912100e+01,4.13608765e+02,7.59517493e+02,1.00981346e-03,1.00935320e-03,1.00981346e-03,-1.67753321e-09
1.17077361e-05,9.39923143e-11,1.06391678e+02,1.28890632e-04,8.63912108e+01,4.13608763e+02,7.59517493e+02,1.00981346e-03,1.00925952e-03,1.00981346e-03,-1.66009571e-09
1.21106281e-05,9.39923156e-11,1.06391676e+02,1.28890635e-04,8.63912116e+01,4.13608761e+02,7.59517494e+02,1.00981346e-03,1.00916348e-03,1.00981346e-03,-1.64243397e-09
