x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
6.36985151e-08,8.87661301e-11,1.12654731e+02,1.15500759e-04,8.19736704e+01,4.15555101e+02,1.30921491e+03,4.57757296e-01,1.65660636e-01,4.07749534e+00,5.47757402e-05
1.92594436e-07,8.87792364e-11,1.12638121e+02,1.15531790e-04,8.19836852e+01,4.15551259e+02,1.30921864e+03,4.56582171e-01,1.65222723e-01,4.06706866e+00,5.46408652e-05
3.24523411e-07,8.87925404e-11,1.12621265e+02,1.15564877e-04,8.19948956e+01,4.15546532e+02,1.30922246e+03,4.55379855e-01,1.64774599e-01,4.05638979e+00,5.44975351e-05
4.59556808e-07,8.88061494e-11,1.12604027e+02,1.15598877e-04,8.20064655e+01,4.15541615e+02,1.30922637e+03,4.54149727e-01,1.64316028e-01,4.04545247e+00,5.43503062e-05
5.97767680e-07,8.88200808e-11,1.12586386e+02,1.15633703e-04,8.20183192e+01,4.15536573e+02,1.30923038e+03,4.52891149e-01,1.63846771e-01,4.03425024e+00,5.41995498e-05
7.39230794e-07,8.88343433e-11,1.12568329e+02,1.15669364e-04,8.20304557e+01,4.15531409e+02,1.30923447e+03,4.51603472e-01,1.63366581e-01,4.02277650e+00,5.40452254e-05
8.84022681e-07,8.88489450e-11,1.12549849e+02,1.15705881e-04,8.20428810e+01,4.15526121e+02,1.30923867e+03,4.50286030e-01,1.62875207e-01,4.01102447e+00,5.38872525e-05
1.03222167e-06,8.88638942e-11,1.12530934e+02,1.15743273e-04,8.20556020e+01,4.15520706e+02,1.30924296e+03,4.48938142e-01,1.62372390e-01,3.99898717e+00,5.37255446e-05
1.18390793e-06,8.88791993e-11,1.12511574e+02,1.15781562e-04,8.20686258e+01,4.15515161e+02,1.30924735e+03,4.47559111e-01,1.61857867e-01,3.98665748e+00,5.35600130e-05
1.33916352e-06,8.88948688e-11,1.12491760e+02,1.15820771e-04,8.20819598e+01,4.15509482e+02,1.30925185e+03,4.46148226e-01,1.61331371e-01,3.97402805e+00,5.33905669e-05
1.49807244e-06,8.89109117e-11,1.12471479e+02,1.15860922e-04,8.20956114e+01,4.15503667e+02,1.30925645e+03,4.44704756e-01,1.60792624e-01,3.96109136e+00,5.32171132e-05
1.66072064e-06,8.89273369e-11,1.12450723e+02,1.15902037e-04,8.21095882e+01,4.15497712e+02,1.30926116e+03,4.43227956e-01,1.60241347e-01,3.94783969e+00,5.30395566e-05
1.82719613e-06,8.89441537e-11,1.12429478e+02,1.15944141e-04,8.21238982e+01,4.15491613e+02,1.30926599e+03,4.41717064e-01,1.59677251e-01,3.93426510e+00,5.28577996e-05
1.99758895e-06,8.89613717e-11,1.12407734e+02,1.15987258e-04,8.21385492e+01,4.15485368e+02,1.30927092e+03,4.40171298e-01,1.59100042e-01,3.92035946e+00,5.26717423e-05
2.17199129e-06,8.89790006e-11,1.12385479e+02,1.16031412e-04,8.21535497e+01,4.15478972e+02,1.30927597e+03,4.38589859e-01,1.58509419e-01,3.90611441e+00,5.24812823e-05
2.35049750e-06,8.89970504e-11,1.12362702e+02,1.16076629e-04,8.21689080e+01,4.15472421e+02,1.30928114e+03,4.36971929e-01,1.57905076e-01,3.89152139e+00,5.22863148e-05
2.53320413e-06,8.90155313e-11,1.12339389e+02,1.16122936e-04,8.21846328e+01,4.15465712e+02,1.30928643e+03,4.35316670e-01,1.57286697e-01,3.87657158e+00,5.20867327e-05
2.72021005e-06,8.90344537e-11,1.12315528e+02,1.16170359e-04,8.22007329e+01,4.15458842e+02,1.30929185e+03,4.33623227e-01,1.56653961e-01,3.86125596e+00,5.18824259e-05
2.91161640e-06,8.90538286e-11,1.12291107e+02,1.16218926e-04,8.22172175e+01,4.15451805e+02,1.30929739e+03,4.31890721e-01,1.56006541e-01,3.84556526e+00,5.16732820e-05
3.10752674e-06,8.90736668e-11,1.12266112e+02,1.16268665e-04,8.22340958e+01,4.15444598e+02,1.30930307e+03,4.30118254e-01,1.55344099e-01,3.82948995e+00,5.14591857e-05
3.30804705e-06,8.90939797e-11,1.12240530e+02,1.16319605e-04,8.22513775e+01,4.15437217e+02,1.30930888e+03,4.28304905e-01,1.54666292e-01,3.81302028e+00,5.12400189e-05
3.51328580e-06,8.91147789e-11,1.12214347e+02,1.16371776e-04,8.22690722e+01,4.15429657e+02,1.30931482e+03,4.26449731e-01,1.53972769e-01,3.79614622e+00,5.10156609e-05
3.72335404e-06,8.91360763e-11,1.12187549e+02,1.16425208e-04,8.22871900e+01,4.15421914e+02,1.30932091e+03,4.24551767e-01,1.53263172e-01,3.77885748e+00,5.07859877e-05
3.93836540e-06,8.91578840e-11,1.12160121e+02,1.16479932e-04,8.23057413e+01,4.15413983e+02,1.30932713e+03,4.22610024e-01,1.52537132e-01,3.76114351e+00,5.05508727e-05
4.15843619e-06,8.91802145e-11,1.12132049e+02,1.16535982e-04,8.23247364e+01,4.15405860e+02,1.30933351e+03,4.20623486e-01,1.51794276e-01,3.74299348e+00,5.03101859e-05
4.38368547e-06,8.92030806e-11,1.12103317e+02,1.16593389e-04,8.23441864e+01,4.15397539e+02,1.30934003e+03,4.18591114e-01,1.51034218e-01,3.72439627e+00,5.00637944e-05
4.61423510e-06,8.92264954e-11,1.12073911e+02,1.16652187e-04,8.23641021e+01,4.15389016e+02,1.30934671e+03,4.16511841e-01,1.50256568e-01,3.70534048e+00,4.98115620e-05
4.85020980e-06,8.92504725e-11,1.12043815e+02,1.16712412e-04,8.23844950e+01,4.15380287e+02,1.30935354e+03,4.14384573e-01,1.49460923e-01,3.68581444e+00,4.95533491e-05
5.09173722e-06,8.92750256e-11,1.12013011e+02,1.16774099e-04,8.24053767e+01,4.15371344e+02,1.30936054e+03,4.12208189e-01,1.48646875e-01,3.66580613e+00,4.92890127e-05
5.33894803e-06,8.93001688e-11,1.11981484e+02,1.16837284e-04,8.24267591e+01,4.15362184e+02,1.30936770e+03,4.09981537e-01,1.47814003e-01,3.64530328e+00,4.90184067e-05
5.59197596e-06,8.93259167e-11,1.11949217e+02,1.16902006e-04,8.24486545e+01,4.15352801e+02,1.30937503e+03,4.07703433e-01,1.46961880e-01,3.62429327e+00,4.87413810e-05
5.85095790e-06,8.93522842e-11,1.11916191e+02,1.16968301e-04,8.24710755e+01,4.15343188e+02,1.30938253e+03,4.05372663e-01,1.46090066e-01,3.60276319e+00,4.84577820e-05
6.11603395e-06,8.93792866e-11,1.11882391e+02,1.17036211e-04,8.24940348e+01,4.15333342e+02,1.30939021e+03,4.02987981e-01,1.45198114e-01,3.58069980e+00,4.81674524e-05
6.38734751e-06,8.94069394e-11,1.11847797e+02,1.17105776e-04,8.25175457e+01,4.15323254e+02,1.30939806e+03,4.00548102e-01,1.44285567e-01,3.55808954e+00,4.78702312e-05
6.66504536e-06,8.94352588e-11,1.11812391e+02,1.17177037e-04,8.25416216e+01,4.15312920e+02,1.30940611e+03,3.98051709e-01,1.43351954e-01,3.53491854e+00,4.75659532e-05
6.94927771e-06,8.94642613e-11,1.11776153e+02,1.17250037e-04,8.25662766e+01,4.15302333e+02,1.30941434e+03,3.95497444e-01,1.42396798e-01,3.51128120e+00,4.72544494e-05
7.24019835e-06,8.94939637e-11,1.11739065e+02,1.17324821e-04,8.25915248e+01,4.15291487e+02,1.30942277e+03,3.92883912e-01,1.41419609e-01,3.48757822e+00,4.69355466e-05
7.53796465e-06,8.95243834e-11,1.11701106e+02,1.17401433e-04,8.26173807e+01,4.15280374e+02,1.30943139e+03,3.90209673e-01,1.40419886e-01,3.46318387e+00,4.66090672e-05
7.84273769e-06,8.95555382e-11,1.11662256e+02,1.17479919e-04,8.26438594e+01,4.15268989e+02,1.30944022e+03,3.87473246e-01,1.39397117e-01,3.43807707e+00,4.62748296e-05
8.15468235e-06,8.95874464e-11,1.11622495e+02,1.17560328e-04,8.26709761e+01,4.15257325e+02,1.30944925e+03,3.84673104e-01,1.38350777e-01,3.41223662e+00,4.59326475e-05
8.47396739e-06,8.96201267e-11,1.11581800e+02,1.17642708e-04,8.26987467e+01,4.15245373e+02,1.30945850e+03,3.81807671e-01,1.37280333e-01,3.38564140e+00,4.55823301e-05
8.80076553e-06,8.96535983e-11,1.11540150e+02,1.17727110e-04,8.27271873e+01,4.15233128e+02,1.30946797e+03,3.78875319e-01,1.36185235e-01,3.35827043e+00,4.52236820e-05
9.13525357e-06,8.96878809e-11,1.11497523e+02,1.17813585e-04,8.27563144e+01,4.15220580e+02,1.30947766e+03,3.75874369e-01,1.35064924e-01,3.33010302e+00,4.48565029e-05
9.47761245e-06,8.97229948e-11,1.11453895e+02,1.17902186e-04,8.27861451e+01,4.15207724e+02,1.30948757e+03,3.72803083e-01,1.33918827e-01,3.30111895e+00,4.44805876e-05
9.82802739e-06,8.97589607e-11,1.11409244e+02,1.17992968e-04,8.28166967e+01,4.15194550e+02,1.30949772e+03,3.69659665e-01,1.32746357e-01,3.27129860e+00,4.40957258e-05
1.01866879e-05,8.97958001e-11,1.11363545e+02,1.18085986e-04,8.28479872e+01,4.15181050e+02,1.30950811e+03,3.66442254e-01,1.31546917e-01,3.24062316e+00,4.37017023e-05
1.05537882e-05,8.98335347e-11,1.11316775e+02,1.18181299e-04,8.28800349e+01,4.15167216e+02,1.30951874e+03,3.63148924e-01,1.30319892e-01,3.20907483e+00,4.32982963e-05
1.09295266e-05,8.98721871e-11,1.11268907e+02,1.18278965e-04,8.29128587e+01,4.15153040e+02,1.30952962e+03,3.59777677e-01,1.29064655e-01,3.17663703e+00,4.28852816e-05
1.13141066e-05,8.99117803e-11,1.11219916e+02,1.18379046e-04,8.29464779e+01,4.15138512e+02,1.30954076e+03,3.56326438e-01,1.27780566e-01,3.14329464e+00,4.24624265e-05
1.17077361e-05,8.99523380e-11,1.11169776e+02,1.18481603e-04,8.29809122e+01,4.15123623e+02,1.30955216e+03,3.52793056e-01,1.26466967e-01,3.10903422e+00,4.20294935e-05
1.21106281e-05,8.99938845e-11,1.11118460e+02,1.18586702e-04,8.30161821e+01,4.15108364e+02,1.30956383e+03,3.49175291e-01,1.25123188e-01,3.07384429e+00,4.15862394e-05
1.25230006e-05,9.00364449e-11,1.11065941e+02,1.18694407e-04,8.30523085e+01,4.15092725e+02,1.30957578e+03,3.45470815e-01,1.23748541e-01,3.03771554e+00,4.11324147e-05
1.29450766e-05,9.00800446e-11,1.11012191e+02,1.18804788e-04,8.30893128e+01,4.15076697e+02,1.30958800e+03,3.41677204e-01,1.22342325e-01,3.00064116e+00,4.06677639e-05
1.33770845e-05,9.01247101e-11,1.10957180e+02,1.18917913e-04,8.31272169e+01,4.15060268e+02,1.30960052e+03,3.37791933e-01,1.20903819e-01,2.96261700e+00,4.01920251e-05
1.38192580e-05,9.01704684e-11,1.10900879e+02,1.19033856e-04,8.31660436e+01,4.15043429e+02,1.30961332e+03,3.33812366e-01,1.19432287e-01,2.92364186e+00,3.97049299e-05
1.42718363e-05,9.02173473e-11,1.10843259e+02,1.19152689e-04,8.32058160e+01,4.15026169e+02,1.30962643e+03,3.29735755e-01,1.17926978e-01,2.88371769e+00,3.92062031e-05
1.47350643e-05,9.02653753e-11,1.10784288e+02,1.19274489e-04,8.32465579e+01,4.15008477e+02,1.30963985e+03,3.25559228e-01,1.16387118e-01,2.84284977e+00,3.86955629e-05
1.52091924e-05,9.03145817e-11,1.10723935e+02,1.19399334e-04,8.32882938e+01,4.14990340e+02,1.30965358e+03,3.21279785e-01,1.14811921e-01,2.80104683e+00,3.81727202e-05
1.56944773e-05,9.03649967e-11,1.10662167e+02,1.19527305e-04,8.33310487e+01,4.14971748e+02,1.30966764e+03,3.16894289e-01,1.13200576e-01,2.75832113e+00,3.76373787e-05
1.61911814e-05,9.04166511e-11,1.10598952e+02,1.19658484e-04,8.33748485e+01,4.14952688e+02,1.30968202e+03,3.12399458e-01,1.11552257e-01,2.71468845e+00,3.70892349e-05
1.66995735e-05,9.04695768e-11,1.10534256e+02,1.19792957e-04,8.34197197e+01,4.14933147e+02,1.30969675e+03,3.07791858e-01,1.09866116e-01,2.67016802e+00,3.65279775e-05
1.72199285e-05,9.05238064e-11,1.10468044e+02,1.19930811e-04,8.34656894e+01,4.14913114e+02,1.30971182e+03,3.03067895e-01,1.08141283e-01,2.62478224e+00,3.59532874e-05
1.77525281e-05,9.05793735e-11,1.10400281e+02,1.20072137e-04,8.35127856e+01,4.14892574e+02,1.30972725e+03,2.98223806e-01,1.06376869e-01,2.57855639e+00,3.53648374e-05
1.82976602e-05,9.06363127e-11,1.10330931e+02,1.20217028e-04,8.35610371e+01,4.14871514e+02,1.30974304e+03,2.93255657e-01,1.04571959e-01,2.53151810e+00,3.47622923e-05
1.88556199e-05,9.06946593e-11,1.10259957e+02,1.20365580e-04,8.36104731e+01,4.14849920e+02,1.30975920e+03,2.88159332e-01,1.02725616e-01,2.48369663e+00,3.41453082e-05
1.94267089e-05,9.07544499e-11,1.10187320e+02,1.20517891e-04,8.36611242e+01,4.14827777e+02,1.30977574e+03,2.82930530e-01,1.00836877e-01,2.43512197e+00,3.35135327e-05
2.00112363e-05,9.08157219e-11,1.10112983e+02,1.20674063e-04,8.37130213e+01,4.14805072e+02,1.30979267e+03,2.77564764e-01,9.89047499e-02,2.38582374e+00,3.28666042e-05
2.06095181e-05,9.08785140e-11,1.10036906e+02,1.20834201e-04,8.37661965e+01,4.14781787e+02,1.30981000e+03,2.72057359e-01,9.69282160e-02,2.33582968e+00,3.22041522e-05
2.12218782e-05,9.09428657e-11,1.09959048e+02,1.20998413e-04,8.38206826e+01,4.14757908e+02,1.30982773e+03,2.66403456e-01,9.49062237e-02,2.28516406e+00,3.15257966e-05
2.18486477e-05,9.10088178e-11,1.09879367e+02,1.21166809e-04,8.38765135e+01,4.14733418e+02,1.30984589e+03,2.60598021e-01,9.28376869e-02,2.23384564e+00,3.08311478e-05
2.24901657e-05,9.10764123e-11,1.09797822e+02,1.21339504e-04,8.39337238e+01,4.14708301e+02,1.30986447e+03,2.54635857e-01,9.07214815e-02,2.18188536e+00,3.01198062e-05
2.31467794e-05,9.11456922e-11,1.09714369e+02,1.21516617e-04,8.39923492e+01,4.14682538e+02,1.30988349e+03,2.48511629e-01,8.85564408e-02,2.12928370e+00,2.93913619e-05
2.38188438e-05,9.12167021e-11,1.09628963e+02,1.21698268e-04,8.40524264e+01,4.14656114e+02,1.30990295e+03,2.42219892e-01,8.63413501e-02,2.07602781e+00,2.86453945e-05
