V,eps_org,delta_um,j1,j2,j3,j4,j_total,FE_ADPN,FE_PN,FE_HER,FE_TCH,pH_bulk,phi_span,max_eneutr,Na_dev,iface_var,max_Rbuf_surf,max_Rbuf_bulk,AN_depletion,c_AN_surface,c_AN_bulk,phi_l_surface
-1.00000000e+00,0.2500,50.0000,5.00546018e-06,3.81908787e-06,3.52015727e-04,6.56037056e-06,3.67400645e-04,1.362398,1.039489,95.812495,1.785618,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.05000000e+00,0.2500,50.0000,1.32443748e-05,1.01052509e-05,7.51934963e-04,1.73586450e-05,7.92643234e-04,1.670912,1.274880,94.864238,2.189969,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.12000000e+00,0.2500,50.0000,5.17194496e-05,3.94611316e-05,2.17593429e-03,6.77857265e-05,2.33490060e-03,2.215060,1.690056,93.191731,2.903153,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.21800000e+00,0.2500,50.0000,3.48277405e-04,2.65730215e-04,9.63157857e-03,4.56467288e-04,1.07020535e-02,3.254304,2.482983,89.997481,4.265231,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.35520000e+00,0.2500,50.0000,5.02927365e-03,3.83725717e-03,7.72982828e-02,6.59158151e-03,9.27563952e-02,5.422024,4.136919,83.334721,7.106336,13.026907,0.00000000e+00,0.00000000e+00,8.97527666e-16,0.00000000e+00,3.72574349e-09,3.72574349e-09,1.000000,1.31064284e+03,1.31064284e+03,0.00000000e+00
-1.54728000e+00,0.2500,50.0000,2.11310634e-01,1.61228455e-01,1.42705833e+00,2.76949773e-01,2.07654720e+00,10.176057,7.764257,68.722653,13.337032,13.026907,1.60118188e-06,2.27373675e-13,6.24021178e-05,2.47915100e-10,9.10250306e+00,3.72574349e-09,0.999989,1.31062866e+03,1.31064284e+03,1.60118188e-06
-1.74728000e+00,0.2500,50.0000,1.03556127e+01,7.90676018e+00,2.97380152e+01,1.35629148e+01,6.15633029e+01,16.821080,12.843301,48.304775,22.030843,13.026907,6.18837962e-05,2.27373675e-13,2.41152921e-03,3.10376052e-12,3.26228316e+02,3.72574349e-09,0.999293,1.30971630e+03,1.31064284e+03,6.18837962e-05
-1.94728000e+00,0.2500,50.0000,4.89411233e+02,3.86118355e+02,6.33300121e+02,6.20336619e+02,2.12916633e+03,22.986050,18.134720,29.744042,29.135188,13.026907,1.55220528e-03,2.27373675e-13,6.22786741e-02,7.85808999e-08,1.38999501e+03,3.72574349e-09,0.967095,1.26751610e+03,1.31064284e+03,1.55220528e-03
-2.00728000e+00,0.2500,50.0000,1.44525029e+03,1.21764288e+03,1.63277690e+03,1.71540312e+03,6.01107319e+03,24.043132,20.256664,27.162818,28.537385,13.026907,3.94518913e-03,2.27373675e-13,1.66089797e-01,4.60912343e-06,6.59416064e+02,3.72574349e-09,0.905605,1.18692460e+03,1.31064284e+03,3.94518913e-03
-2.09128000e+00,0.2500,50.0000,5.22825959e+03,5.78358563e+03,6.80738563e+03,4.72625463e+03,2.25454855e+04,23.189829,25.652966,30.194008,20.963197,13.026907,1.40015070e-02,4.54747351e-13,7.24544941e-01,1.46114984e-09,9.83151192e+01,3.72574349e-09,0.689724,9.03982396e+02,1.31064284e+03,1.40015070e-02
