row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
56,core,0.50,2.0,80,0.2900,0.0067,9.0000e-04,51.00,1.50,10.90,63.28,8.56,14.92,13.24,-1.8371,1
57,core,0.50,2.0,85,0.1600,0.0093,2.7000e-04,60.70,2.00,13.50,62.74,8.77,15.39,13.10,-1.8433,1
58,core,0.50,2.0,101,0.0800,0.0110,6.9000e-05,71.50,3.00,16.60,59.84,9.75,18.03,12.38,-1.8651,1
59,core,0.50,2.0,116,0.2400,0.0076,6.2000e-04,60.90,2.20,13.70,62.69,9.12,15.22,12.97,-1.8624,1
60,core,0.50,2.0,131,0.0400,0.0120,1.7000e-05,70.60,10.50,8.60,38.11,13.72,40.48,7.69,-1.9351,1
61,core,0.50,2.0,147,0.2000,0.0085,4.3000e-04,65.30,2.80,14.70,61.50,9.73,16.14,12.62,-1.8814,1
62,core,0.50,2.0,162,0.1200,0.0100,1.5000e-04,69.70,3.70,16.10,59.82,10.32,17.65,12.22,-1.8937,1
63,core,0.50,2.0,177,0.2800,0.0069,8.4000e-04,67.70,2.40,14.10,61.20,10.03,16.27,12.49,-1.8934,1
74,core,0.50,6.0,80,0.2900,0.0600,8.1000e-03,60.40,5.50,12.10,64.12,8.31,14.13,13.43,-1.8340,1
75,core,0.50,6.0,85,0.1600,0.0840,2.5000e-03,61.00,9.50,12.80,63.85,8.45,14.34,13.35,-1.8391,1
76,core,0.50,6.0,101,0.0800,0.1000,6.2000e-04,65.10,10.50,13.90,62.07,9.15,15.90,12.88,-1.8573,1
77,core,0.50,6.0,116,0.2400,0.0690,5.6000e-03,58.80,7.60,12.70,64.16,8.68,13.86,13.31,-1.8568,1
78,core,0.50,6.0,131,0.0400,0.1100,1.5000e-04,65.80,8.60,14.60,46.08,12.87,31.71,9.35,-1.9196,1
79,core,0.50,6.0,147,0.2000,0.0760,3.9000e-03,58.40,8.50,12.50,63.75,9.05,14.07,13.13,-1.8731,1
80,core,0.50,6.0,162,0.1200,0.0920,1.4000e-03,63.10,9.90,12.80,62.96,9.40,14.72,12.92,-1.8825,1
81,core,0.50,6.0,177,0.2800,0.0620,7.6000e-03,62.00,4.60,12.40,63.81,9.23,13.88,13.07,-1.8839,1
