row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
56,core,0.50,2.0,80,0.2900,0.0067,9.0000e-04,51.00,1.50,10.90,63.88,10.74,8.31,17.06,-1.7986,1
57,core,0.50,2.0,85,0.1600,0.0093,2.7000e-04,60.70,2.00,13.50,64.56,10.28,8.70,16.46,-1.8058,1
58,core,0.50,2.0,101,0.0800,0.0110,6.9000e-05,71.50,3.00,16.60,66.90,8.32,10.97,13.81,-1.8324,1
59,core,0.50,2.0,116,0.2400,0.0076,6.2000e-04,60.90,2.20,13.70,65.90,9.70,8.68,15.73,-1.8254,1
60,core,0.50,2.0,131,0.0400,0.0120,1.7000e-05,70.60,10.50,8.60,56.39,1.80,38.18,3.63,-1.9313,1
61,core,0.50,2.0,147,0.2000,0.0085,4.3000e-04,65.30,2.80,14.70,67.61,8.59,9.57,14.23,-1.8470,1
62,core,0.50,2.0,162,0.1200,0.0100,1.5000e-04,69.70,3.70,16.10,68.76,7.49,11.04,12.70,-1.8628,1
63,core,0.50,2.0,177,0.2800,0.0069,8.4000e-04,67.70,2.40,14.10,68.50,8.12,9.79,13.60,-1.8599,1
74,core,0.50,6.0,80,0.2900,0.0600,8.1000e-03,60.40,5.50,12.10,63.15,11.32,7.71,17.82,-1.7941,1
75,core,0.50,6.0,85,0.1600,0.0840,2.5000e-03,61.00,9.50,12.80,63.66,11.02,7.88,17.44,-1.7997,1
76,core,0.50,6.0,101,0.0800,0.1000,6.2000e-04,65.10,10.50,13.90,65.69,9.61,9.12,15.58,-1.8206,1
77,core,0.50,6.0,116,0.2400,0.0690,5.6000e-03,58.80,7.60,12.70,64.72,10.67,7.60,17.01,-1.8173,1
78,core,0.50,6.0,131,0.0400,0.1100,1.5000e-04,65.80,8.60,14.60,65.10,3.36,25.20,6.34,-1.9045,1
79,core,0.50,6.0,147,0.2000,0.0760,3.9000e-03,58.40,8.50,12.50,66.06,9.98,7.83,16.13,-1.8346,1
80,core,0.50,6.0,162,0.1200,0.0920,1.4000e-03,63.10,9.90,12.80,67.06,9.31,8.39,15.24,-1.8455,1
81,core,0.50,6.0,177,0.2800,0.0620,7.6000e-03,62.00,4.60,12.40,66.77,9.70,7.75,15.78,-1.8455,1
92,core,0.50,10.0,80,0.2900,0.1700,2.3000e-02,68.10,3.40,14.80,62.90,11.52,7.51,18.07,-1.7926,1
93,core,0.50,10.0,85,0.1600,0.2300,6.9000e-03,65.50,11.70,12.30,63.33,11.27,7.63,17.76,-1.7977,1
94,core,0.50,10.0,101,0.0800,0.2800,1.7000e-03,74.70,10.70,14.80,65.21,10.03,8.59,16.16,-1.8169,1
95,core,0.50,10.0,116,0.2400,0.1900,1.5000e-02,58.60,14.10,11.50,64.29,10.99,7.28,17.44,-1.8146,1
96,core,0.50,10.0,131,0.0400,0.3000,4.3000e-04,53.60,18.20,12.50,66.98,4.13,21.30,7.58,-1.8936,1
97,core,0.50,10.0,147,0.2000,0.2100,1.1000e-02,47.30,18.90,10.60,65.47,10.44,7.35,16.74,-1.8307,1
98,core,0.50,10.0,162,0.1200,0.2600,3.9000e-03,56.60,15.60,11.60,66.35,9.90,7.72,16.04,-1.8402,1
99,core,0.50,10.0,177,0.2800,0.1700,2.1000e-02,61.60,1.90,14.70,66.11,10.22,7.21,16.47,-1.8411,1
110,core,1.00,2.0,80,0.2900,0.0033,4.5000e-04,61.50,2.20,13.00,65.09,9.66,9.61,15.63,-1.8074,1
111,core,1.00,2.0,85,0.1600,0.0047,1.4000e-04,70.50,2.60,15.10,66.00,8.87,10.57,14.56,-1.8179,1
112,core,1.00,2.0,101,0.0800,0.0056,3.4000e-05,74.60,3.30,16.70,67.66,5.87,16.20,10.27,-1.8573,1
113,core,1.00,2.0,116,0.2400,0.0038,3.1000e-04,66.50,2.90,14.20,67.63,7.84,11.39,13.15,-1.8422,1
114,core,1.00,2.0,131,0.0400,0.0061,8.6000e-06,67.40,13.20,7.40,41.44,0.76,56.16,1.65,-1.9558,1
115,core,1.00,2.0,147,0.2000,0.0042,2.1000e-04,70.70,3.50,13.30,68.98,5.88,14.81,10.33,-1.8745,1
116,core,1.00,2.0,162,0.1200,0.0051,7.7000e-05,69.40,7.40,13.40,68.01,4.19,20.08,7.71,-1.9009,1
117,core,1.00,2.0,177,0.2800,0.0034,4.2000e-04,69.80,5.10,11.40,69.34,5.08,16.46,9.12,-1.8923,1
128,core,1.00,6.0,80,0.2900,0.0300,4.1000e-03,59.00,8.90,12.70,64.03,10.62,8.45,16.90,-1.7996,1
129,core,1.00,6.0,85,0.1600,0.0420,1.2000e-03,64.60,12.00,13.20,64.74,10.12,8.89,16.25,-1.8071,1
130,core,1.00,6.0,101,0.0800,0.0500,3.1000e-04,77.40,8.00,17.10,67.10,8.04,11.43,13.42,-1.8350,1
131,core,1.00,6.0,116,0.2400,0.0340,2.8000e-03,64.30,5.80,14.00,66.13,9.49,8.93,15.45,-1.8271,1
132,core,1.00,6.0,131,0.0400,0.0550,7.7000e-05,73.30,8.30,15.60,54.38,1.59,40.77,3.26,-1.9355,1
133,core,1.00,6.0,147,0.2000,0.0380,1.9000e-03,64.40,9.50,12.70,67.89,8.28,10.01,13.81,-1.8498,1
134,core,1.00,6.0,162,0.1200,0.0460,6.9000e-04,69.80,9.80,13.40,69.00,7.10,11.76,12.13,-1.8668,1
135,core,1.00,6.0,177,0.2800,0.0310,3.8000e-03,63.20,8.70,12.40,68.79,7.77,10.33,13.11,-1.8632,1
146,core,1.00,10.0,80,0.2900,0.0830,1.1000e-02,52.70,10.90,11.70,63.64,10.94,8.10,17.32,-1.7970,1
147,core,1.00,10.0,85,0.1600,0.1200,3.4000e-03,71.60,8.90,15.10,64.26,10.53,8.41,16.80,-1.8037,1
148,core,1.00,10.0,101,0.0800,0.1400,8.6000e-04,79.90,8.50,17.60,66.53,8.77,10.27,14.44,-1.8282,1
149,core,1.00,10.0,116,0.2400,0.0960,7.7000e-03,60.90,7.40,14.50,65.51,10.04,8.28,16.18,-1.8225,1
150,core,1.00,10.0,131,0.0400,0.1500,2.1000e-04,73.90,6.90,17.50,59.68,2.22,33.73,4.38,-1.9233,1
151,core,1.00,10.0,147,0.2000,0.1100,5.4000e-03,60.20,8.40,13.50,67.11,9.07,8.91,14.90,-1.8425,1
152,core,1.00,10.0,162,0.1200,0.1300,1.9000e-03,76.70,8.00,14.80,68.27,8.13,10.00,13.61,-1.8565,1
153,core,1.00,10.0,177,0.2800,0.0860,1.1000e-02,60.10,11.80,10.70,67.96,8.67,9.00,14.37,-1.8547,1
56,extended,0.50,2.0,80,0.2900,0.0067,9.0000e-04,51.00,1.50,10.90,63.88,10.74,8.31,17.06,-1.7986,1
57,extended,0.50,2.0,85,0.1600,0.0093,2.7000e-04,60.70,2.00,13.50,64.56,10.28,8.70,16.46,-1.8058,1
58,extended,0.50,2.0,101,0.0800,0.0110,6.9000e-05,71.50,3.00,16.60,66.90,8.32,10.97,13.81,-1.8324,1
59,extended,0.50,2.0,116,0.2400,0.0076,6.2000e-04,60.90,2.20,13.70,65.90,9.70,8.68,15.73,-1.8254,1
60,extended,0.50,2.0,131,0.0400,0.0120,1.7000e-05,70.60,10.50,8.60,56.39,1.80,38.18,3.63,-1.9313,1
