table,gap_mm,Q,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_resid_pp,FE_PN_obs,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,12.28,1.50,7.06,10.90,2.34
Table_S5,0.50,2,85,0.1600,60.70,2.04,2.00,6.77,13.50,-0.40
Table_S5,0.50,2,101,0.0800,71.50,-11.66,3.00,6.75,16.60,-4.22
Table_S5,0.50,2,116,0.2400,60.90,1.79,2.20,6.92,13.70,-0.73
Table_S5,0.50,2,131,0.0400,70.60,-32.49,10.50,3.22,8.60,-0.91
Table_S5,0.50,2,147,0.2000,65.30,-3.80,2.80,6.93,14.70,-2.08
Table_S5,0.50,2,162,0.1200,69.70,-9.88,3.70,6.62,16.10,-3.88
Table_S5,0.50,2,177,0.2800,67.70,-6.50,2.40,7.63,14.10,-1.61
Table_S6,0.50,6,80,0.2900,60.40,3.72,5.50,2.81,12.10,1.33
Table_S6,0.50,6,85,0.1600,61.00,2.85,9.50,-1.05,12.80,0.55
Table_S6,0.50,6,101,0.0800,65.10,-3.03,10.50,-1.35,13.90,-1.02
Table_S6,0.50,6,116,0.2400,58.80,5.36,7.60,1.08,12.70,0.61
Table_S6,0.50,6,131,0.0400,65.80,-19.72,8.60,4.27,14.60,-5.25
Table_S6,0.50,6,147,0.2000,58.40,5.35,8.50,0.55,12.50,0.63
Table_S6,0.50,6,162,0.1200,63.10,-0.14,9.90,-0.50,12.80,0.12
Table_S6,0.50,6,177,0.2800,62.00,1.81,4.60,4.63,12.40,0.67
Table_S7,0.50,10,80,0.2900,68.10,-3.70,3.40,4.83,14.80,-1.30
Table_S7,0.50,10,85,0.1600,65.50,-1.28,11.70,-3.35,12.30,1.13
Table_S7,0.50,10,101,0.0800,74.70,-11.95,10.70,-1.75,14.80,-1.76
Table_S7,0.50,10,116,0.2400,58.60,6.03,14.10,-5.56,11.50,1.91
Table_S7,0.50,10,131,0.0400,53.60,-4.80,18.20,-5.76,12.50,-2.58
Table_S7,0.50,10,147,0.2000,47.30,17.13,18.90,-10.06,10.60,2.68
Table_S7,0.50,10,162,0.1200,56.60,7.28,15.60,-6.48,11.60,1.52
Table_S7,0.50,10,177,0.2800,61.60,2.98,1.90,7.08,14.70,-1.45
Table_S8,1.00,2,80,0.2900,61.50,0.10,2.20,6.82,13.00,-0.14
Table_S8,1.00,2,85,0.1600,70.50,-10.06,2.60,6.80,15.10,-2.52
Table_S8,1.00,2,101,0.0800,74.60,-19.78,3.30,7.63,16.70,-5.42
Table_S8,1.00,2,116,0.2400,66.50,-7.01,2.90,7.10,14.20,-1.94
Table_S8,1.00,2,131,0.0400,67.40,-40.47,13.20,0.70,7.40,-1.99
Table_S8,1.00,2,147,0.2000,70.70,-14.47,3.50,7.61,13.30,-1.83
Table_S8,1.00,2,162,0.1200,69.40,-17.21,7.40,4.73,13.40,-2.82
Table_S8,1.00,2,177,0.2800,69.80,-14.90,5.10,6.57,11.40,-0.27
Table_S9,1.00,6,80,0.2900,59.00,4.10,8.90,-0.29,12.70,0.50
Table_S9,1.00,6,85,0.1600,64.60,-2.11,12.00,-3.16,13.20,-0.16
Table_S9,1.00,6,101,0.0800,77.40,-18.07,8.00,1.88,17.10,-4.83
Table_S9,1.00,6,116,0.2400,64.30,-1.94,5.80,3.42,14.00,-1.10
Table_S9,1.00,6,131,0.0400,73.30,-36.74,8.30,5.52,15.60,-8.23
Table_S9,1.00,6,147,0.2000,64.40,-3.42,9.50,0.38,12.70,-0.19
Table_S9,1.00,6,162,0.1200,69.80,-10.74,9.80,0.72,13.40,-1.35
Table_S9,1.00,6,177,0.2800,63.20,-2.62,8.70,1.51,12.40,-0.04
Table_S10,1.00,10,80,0.2900,52.70,10.87,10.90,-2.43,11.70,1.61
Table_S10,1.00,10,85,0.1600,71.60,-8.47,8.90,-0.24,15.10,-1.92
Table_S10,1.00,10,101,0.0800,79.90,-19.26,8.50,1.04,17.60,-5.04
Table_S10,1.00,10,116,0.2400,60.90,2.31,7.40,1.57,14.50,-1.41
Table_S10,1.00,10,131,0.0400,73.90,-33.13,6.90,6.60,17.50,-9.26
Table_S10,1.00,10,147,0.2000,60.20,2.12,8.40,1.09,13.50,-0.69
Table_S10,1.00,10,162,0.1200,76.70,-15.72,8.00,1.99,14.80,-2.33
Table_S10,1.00,10,177,0.2800,60.10,2.06,11.80,-2.05,10.70,2.01
