table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,61.44,10.44,1.50,7.29,5.79,10.90,13.98,3.08
Table_S5,0.50,2,85,0.1600,60.70,62.32,1.62,2.00,7.13,5.13,13.50,12.89,-0.61
Table_S5,0.50,2,101,0.0800,71.50,64.97,-6.53,3.00,6.39,3.39,16.60,8.87,-7.73
Table_S5,0.50,2,116,0.2400,60.90,64.56,3.66,2.20,6.84,4.64,13.70,11.46,-2.24
Table_S5,0.50,2,131,0.0400,70.60,57.78,-12.82,10.50,2.55,-7.95,8.60,0.69,-7.91
Table_S5,0.50,2,147,0.2000,65.30,66.76,1.46,2.80,6.38,3.58,14.70,9.21,-5.49
Table_S5,0.50,2,162,0.1200,69.70,67.91,-1.79,3.70,5.96,2.26,16.10,7.39,-8.71
Table_S5,0.50,2,177,0.2800,67.70,68.05,0.35,2.40,6.15,3.75,14.10,8.31,-5.79
Table_S6,0.50,6,80,0.2900,60.40,60.65,0.25,5.50,7.46,1.96,12.10,15.38,3.28
Table_S6,0.50,6,85,0.1600,61.00,61.39,0.39,9.50,7.35,-2.15,12.80,14.59,1.79
Table_S6,0.50,6,101,0.0800,65.10,63.99,-1.11,10.50,6.83,-3.67,13.90,11.23,-2.67
Table_S6,0.50,6,116,0.2400,58.80,63.43,4.63,7.60,7.14,-0.46,12.70,13.53,0.83
Table_S6,0.50,6,131,0.0400,65.80,63.94,-1.86,8.60,3.76,-4.84,14.60,1.89,-12.71
Table_S6,0.50,6,147,0.2000,58.40,65.45,7.05,8.50,6.84,-1.66,12.50,11.86,-0.64
Table_S6,0.50,6,162,0.1200,63.10,66.65,3.55,9.90,6.59,-3.31,12.80,10.46,-2.34
Table_S6,0.50,6,177,0.2800,62.00,66.68,4.68,4.60,6.69,2.09,12.40,11.16,-1.24
Table_S7,0.50,10,80,0.2900,68.10,60.36,-7.74,3.40,7.51,4.11,14.80,15.88,1.08
Table_S7,0.50,10,85,0.1600,65.50,61.03,-4.47,11.70,7.42,-4.28,12.30,15.21,2.91
Table_S7,0.50,10,101,0.0800,74.70,63.56,-11.14,10.70,6.97,-3.73,14.80,12.11,-2.69
Table_S7,0.50,10,116,0.2400,58.60,62.98,4.38,14.10,7.24,-6.86,11.50,14.29,2.79
Table_S7,0.50,10,131,0.0400,53.60,65.26,11.66,18.20,4.19,-14.01,12.50,2.54,-9.96
Table_S7,0.50,10,147,0.2000,47.30,64.89,17.59,18.90,6.98,-11.92,10.60,12.84,2.24
Table_S7,0.50,10,162,0.1200,56.60,66.03,9.43,15.60,6.78,-8.82,11.60,11.62,0.02
Table_S7,0.50,10,177,0.2800,61.60,66.07,4.47,1.90,6.85,4.95,14.70,12.23,-2.47
Table_S8,1.00,2,80,0.2900,61.50,62.63,1.13,2.20,6.95,4.75,13.00,11.65,-1.35
Table_S8,1.00,2,85,0.1600,70.50,63.61,-6.89,2.60,6.67,4.07,15.10,10.10,-5.00
Table_S8,1.00,2,101,0.0800,74.60,65.47,-9.13,3.30,5.44,2.14,16.70,5.33,-11.37
Table_S8,1.00,2,116,0.2400,66.50,65.94,-0.56,2.90,6.20,3.30,14.20,8.14,-6.06
Table_S8,1.00,2,131,0.0400,67.40,43.76,-23.64,13.20,1.21,-11.99,7.40,0.11,-7.29
Table_S8,1.00,2,147,0.2000,70.70,67.67,-3.03,3.50,5.37,1.87,13.30,5.25,-8.05
Table_S8,1.00,2,162,0.1200,69.40,67.45,-1.95,7.40,4.54,-2.86,13.40,3.23,-10.17
Table_S8,1.00,2,177,0.2800,69.80,68.53,-1.27,5.10,4.96,-0.14,11.40,4.19,-7.21
Table_S9,1.00,6,80,0.2900,59.00,61.59,2.59,8.90,7.25,-1.65,12.70,13.70,1.00
Table_S9,1.00,6,85,0.1600,64.60,62.49,-2.11,12.00,7.08,-4.92,13.20,12.55,-0.65
Table_S9,1.00,6,101,0.0800,77.40,65.12,-12.28,8.00,6.29,-1.71,17.10,8.41,-8.69
Table_S9,1.00,6,116,0.2400,64.30,64.76,0.46,5.80,6.77,0.97,14.00,11.05,-2.95
Table_S9,1.00,6,131,0.0400,73.30,56.16,-17.14,8.30,2.33,-5.97,15.60,0.55,-15.05
Table_S9,1.00,6,147,0.2000,64.40,66.97,2.57,9.50,6.28,-3.22,12.70,8.70,-4.00
Table_S9,1.00,6,162,0.1200,69.80,68.06,-1.74,9.80,5.81,-3.99,13.40,6.82,-6.58
Table_S9,1.00,6,177,0.2800,63.20,68.25,5.05,8.70,6.03,-2.67,12.40,7.76,-4.64
Table_S10,1.00,10,80,0.2900,52.70,61.18,8.48,10.90,7.35,-3.55,11.70,14.45,2.75
Table_S10,1.00,10,85,0.1600,71.60,62.01,-9.59,8.90,7.21,-1.69,15.10,13.46,-1.64
Table_S10,1.00,10,101,0.0800,79.90,64.69,-15.21,8.50,6.55,-1.95,17.60,9.65,-7.95
Table_S10,1.00,10,116,0.2400,60.90,64.20,3.30,7.40,6.94,-0.46,14.50,12.15,-2.35
Table_S10,1.00,10,131,0.0400,73.90,60.24,-13.66,6.90,2.95,-3.95,17.50,0.99,-16.51
Table_S10,1.00,10,147,0.2000,60.20,66.37,6.17,8.40,6.55,-1.85,13.50,10.08,-3.42
Table_S10,1.00,10,162,0.1200,76.70,67.58,-9.12,8.00,6.19,-1.81,14.80,8.39,-6.41
Table_S10,1.00,10,177,0.2800,60.10,67.65,7.55,11.80,6.35,-5.45,10.70,9.24,-1.46
