row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
56,core,0.50,2.0,80,0.2900,0.0067,9.0000e-04,51.00,1.50,10.90,61.44,7.29,17.29,13.98,-1.8468,1
57,core,0.50,2.0,85,0.1600,0.0093,2.7000e-04,60.70,2.00,13.50,62.32,7.13,17.66,12.89,-1.8524,1
58,core,0.50,2.0,101,0.0800,0.0110,6.9000e-05,71.50,3.00,16.60,64.97,6.39,19.77,8.87,-1.8712,1
59,core,0.50,2.0,116,0.2400,0.0076,6.2000e-04,60.90,2.20,13.70,64.56,6.84,17.15,11.46,-1.8702,1
60,core,0.50,2.0,131,0.0400,0.0120,1.7000e-05,70.60,10.50,8.60,57.78,2.55,38.98,0.69,-1.9326,1
61,core,0.50,2.0,147,0.2000,0.0085,4.3000e-04,65.30,2.80,14.70,66.76,6.38,17.64,9.21,-1.8873,1
62,core,0.50,2.0,162,0.1200,0.0100,1.5000e-04,69.70,3.70,16.10,67.91,5.96,18.73,7.39,-1.8976,1
63,core,0.50,2.0,177,0.2800,0.0069,8.4000e-04,67.70,2.40,14.10,68.05,6.15,17.49,8.31,-1.8981,1
74,core,0.50,6.0,80,0.2900,0.0600,8.1000e-03,60.40,5.50,12.10,60.65,7.46,16.51,15.38,-1.8443,1
75,core,0.50,6.0,85,0.1600,0.0840,2.5000e-03,61.00,9.50,12.80,61.39,7.35,16.67,14.59,-1.8490,1
76,core,0.50,6.0,101,0.0800,0.1000,6.2000e-04,65.10,10.50,13.90,63.99,6.83,17.94,11.23,-1.8652,1
77,core,0.50,6.0,116,0.2400,0.0690,5.6000e-03,58.80,7.60,12.70,63.43,7.14,15.90,13.53,-1.8659,1
78,core,0.50,6.0,131,0.0400,0.1100,1.5000e-04,65.80,8.60,14.60,63.94,3.76,30.41,1.89,-1.9168,1
79,core,0.50,6.0,147,0.2000,0.0760,3.9000e-03,58.40,8.50,12.50,65.45,6.84,15.85,11.86,-1.8810,1
80,core,0.50,6.0,162,0.1200,0.0920,1.4000e-03,63.10,9.90,12.80,66.65,6.59,16.30,10.46,-1.8893,1
81,core,0.50,6.0,177,0.2800,0.0620,7.6000e-03,62.00,4.60,12.40,66.68,6.69,15.47,11.16,-1.8911,1
92,core,0.50,10.0,80,0.2900,0.1700,2.3000e-02,68.10,3.40,14.80,60.36,7.51,16.25,15.88,-1.8434,1
93,core,0.50,10.0,85,0.1600,0.2300,6.9000e-03,65.50,11.70,12.30,61.03,7.42,16.34,15.21,-1.8479,1
94,core,0.50,10.0,101,0.0800,0.2800,1.7000e-03,74.70,10.70,14.80,63.56,6.97,17.36,12.11,-1.8632,1
95,core,0.50,10.0,116,0.2400,0.1900,1.5000e-02,58.60,14.10,11.50,62.98,7.24,15.49,14.29,-1.8644,1
96,core,0.50,10.0,131,0.0400,0.3000,4.3000e-04,53.60,18.20,12.50,65.26,4.19,28.01,2.54,-1.9116,1
97,core,0.50,10.0,147,0.2000,0.2100,1.1000e-02,47.30,18.90,10.60,64.89,6.98,15.28,12.84,-1.8789,1
98,core,0.50,10.0,162,0.1200,0.2600,3.9000e-03,56.60,15.60,11.60,66.03,6.78,15.57,11.62,-1.8865,1
99,core,0.50,10.0,177,0.2800,0.1700,2.1000e-02,61.60,1.90,14.70,66.07,6.85,14.85,12.23,-1.8887,1
110,core,1.00,2.0,80,0.2900,0.0033,4.5000e-04,61.50,2.20,13.00,62.63,6.95,18.77,11.65,-1.8514,1
111,core,1.00,2.0,85,0.1600,0.0047,1.4000e-04,70.50,2.60,15.10,63.61,6.67,19.62,10.10,-1.8586,1
112,core,1.00,2.0,101,0.0800,0.0056,3.4000e-05,74.60,3.30,16.70,65.47,5.44,23.76,5.33,-1.8826,1
113,core,1.00,2.0,116,0.2400,0.0038,3.1000e-04,66.50,2.90,14.20,65.94,6.20,19.72,8.14,-1.8784,1
114,core,1.00,2.0,131,0.0400,0.0061,8.6000e-06,67.40,13.20,7.40,43.76,1.21,54.92,0.11,-1.9543,1
115,core,1.00,2.0,147,0.2000,0.0042,2.1000e-04,70.70,3.50,13.30,67.67,5.37,21.71,5.25,-1.8997,1
116,core,1.00,2.0,162,0.1200,0.0051,7.7000e-05,69.40,7.40,13.40,67.45,4.54,24.78,3.23,-1.9147,1
117,core,1.00,2.0,177,0.2800,0.0034,4.2000e-04,69.80,5.10,11.40,68.53,4.96,22.32,4.19,-1.9124,1
128,core,1.00,6.0,80,0.2900,0.0300,4.1000e-03,59.00,8.90,12.70,61.59,7.25,17.45,13.70,-1.8474,1
129,core,1.00,6.0,85,0.1600,0.0420,1.2000e-03,64.60,12.00,13.20,62.49,7.08,17.88,12.55,-1.8531,1
130,core,1.00,6.0,101,0.0800,0.0500,3.1000e-04,77.40,8.00,17.10,65.12,6.29,20.18,8.41,-1.8724,1
