table,gap_mm,Q,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_resid_pp,FE_PN_obs,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,10.44,1.50,5.79,10.90,3.08
Table_S5,0.50,2,85,0.1600,60.70,1.62,2.00,5.13,13.50,-0.61
Table_S5,0.50,2,101,0.0800,71.50,-6.53,3.00,3.39,16.60,-7.73
Table_S5,0.50,2,116,0.2400,60.90,3.66,2.20,4.64,13.70,-2.24
Table_S5,0.50,2,131,0.0400,70.60,-12.82,10.50,-7.95,8.60,-7.91
Table_S5,0.50,2,147,0.2000,65.30,1.46,2.80,3.58,14.70,-5.49
Table_S5,0.50,2,162,0.1200,69.70,-1.79,3.70,2.26,16.10,-8.71
Table_S5,0.50,2,177,0.2800,67.70,0.35,2.40,3.75,14.10,-5.79
Table_S6,0.50,6,80,0.2900,60.40,0.25,5.50,1.96,12.10,3.28
Table_S6,0.50,6,85,0.1600,61.00,0.39,9.50,-2.15,12.80,1.79
Table_S6,0.50,6,101,0.0800,65.10,-1.11,10.50,-3.67,13.90,-2.67
Table_S6,0.50,6,116,0.2400,58.80,4.63,7.60,-0.46,12.70,0.83
Table_S6,0.50,6,131,0.0400,65.80,-1.86,8.60,-4.84,14.60,-12.71
Table_S6,0.50,6,147,0.2000,58.40,7.05,8.50,-1.66,12.50,-0.64
Table_S6,0.50,6,162,0.1200,63.10,3.55,9.90,-3.31,12.80,-2.34
Table_S6,0.50,6,177,0.2800,62.00,4.68,4.60,2.09,12.40,-1.24
Table_S7,0.50,10,80,0.2900,68.10,-7.74,3.40,4.11,14.80,1.08
Table_S7,0.50,10,85,0.1600,65.50,-4.47,11.70,-4.28,12.30,2.91
Table_S7,0.50,10,101,0.0800,74.70,-11.14,10.70,-3.73,14.80,-2.69
Table_S7,0.50,10,116,0.2400,58.60,4.38,14.10,-6.86,11.50,2.79
Table_S7,0.50,10,131,0.0400,53.60,11.66,18.20,-14.01,12.50,-9.96
Table_S7,0.50,10,147,0.2000,47.30,17.59,18.90,-11.92,10.60,2.24
Table_S7,0.50,10,162,0.1200,56.60,9.43,15.60,-8.82,11.60,0.02
Table_S7,0.50,10,177,0.2800,61.60,4.47,1.90,4.95,14.70,-2.47
Table_S8,1.00,2,80,0.2900,61.50,1.13,2.20,4.75,13.00,-1.35
Table_S8,1.00,2,85,0.1600,70.50,-6.89,2.60,4.07,15.10,-5.00
Table_S8,1.00,2,101,0.0800,74.60,-9.13,3.30,2.14,16.70,-11.37
Table_S8,1.00,2,116,0.2400,66.50,-0.56,2.90,3.30,14.20,-6.06
Table_S8,1.00,2,131,0.0400,67.40,-23.64,13.20,-11.99,7.40,-7.29
Table_S8,1.00,2,147,0.2000,70.70,-3.03,3.50,1.87,13.30,-8.05
Table_S8,1.00,2,162,0.1200,69.40,-1.95,7.40,-2.86,13.40,-10.17
Table_S8,1.00,2,177,0.2800,69.80,-1.27,5.10,-0.14,11.40,-7.21
Table_S9,1.00,6,80,0.2900,59.00,2.59,8.90,-1.65,12.70,1.00
Table_S9,1.00,6,85,0.1600,64.60,-2.11,12.00,-4.92,13.20,-0.65
Table_S9,1.00,6,101,0.0800,77.40,-12.28,8.00,-1.71,17.10,-8.69
Table_S9,1.00,6,116,0.2400,64.30,0.46,5.80,0.97,14.00,-2.95
Table_S9,1.00,6,131,0.0400,73.30,-17.14,8.30,-5.97,15.60,-15.05
Table_S9,1.00,6,147,0.2000,64.40,2.57,9.50,-3.22,12.70,-4.00
Table_S9,1.00,6,162,0.1200,69.80,-1.74,9.80,-3.99,13.40,-6.58
Table_S9,1.00,6,177,0.2800,63.20,5.05,8.70,-2.67,12.40,-4.64
Table_S10,1.00,10,80,0.2900,52.70,8.48,10.90,-3.55,11.70,2.75
Table_S10,1.00,10,85,0.1600,71.60,-9.59,8.90,-1.69,15.10,-1.64
Table_S10,1.00,10,101,0.0800,79.90,-15.21,8.50,-1.95,17.60,-7.95
Table_S10,1.00,10,116,0.2400,60.90,3.30,7.40,-0.46,14.50,-2.35
Table_S10,1.00,10,131,0.0400,73.90,-13.66,6.90,-3.95,17.50,-16.51
Table_S10,1.00,10,147,0.2000,60.20,6.17,8.40,-1.85,13.50,-3.42
Table_S10,1.00,10,162,0.1200,76.70,-9.12,8.00,-1.81,14.80,-6.41
Table_S10,1.00,10,177,0.2800,60.10,7.55,11.80,-5.45,10.70,-1.46
