table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,63.88,12.88,1.50,10.74,9.24,10.90,17.06,6.16
Table_S5,0.50,2,85,0.1600,60.70,64.56,3.86,2.00,10.28,8.28,13.50,16.46,2.96
Table_S5,0.50,2,101,0.0800,71.50,66.90,-4.60,3.00,8.32,5.32,16.60,13.81,-2.79
Table_S5,0.50,2,116,0.2400,60.90,65.90,5.00,2.20,9.70,7.50,13.70,15.73,2.03
Table_S5,0.50,2,131,0.0400,70.60,56.39,-14.21,10.50,1.80,-8.70,8.60,3.63,-4.97
Table_S5,0.50,2,147,0.2000,65.30,67.61,2.31,2.80,8.58,5.78,14.70,14.23,-0.47
Table_S5,0.50,2,162,0.1200,69.70,68.77,-0.93,3.70,7.49,3.79,16.10,12.70,-3.40
Table_S5,0.50,2,177,0.2800,67.70,68.50,0.80,2.40,8.12,5.72,14.10,13.60,-0.50
Table_S6,0.50,6,80,0.2900,60.40,63.16,2.76,5.50,11.32,5.82,12.10,17.82,5.72
Table_S6,0.50,6,85,0.1600,61.00,63.66,2.66,9.50,11.02,1.52,12.80,17.44,4.64
Table_S6,0.50,6,101,0.0800,65.10,65.69,0.59,10.50,9.61,-0.89,13.90,15.58,1.68
Table_S6,0.50,6,116,0.2400,58.80,64.72,5.92,7.60,10.67,3.07,12.70,17.01,4.31
Table_S6,0.50,6,131,0.0400,65.80,65.11,-0.69,8.60,3.37,-5.23,14.60,6.35,-8.25
Table_S6,0.50,6,147,0.2000,58.40,66.06,7.66,8.50,9.98,1.48,12.50,16.13,3.63
Table_S6,0.50,6,162,0.1200,63.10,67.06,3.96,9.90,9.31,-0.59,12.80,15.24,2.44
Table_S6,0.50,6,177,0.2800,62.00,66.77,4.77,4.60,9.70,5.10,12.40,15.78,3.38
Table_S7,0.50,10,80,0.2900,68.10,62.90,-5.20,3.40,11.52,8.12,14.80,18.07,3.27
Table_S7,0.50,10,85,0.1600,65.50,63.33,-2.17,11.70,11.27,-0.43,12.30,17.76,5.46
Table_S7,0.50,10,101,0.0800,74.70,65.22,-9.48,10.70,10.03,-0.67,14.80,16.15,1.35
Table_S7,0.50,10,116,0.2400,58.60,64.29,5.69,14.10,10.99,-3.11,11.50,17.44,5.94
Table_S7,0.50,10,131,0.0400,53.60,66.98,13.38,18.20,4.12,-14.08,12.50,7.58,-4.92
Table_S7,0.50,10,147,0.2000,47.30,65.47,18.17,18.90,10.44,-8.46,10.60,16.74,6.14
Table_S7,0.50,10,162,0.1200,56.60,66.35,9.75,15.60,9.90,-5.70,11.60,16.03,4.43
Table_S7,0.50,10,177,0.2800,61.60,66.11,4.51,1.90,10.22,8.32,14.70,16.47,1.77
Table_S8,1.00,2,80,0.2900,61.50,65.09,3.59,2.20,9.66,7.46,13.00,15.63,2.63
Table_S8,1.00,2,85,0.1600,70.50,66.00,-4.50,2.60,8.87,6.27,15.10,14.56,-0.54
Table_S8,1.00,2,101,0.0800,74.60,67.66,-6.94,3.30,5.87,2.57,16.70,10.27,-6.43
Table_S8,1.00,2,116,0.2400,66.50,67.63,1.13,2.90,7.84,4.94,14.20,13.15,-1.05
Table_S8,1.00,2,131,0.0400,67.40,41.44,-25.96,13.20,0.76,-12.44,7.40,1.65,-5.75
Table_S8,1.00,2,147,0.2000,70.70,68.98,-1.72,3.50,5.88,2.38,13.30,10.33,-2.97
Table_S8,1.00,2,162,0.1200,69.40,68.01,-1.39,7.40,4.19,-3.21,13.40,7.71,-5.69
Table_S8,1.00,2,177,0.2800,69.80,69.34,-0.46,5.10,5.08,-0.02,11.40,9.12,-2.28
Table_S9,1.00,6,80,0.2900,59.00,64.03,5.03,8.90,10.62,1.72,12.70,16.90,4.20
Table_S9,1.00,6,85,0.1600,64.60,64.74,0.14,12.00,10.12,-1.88,13.20,16.25,3.05
Table_S9,1.00,6,101,0.0800,77.40,67.10,-10.30,8.00,8.04,0.04,17.10,13.42,-3.68
Table_S9,1.00,6,116,0.2400,64.30,66.13,1.83,5.80,9.49,3.69,14.00,15.45,1.45
