table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,63.89,12.89,1.50,10.74,9.24,10.90,17.06,6.16
Table_S5,0.50,2,85,0.1600,60.70,64.56,3.86,2.00,10.28,8.28,13.50,16.46,2.96
Table_S5,0.50,2,101,0.0800,71.50,66.90,-4.60,3.00,8.32,5.32,16.60,13.81,-2.79
Table_S5,0.50,2,116,0.2400,60.90,65.90,5.00,2.20,9.70,7.50,13.70,15.73,2.03
Table_S5,0.50,2,131,0.0400,70.60,56.39,-14.21,10.50,1.80,-8.70,8.60,3.63,-4.97
Table_S5,0.50,2,147,0.2000,65.30,67.61,2.31,2.80,8.59,5.79,14.70,14.23,-0.47
Table_S5,0.50,2,162,0.1200,69.70,68.77,-0.93,3.70,7.49,3.79,16.10,12.70,-3.40
Table_S5,0.50,2,177,0.2800,67.70,68.50,0.80,2.40,8.12,5.72,14.10,13.60,-0.50
Table_S5,0.50,2,208,0.1800,70.40,70.06,-0.34,4.30,6.28,1.98,14.30,10.96,-3.34
Table_S5,0.50,2,223,0.1000,75.50,69.99,-5.51,8.30,4.79,-3.51,16.00,8.69,-7.31
Table_S5,0.50,2,239,0.2600,74.30,70.56,-3.74,4.40,5.90,1.50,12.60,10.41,-2.19
Table_S5,0.50,2,254,0.0600,70.60,49.56,-21.04,13.10,0.97,-12.13,10.70,2.11,-8.59
Table_S5,0.50,2,269,0.2200,75.00,70.37,-4.63,6.20,4.44,-1.76,12.20,8.15,-4.05
Table_S5,0.50,2,285,0.1400,73.00,67.83,-5.17,9.20,3.07,-6.13,12.40,5.92,-6.48
Table_S5,0.50,2,290,0.2900,73.10,70.68,-2.42,4.50,4.46,-0.04,10.50,8.19,-2.31
Table_S6,0.50,6,80,0.2900,60.40,63.15,2.75,5.50,11.32,5.82,12.10,17.82,5.72
Table_S6,0.50,6,85,0.1600,61.00,63.66,2.66,9.50,11.02,1.52,12.80,17.44,4.64
Table_S6,0.50,6,101,0.0800,65.10,65.69,0.59,10.50,9.61,-0.89,13.90,15.58,1.68
Table_S6,0.50,6,116,0.2400,58.80,64.71,5.91,7.60,10.67,3.07,12.70,17.02,4.32
Table_S6,0.50,6,131,0.0400,65.80,65.09,-0.71,8.60,3.36,-5.24,14.60,6.33,-8.27
Table_S6,0.50,6,147,0.2000,58.40,66.06,7.66,8.50,9.98,1.48,12.50,16.13,3.63
Table_S6,0.50,6,162,0.1200,63.10,67.06,3.96,9.90,9.31,-0.59,12.80,15.24,2.44
Table_S6,0.50,6,177,0.2800,62.00,66.78,4.78,4.60,9.70,5.10,12.40,15.78,3.38
Table_S6,0.50,6,208,0.1800,60.90,68.42,7.52,10.50,8.57,-1.93,12.80,14.25,1.45
Table_S6,0.50,6,223,0.1000,65.00,69.50,4.50,10.20,7.61,-2.59,14.00,12.90,-1.10
Table_S6,0.50,6,239,0.2600,66.30,68.96,2.66,5.20,8.36,3.16,13.60,13.97,0.37
Table_S6,0.50,6,254,0.0600,62.10,63.75,1.65,10.10,2.30,-7.80,14.00,4.58,-9.42
Table_S6,0.50,6,269,0.2200,65.30,70.15,4.85,5.90,7.39,1.49,13.50,12.61,-0.89
Table_S6,0.50,6,285,0.1400,69.20,71.01,1.81,5.90,6.24,0.34,14.20,10.93,-3.27
Table_S6,0.50,6,290,0.2900,63.40,70.32,6.92,7.70,7.41,-0.29,12.10,12.65,0.55
Table_S7,0.50,10,80,0.2900,68.10,62.90,-5.20,3.40,11.52,8.12,14.80,18.07,3.27
Table_S7,0.50,10,85,0.1600,65.50,63.33,-2.17,11.70,11.27,-0.43,12.30,17.76,5.46
Table_S7,0.50,10,101,0.0800,74.70,65.22,-9.48,10.70,10.03,-0.67,14.80,16.16,1.36
Table_S7,0.50,10,116,0.2400,58.60,64.29,5.69,14.10,10.99,-3.11,11.50,17.44,5.94
Table_S7,0.50,10,131,0.0400,53.60,66.99,13.39,18.20,4.13,-14.07,12.50,7.59,-4.91
Table_S7,0.50,10,147,0.2000,47.30,65.47,18.17,18.90,10.44,-8.46,10.60,16.74,6.14
Table_S7,0.50,10,162,0.1200,56.60,66.35,9.75,15.60,9.90,-5.70,11.60,16.03,4.43
Table_S7,0.50,10,177,0.2800,61.60,66.11,4.51,1.90,10.22,8.32,14.70,16.47,1.77
Table_S7,0.50,10,208,0.1800,48.90,67.57,18.67,17.70,9.31,-8.39,10.90,15.27,4.37
Table_S7,0.50,10,223,0.1000,50.40,68.59,18.19,17.70,8.56,-9.14,10.70,14.24,3.54
Table_S7,0.50,10,239,0.2600,65.80,68.05,2.25,3.50,9.15,5.65,14.10,15.07,0.97
Table_S7,0.50,10,254,0.0600,47.10,68.12,21.02,18.90,3.34,-15.56,10.80,6.36,-4.44
Table_S7,0.50,10,269,0.2200,49.90,69.20,19.30,15.90,8.38,-7.52,10.80,14.01,3.21
Table_S7,0.50,10,285,0.1400,49.40,70.23,20.83,18.80,7.46,-11.34,10.10,12.72,2.62
Table_S7,0.50,10,290,0.2900,63.80,69.32,5.52,6.20,8.41,2.21,12.80,14.06,1.26
Table_S8,1.00,2,80,0.2900,61.50,65.09,3.59,2.20,9.66,7.46,13.00,15.63,2.63
Table_S8,1.00,2,85,0.1600,70.50,66.00,-4.50,2.60,8.87,6.27,15.10,14.56,-0.54
Table_S8,1.00,2,101,0.0800,74.60,67.66,-6.94,3.30,5.87,2.57,16.70,10.27,-6.43
Table_S8,1.00,2,116,0.2400,66.50,67.63,1.13,2.90,7.84,4.94,14.20,13.15,-1.05
Table_S8,1.00,2,131,0.0400,67.40,41.44,-25.96,13.20,0.76,-12.44,7.40,1.65,-5.75
Table_S8,1.00,2,147,0.2000,70.70,68.98,-1.72,3.50,5.88,2.38,13.30,10.33,-2.97
Table_S8,1.00,2,162,0.1200,69.40,68.01,-1.39,7.40,4.19,-3.21,13.40,7.71,-5.69
Table_S8,1.00,2,177,0.2800,69.80,69.34,-0.46,5.10,5.08,-0.02,11.40,9.12,-2.28
Table_S8,1.00,2,208,0.1800,71.40,65.08,-6.32,6.90,2.76,-4.14,11.50,5.35,-6.15
Table_S8,1.00,2,223,0.1000,74.40,58.92,-15.48,8.00,1.75,-6.25,10.40,3.57,-6.83
Table_S8,1.00,2,239,0.2600,74.20,64.09,-10.11,6.50,2.41,-4.09,9.50,4.77,-4.73
Table_S8,1.00,2,254,0.0600,62.40,33.96,-28.44,11.50,0.39,-11.11,6.60,0.91,-5.69
Table_S8,1.00,2,269,0.2200,74.80,57.93,-16.87,7.70,1.54,-6.16,8.70,3.21,-5.49
Table_S8,1.00,2,285,0.1400,73.80,51.27,-22.53,7.80,1.03,-6.77,8.80,2.23,-6.57
Table_S8,1.00,2,290,0.2900,72.00,58.29,-13.71,6.10,1.54,-4.56,7.90,3.20,-4.70
Table_S9,1.00,6,80,0.2900,59.00,64.03,5.03,8.90,10.62,1.72,12.70,16.90,4.20
Table_S9,1.00,6,85,0.1600,64.60,64.74,0.14,12.00,10.12,-1.88,13.20,16.25,3.05
Table_S9,1.00,6,101,0.0800,77.40,67.10,-10.30,8.00,8.04,0.04,17.10,13.42,-3.68
Table_S9,1.00,6,116,0.2400,64.30,66.13,1.83,5.80,9.49,3.69,14.00,15.45,1.45
Table_S9,1.00,6,131,0.0400,73.30,54.38,-18.92,8.30,1.59,-6.71,15.60,3.26,-12.34
Table_S9,1.00,6,147,0.2000,64.40,67.89,3.49,9.50,8.28,-1.22,12.70,13.81,1.11
Table_S9,1.00,6,162,0.1200,69.80,69.00,-0.80,9.80,7.10,-2.70,13.40,12.13,-1.27
Table_S9,1.00,6,177,0.2800,63.20,68.79,5.59,8.70,7.77,-0.93,12.40,13.11,0.71
Table_S9,1.00,6,208,0.1800,69.70,70.12,0.42,6.40,5.78,-0.62,13.20,10.21,-2.99
Table_S9,1.00,6,223,0.1000,73.50,69.42,-4.08,8.90,4.26,-4.64,13.60,7.84,-5.76
Table_S9,1.00,6,239,0.2600,68.10,70.53,2.43,8.50,5.39,-3.11,11.60,9.62,-1.98
Table_S9,1.00,6,254,0.0600,56.00,47.12,-8.88,11.40,0.85,-10.55,9.70,1.86,-7.84
Table_S9,1.00,6,269,0.2200,64.40,69.63,5.23,11.00,3.90,-7.10,9.70,7.29,-2.41
Table_S9,1.00,6,285,0.1400,68.20,66.08,-2.12,11.50,2.63,-8.87,9.80,5.16,-4.64
Table_S9,1.00,6,290,0.2900,60.10,69.96,9.86,16.30,3.92,-12.38,7.60,7.32,-0.28
Table_S10,1.00,10,80,0.2900,52.70,63.64,10.94,10.90,10.94,0.04,11.70,17.32,5.62
Table_S10,1.00,10,85,0.1600,71.60,64.26,-7.34,8.90,10.54,1.64,15.10,16.80,1.70
Table_S10,1.00,10,101,0.0800,79.90,66.53,-13.37,8.50,8.77,0.27,17.60,14.44,-3.16
Table_S10,1.00,10,116,0.2400,60.90,65.50,4.60,7.40,10.04,2.64,14.50,16.18,1.68
Table_S10,1.00,10,131,0.0400,73.90,59.68,-14.22,6.90,2.22,-4.68,17.50,4.38,-13.12
