table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,65.87,14.87,1.50,10.69,9.19,10.90,15.82,4.92
Table_S5,0.50,2,85,0.1600,60.70,66.12,5.42,2.00,10.31,8.31,13.50,15.65,2.15
Table_S5,0.50,2,101,0.0800,71.50,67.01,-4.49,3.00,8.49,5.49,16.60,14.68,-1.92
Table_S5,0.50,2,116,0.2400,60.90,66.39,5.49,2.20,10.16,7.96,13.70,15.68,1.98
Table_S5,0.50,2,131,0.0400,70.60,53.87,-16.73,10.50,1.64,-8.86,8.60,6.77,-1.83
Table_S5,0.50,2,147,0.2000,65.30,67.00,1.70,2.80,9.27,6.47,14.70,15.28,0.58
Table_S5,0.50,2,162,0.1200,69.70,67.49,-2.21,3.70,8.14,4.44,16.10,14.62,-1.48
Table_S5,0.50,2,177,0.2800,67.70,67.26,-0.44,2.40,8.98,6.58,14.10,15.18,1.08
Table_S5,0.50,2,208,0.1800,70.40,67.88,-2.52,4.30,6.96,2.66,14.30,13.86,-0.44
Table_S5,0.50,2,223,0.1000,75.50,67.27,-8.23,8.30,5.16,-3.14,16.00,12.28,-3.72
Table_S5,0.50,2,239,0.2600,74.30,68.00,-6.30,4.40,6.64,2.24,12.60,13.65,1.05
Table_S5,0.50,2,254,0.0600,70.60,46.04,-24.56,13.10,0.91,-12.19,10.70,4.93,-5.77
Table_S5,0.50,2,269,0.2200,75.00,67.22,-7.78,6.20,4.85,-1.35,12.20,12.02,-0.18
Table_S5,0.50,2,285,0.1400,73.00,64.05,-8.95,9.20,3.17,-6.03,12.40,9.89,-2.51
Table_S5,0.50,2,290,0.2900,73.10,67.40,-5.70,4.50,4.93,0.43,10.50,12.13,1.63
Table_S6,0.50,6,80,0.2900,60.40,65.51,5.11,5.50,11.29,5.79,12.10,16.10,4.00
Table_S6,0.50,6,85,0.1600,61.00,65.67,4.67,9.50,11.08,1.58,12.80,16.03,3.23
Table_S6,0.50,6,101,0.0800,65.10,66.46,1.36,10.50,9.86,-0.64,13.90,15.48,1.58
Table_S6,0.50,6,116,0.2400,58.80,65.76,6.96,7.60,11.20,3.60,12.70,16.19,3.49
Table_S6,0.50,6,131,0.0400,65.80,63.31,-2.49,8.60,3.37,-5.23,14.60,9.92,-4.68
Table_S6,0.50,6,147,0.2000,58.40,66.13,7.73,8.50,10.82,2.32,12.50,16.10,3.60
Table_S6,0.50,6,162,0.1200,63.10,66.56,3.46,9.90,10.22,0.32,12.80,15.84,3.04
Table_S6,0.50,6,177,0.2800,62.00,66.24,4.24,4.60,10.80,6.20,12.40,16.15,3.75
Table_S6,0.50,6,208,0.1800,60.90,66.98,6.08,10.50,9.74,-0.76,12.80,15.67,2.87
Table_S6,0.50,6,223,0.1000,65.00,67.55,2.55,10.20,8.68,-1.52,14.00,15.08,1.08
Table_S6,0.50,6,239,0.2600,66.30,67.10,0.80,5.20,9.68,4.48,13.60,15.68,2.08
Table_S6,0.50,6,254,0.0600,62.10,60.17,-1.93,10.10,2.31,-7.79,14.00,8.40,-5.60
Table_S6,0.50,6,269,0.2200,65.30,67.69,2.39,5.90,8.65,2.75,13.50,15.13,1.63
Table_S6,0.50,6,285,0.1400,69.20,68.15,-1.05,5.90,7.25,1.35,14.20,14.19,-0.01
Table_S6,0.50,6,290,0.2900,63.40,67.68,4.28,7.70,8.79,1.09,12.10,15.23,3.13
Table_S7,0.50,10,80,0.2900,68.10,65.38,-2.72,3.40,11.49,8.09,14.80,16.20,1.40
Table_S7,0.50,10,85,0.1600,65.50,65.51,0.01,11.70,11.34,-0.36,12.30,16.15,3.85
Table_S7,0.50,10,101,0.0800,74.70,66.22,-8.48,10.70,10.31,-0.39,14.80,15.71,0.91
Table_S7,0.50,10,116,0.2400,58.60,65.53,6.93,14.10,11.55,-2.55,11.50,16.35,4.85
Table_S7,0.50,10,131,0.0400,53.60,65.39,11.79,18.20,4.26,-13.94,12.50,11.09,-1.41
Table_S7,0.50,10,147,0.2000,47.30,65.79,18.49,18.90,11.33,-7.57,10.60,16.34,5.74
Table_S7,0.50,10,162,0.1200,56.60,66.14,9.54,15.60,10.89,-4.71,11.60,16.16,4.56
Table_S7,0.50,10,177,0.2800,61.60,65.84,4.24,1.90,11.39,9.49,14.70,16.43,1.73
Table_S7,0.50,10,208,0.1800,48.90,66.45,17.55,17.70,10.61,-7.09,10.90,16.12,5.22
