table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp
Table_S5,0.50,2,80,0.2900,51.00,65.58,14.58,1.50,10.78,9.28,10.90,16.04,5.14
Table_S5,0.50,2,85,0.1600,60.70,65.84,5.14,2.00,10.39,8.39,13.50,15.86,2.36
Table_S5,0.50,2,101,0.0800,71.50,66.78,-4.72,3.00,8.57,5.57,16.60,14.86,-1.74
Table_S5,0.50,2,116,0.2400,60.90,66.16,5.26,2.20,10.20,8.00,13.70,15.90,2.20
Table_S5,0.50,2,131,0.0400,70.60,53.83,-16.77,10.50,1.70,-8.80,8.60,6.80,-1.80
Table_S5,0.50,2,147,0.2000,65.30,66.80,1.50,2.80,9.29,6.49,14.70,15.48,0.78
Table_S5,0.50,2,162,0.1200,69.70,67.31,-2.39,3.70,8.17,4.47,16.10,14.80,-1.30
Table_S5,0.50,2,177,0.2800,67.70,67.08,-0.62,2.40,8.99,6.59,14.10,15.38,1.28
Table_S6,0.50,6,80,0.2900,60.40,65.22,4.82,5.50,11.37,5.87,12.10,16.33,4.23
Table_S6,0.50,6,85,0.1600,61.00,65.39,4.39,9.50,11.15,1.65,12.80,16.25,3.45
Table_S6,0.50,6,101,0.0800,65.10,66.21,1.11,10.50,9.93,-0.57,13.90,15.68,1.78
Table_S6,0.50,6,116,0.2400,58.80,65.52,6.72,7.60,11.23,3.63,12.70,16.43,3.73
Table_S6,0.50,6,131,0.0400,65.80,63.22,-2.58,8.60,3.45,-5.15,14.60,10.00,-4.60
Table_S6,0.50,6,147,0.2000,58.40,65.92,7.52,8.50,10.82,2.32,12.50,16.33,3.83
Table_S6,0.50,6,162,0.1200,63.10,66.36,3.26,9.90,10.22,0.32,12.80,16.05,3.25
Table_S6,0.50,6,177,0.2800,62.00,66.06,4.06,4.60,10.77,6.17,12.40,16.39,3.99
Table_S7,0.50,10,80,0.2900,68.10,65.08,-3.02,3.40,11.57,8.17,14.80,16.43,1.63
Table_S7,0.50,10,85,0.1600,65.50,65.23,-0.27,11.70,11.41,-0.29,12.30,16.37,4.07
Table_S7,0.50,10,101,0.0800,74.70,65.97,-8.73,10.70,10.38,-0.32,14.80,15.93,1.13
Table_S7,0.50,10,116,0.2400,58.60,65.29,6.69,14.10,11.57,-2.53,11.50,16.59,5.09
Table_S7,0.50,10,131,0.0400,53.60,65.26,11.66,18.20,4.34,-13.86,12.50,11.19,-1.31
Table_S7,0.50,10,147,0.2000,47.30,65.58,18.28,18.90,11.32,-7.58,10.60,16.58,5.98
Table_S7,0.50,10,162,0.1200,56.60,65.95,9.35,15.60,10.87,-4.73,11.60,16.40,4.80
Table_S7,0.50,10,177,0.2800,61.60,65.66,4.06,1.90,11.34,9.44,14.70,16.67,1.97
