table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_HER_obs,FE_HER_model,FE_HER_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp,V_cathode,j_total_model,note
Table_S5,0.50,2,80,0.2900,51.00,70.05,19.05,1.50,6.16,4.66,36.60,10.06,-26.54,10.90,13.73,2.83,-1.8264,80.00,continuation (30 steps)
Table_S5,0.50,2,85,0.1600,60.70,69.94,9.24,2.00,6.21,4.21,23.80,10.14,-13.66,13.50,13.71,0.21,-1.8318,85.00,continuation (30 steps)
Table_S5,0.50,2,101,0.0800,71.50,68.89,-2.61,3.00,6.51,3.51,8.90,11.09,2.19,16.60,13.50,-3.10,-1.8519,101.00,continuation (30 steps)
Table_S5,0.50,2,116,0.2400,60.90,70.81,9.91,2.20,6.11,3.91,23.20,9.20,-14.00,13.70,13.88,0.18,-1.8475,116.00,continuation (31 steps)
Table_S5,0.50,2,131,0.0400,70.60,48.68,-21.92,10.50,9.13,-1.37,10.30,32.65,22.35,8.60,9.54,0.94,-1.9540,131.00,continuation (31 steps)
Table_S5,0.50,2,147,0.2000,65.30,70.80,5.50,2.80,6.20,3.40,17.20,9.12,-8.08,14.70,13.88,-0.82,-1.8645,147.00,continuation (32 steps)
Table_S5,0.50,2,162,0.1200,69.70,70.08,0.38,3.70,6.42,2.72,10.50,9.77,-0.73,16.10,13.74,-2.36,-1.8772,162.00,continuation (32 steps)
Table_S5,0.50,2,177,0.2800,67.70,71.10,3.40,2.40,6.19,3.79,15.80,8.77,-7.03,14.10,13.94,-0.16,-1.8749,177.00,continuation (32 steps)
Table_S5,0.50,2,208,0.1800,70.40,69.53,-0.87,4.30,6.65,2.35,11.00,10.19,-0.81,14.30,13.63,-0.67,-1.8986,208.00,continuation (33 steps)
Table_S5,0.50,2,223,0.1000,75.50,66.89,-8.61,8.30,7.28,-1.02,0.20,12.73,12.53,16.00,13.11,-2.89,-1.9211,223.00,continuation (33 steps)
Table_S5,0.50,2,239,0.2600,74.30,69.53,-4.77,4.40,6.71,2.31,8.70,10.14,1.44,12.60,13.63,1.03,-1.9079,239.00,continuation (33 steps)
Table_S5,0.50,2,254,0.0600,70.60,38.72,-31.88,13.10,9.69,-3.41,5.60,44.00,38.40,10.70,7.59,-3.11,-2.0259,254.02,continuation (34 steps)
Table_S5,0.50,2,269,0.2200,75.00,66.73,-8.27,6.20,7.39,1.19,6.60,12.79,6.19,12.20,13.08,0.88,-1.9345,269.00,continuation (34 steps)
Table_S5,0.50,2,285,0.1400,73.00,60.92,-12.08,9.20,8.45,-0.75,5.40,18.69,13.29,12.40,11.94,-0.46,-1.9681,285.01,continuation (34 steps)
Table_S5,0.50,2,290,0.2900,73.10,67.13,-5.97,4.50,7.34,2.84,11.90,12.37,0.47,10.50,13.16,2.66,-1.9368,290.00,continuation (34 steps)
Table_S6,0.50,6,80,0.2900,60.40,70.50,10.10,5.50,6.06,0.56,22.00,9.63,-12.37,12.10,13.82,1.72,-1.8236,80.00,continuation (30 steps)
Table_S6,0.50,6,85,0.1600,61.00,70.53,9.53,9.50,6.07,-3.43,16.70,9.57,-7.13,12.80,13.83,1.03,-1.8279,85.00,continuation (30 steps)
Table_S6,0.50,6,101,0.0800,65.10,70.14,5.04,10.50,6.23,-4.27,10.50,9.89,-0.61,13.90,13.75,-0.15,-1.8435,101.00,continuation (30 steps)
Table_S6,0.50,6,116,0.2400,58.80,71.56,12.76,7.60,5.92,-1.68,20.90,8.49,-12.41,12.70,14.03,1.33,-1.8420,116.00,continuation (31 steps)
Table_S6,0.50,6,131,0.0400,65.80,60.46,-5.34,8.60,8.10,-0.50,11.00,19.59,8.59,14.60,11.85,-2.75,-1.9155,131.00,continuation (31 steps)
Table_S6,0.50,6,147,0.2000,58.40,71.97,13.57,8.50,5.89,-2.61,20.60,8.04,-12.56,12.50,14.11,1.61,-1.8556,147.00,continuation (32 steps)
Table_S6,0.50,6,162,0.1200,63.10,71.82,8.72,9.90,5.96,-3.94,14.20,8.14,-6.06,12.80,14.08,1.28,-1.8641,162.00,continuation (32 steps)
Table_S6,0.50,6,177,0.2800,62.00,72.45,10.45,4.60,5.82,1.22,21.00,7.54,-13.46,12.40,14.20,1.80,-1.8644,177.00,continuation (32 steps)
Table_S6,0.50,6,208,0.1800,60.90,72.13,11.23,10.50,5.96,-4.54,15.80,7.77,-8.03,12.80,14.14,1.34,-1.8789,208.00,continuation (33 steps)
Table_S6,0.50,6,223,0.1000,65.00,71.48,6.48,10.20,6.17,-4.03,10.80,8.34,-2.46,14.00,14.01,0.01,-1.8897,223.00,continuation (33 steps)
Table_S6,0.50,6,239,0.2600,66.30,72.44,6.14,5.20,5.92,0.72,14.90,7.44,-7.46,13.60,14.20,0.60,-1.8857,239.00,continuation (33 steps)
Table_S6,0.50,6,254,0.0600,62.10,55.83,-6.27,10.10,9.02,-1.08,13.80,24.21,10.41,14.00,10.94,-3.06,-1.9812,254.00,continuation (34 steps)
Table_S6,0.50,6,269,0.2200,65.30,71.95,6.65,5.90,6.10,0.20,15.30,7.85,-7.45,13.50,14.10,0.60,-1.8986,269.00,continuation (34 steps)
Table_S6,0.50,6,285,0.1400,69.20,70.76,1.56,5.90,6.46,0.56,10.70,8.92,-1.78,14.20,13.87,-0.33,-1.9129,285.00,continuation (34 steps)
Table_S6,0.50,6,290,0.2900,63.40,72.24,8.84,7.70,6.04,-1.66,16.80,7.56,-9.24,12.10,14.16,2.06,-1.9008,290.00,continuation (34 steps)
Table_S7,0.50,10,80,0.2900,68.10,70.64,2.54,3.40,6.02,2.62,13.70,9.49,-4.21,14.80,13.85,-0.95,-1.8226,80.00,continuation (30 steps)
Table_S7,0.50,10,85,0.1600,65.50,70.72,5.22,11.70,6.02,-5.68,10.50,9.39,-1.11,12.30,13.86,1.56,-1.8266,85.00,continuation (30 steps)
Table_S7,0.50,10,101,0.0800,74.70,70.50,-4.20,10.70,6.14,-4.56,0.00,9.54,9.54,14.80,13.82,-0.98,-1.8410,101.00,continuation (30 steps)
Table_S7,0.50,10,116,0.2400,58.60,71.79,13.19,14.10,5.86,-8.24,15.80,8.28,-7.52,11.50,14.07,2.57,-1.8403,116.00,continuation (31 steps)
Table_S7,0.50,10,131,0.0400,53.60,63.29,9.69,18.20,7.69,-10.51,15.70,16.61,0.91,12.50,12.41,-0.09,-1.9031,131.00,continuation (31 steps)
Table_S7,0.50,10,147,0.2000,47.30,72.30,25.00,18.90,5.80,-13.10,23.20,7.73,-15.47,10.60,14.17,3.57,-1.8529,147.00,continuation (32 steps)
